"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Lycopodium tablets","Cichorioideae","Poaceae (Cerealia)","Plantago","Galium-type","Filipendula","Fraxinus angustifolia","Narcissus bulbocodium","Olea europaea","Pinus pinaster","Botrychium","Cyperaceae","Potentilla","Corylus avellana","Calluna vulgaris","Hypericum perforatum-type","Erica australis","Paronychia polygonifolia-type","Sedum-type","Gentiana lutea/G. pneumonanthe","Spermatophyta undiff. (cf. upland herbs)","Plantago lanceolata-type","Sparganium","Quercus ilex-type","Genista-type","Erica umbellata","Pteridium aquilinum","Artemisia","Apiaceae","Betula pubescens","Polypodiales (monolete)","Rumex","Pinus sylvestris-type","Alnus glutinosa","Juniperus communis","Erica arborea-type","Quercus robur-type","Poaceae","Lycopodium spike","Vitis","Brassicaceae","Micranthes stellaris-type","Jasione-type","Cytisus scoparius","Amaranthaceae","Campanula","Phillyrea","Armeria","Liliaceae-type","Sphagnum","Hedwigia","Echium","Teucrium","Ilex aquifolium","Salix","Ranunculus","Spergula","Marchantiophyta","Saxifraga granulata-type","Ulmus","Spergularia-type","Centaurea nigra-type","Lythrum","Urtica","Lysimachia","Pistacia","Fabaceae","Castanea sativa","Asphodelus albus","Polypodium","Halimium/Tuberaria","Colchicum montanum","Sorbus aucuparia","Thymelaeaceae","Menyanthes trifoliata","Trifolium-type","Poterium sanguisorba","Parnassia palustris","Ophioglossum lusitanicum","Polygonum","Rhinanthus/Veronica","Hedera helix","Ludwigia palustris","Chrysosplenium","Eryngium","Silene foetida-type","Daucus","Minuartia recurva","Physospermum cornubiense","Rumex acetosa-type","Aster-type","Peucedanum-type","Conopodium majus","Plantago major-type","Anthemis-type","Pediastrum","Rumex acetosella-type","Cistaceae","Arenaria","Ranunculus acris-type","Carduus","Ornithogalum-type","Solidago","Arnoseris minima","Juniperus","Chaerophyllum temulum","Corrigiola telephiifolia","Acer","Centaurium","Centaurea scabiosa-type","Gagea nevadensis","Potamogeton","Silene vulgaris-type","Dryopteris filix-mas-type","Dianthus lusitanus-type","Filago-type","Pentaglottis sempervirens","Sparganium emersum-type","Meum-type","Allium","Thalictrum","Ephedra distachya-type","Cedrus","Plantago subulata-type","Lotus","Ephedra fragilis-type","Plantago coronopus"
1115,NA,NA,35,"221.4285714, 0.282","11329, 1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","4","4","4","4","4","4","5","5","5","8","9","10","11","34","42","90","500","35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1345,NA,NA,45,"257.1428571, 0.282","11329, 1","1","","1","3","","2","","4","","","2","1","","3","","4","","1","","1","6","","4","2","1","2","2","5","9","6","17","10","7","36","48","87","663","31","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1575,NA,NA,55,"246.4285714, 0.282","11329, 1","","","3","3","","1","1","","2","","1","2","","7","","3","1","1","","2","1","2","7","2","1","2","2","6","12","14","8","20","8","19","62","127","337","36","","","","","1","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1805,NA,NA,65,"232.1428571, 0.282","11329, 1","1","","1","2","","2","2","1","19","","12","4","8","7","1","11","","5","2","","2","","6","3","6","","2","13","14","14","9","2","13","43","52","133","197","66","","1","","2","2","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1874,NA,NA,68,"0.282","11329, 1","2","5","8","5","","","1","10","12","","1","","2","4","1","4","2","2","1","","3","1","","9","2","11","3","13","15","20","18","9","10","342","75","152","493","64","","1","","","1","3","","1","1","","","5","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1966,NA,NA,72,"0.282","11329, 1","2","3","3","1","","1","3","3","6","1","1","2","","3","2","2","1","","","","8","3","","8","2","15","7","6","12","15","21","10","6","388","71","140","425","90","","","","1","","","1","3","3","","","","","","2","","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2035,NA,NA,75,"235.7142857, 0.282","11329, 1","2","1","","1","","","1","2","21","","15","1","6","4","1","9","","2","1","2","6","3","5","10","6","5","5","14","22","32","10","6","19","51","82","189","450","76","","","1","1","3","2","","1","","","2","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2092.5,NA,NA,77.5,"0.282","11329, 1","1","1","1","3","","","1","","26","1","3","3","2","11","","6","1","3","4","","2","2","","10","5","9","7","19","32","22","12","6","20","210","92","144","413","56","","2","","1","","4","","3","1","","","","3","1","","","1","3","","","","","","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2150,NA,NA,80,"0.282","11329, 1","2","1","3","2","","","2","2","11","1","1","2","","5","3","3","","5","1","","2","","","9","5","11","","14","27","22","11","11","16","112","52","146","326","35","","","","","3","","","6","1","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2265,NA,NA,85,"246.4285714, 0.282","11329, 1","2","4","1","3","2","","1","4","36","","15","1","8","15","3","3","","4","1","4","11","","14","18","4","6","4","15","33","28","13","8","20","53","87","179","589","49","","1","","","1","","","","1","","1","2","","","","6","1","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2495,NA,NA,95,"271.4285714, 0.282","11329, 1","2","","2","","1","","1","4","27","","21","1","7","8","1","5","1","2","5","4","11","1","9","12","1","15","2","29","50","42","23","18","13","21","96","172","608","83","","1","","","","1","","","2","","3","","","","","","","","","","","","","","","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2725,NA,NA,105,"228.5714286, 0.282","11329, 1","1","","","9","","","2","6","17","","6","1","5","1","2","4","","4","4","3","9","3","12","13","2","8","7","19","76","80","10","30","21","22","72","235","629","74","","1","4","1","","2","","","2","","1","","","","","1","2","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
2955,NA,NA,115,"171.4285714, 0.282","11329, 1","1","","2","5","","","2","7","14","","12","1","14","6","","6","","4","2","6","7","2","9","7","3","3","1","36","136","59","28","22","30","4","67","140","437","80","","","","2","3","1","1","","","","","","","","","6","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3185,NA,NA,125,"214.2857143, 0.282","11329, 1","1","2","6","4","1","1","1","3","15","","9","2","5","7","","4","","5","7","5","14","1","14","14","1","7","2","48","150","80","9","23","19","9","58","154","395","66","","2","","","2","1","","","","","2","2","","","","2","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
