"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Polygonum aviculare-type","Salix","Vitis","Papaveraceae","Juniperus","Geraniaceae","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Filago-type","Pimpinella-type","Turgenia-type","Cephalaria","Nymphaea","Alnus","Fabaceae","Pistacia","Rumex acetosa-type","Capsella-type","Ephedra fragilis-type","Asphodelus albus-type","Populus","Plantago lanceolata-type","Poterium sanguisorba","Alisma","Polypodiaceae","Lythrum","Apiaceae","Asteroideae","Brassica-type","Ostrya/Carpinus orientalis","Matricaria-type","Fallopia convolvulus-type","Olea","Centaurea solstitialis-type","Poaceae (Cerealia-type)","Ranunculus sect. Batrachium-type","Persicaria maculosa-type","Artemisia herba-alba-type","Cichorioideae","Sparganium-type","Amaranthaceae","Myriophyllum spicatum/M. verticillatum","Ranunculus peltatus-type","Quercus coccifera-type","Cyperaceae","Quercus robur/Q. cerris","Pinus","Poaceae","Daphne","Theligonum","Carpinus betulus","Fagopyrum","Galium-type","Artemisia vulgaris-type","Noaea-type","Cladium mariscus","Anisosciadium-type","Isoëtes","Ulmus","Ranunculaceae","Rhamnus","Filipendula","Senecio-type","Hedera","Thymus/Mentha","cf. Veronica","Halothamnus-type","Ericaceae","Caryophyllaceae","Fraxinus ornus","Monactinus simplex","Allium","Juglans","Butomus umbellatus","Echinops","Valerianella","Scrophularia/Verbascum/Digitalis","Datisca","Psoraleeae","Dryopteris-type","Castanea","Bupleurum-type","Phillyrea","Cotinus coggygria","Carthamus","Monactinus simplex (type clathratum)","Plantago undiff.","Thalictrum","Platanus","Oleaceae","Cedrus","Hypericum","Ligustrum","Gypsophila-type","Myrtus","Onobrychis-type","Inula-type","Plantago maritima-type","Plantago major-type","Abies","Rosaceae","Potamogeton","Trifolium-type","Plantago coronopus-type","Ranunculus asiaticus-type","Stachys-type","Helianthemum","Ranunculus sceleratus-type","Psammogeton-type","Corylus","Vicia-type","Tamarix","Delphinium","Rhinanthus-type","Ranunculus repens-type","cf. Medicago minima","Ephedra distachya-type","Echinophora-type","Typha latifolia","Liliaceae","Solanum dulcamara","cf. Prunus-type","Myriophyllum alterniflorum","Silene-type","cf. Cerastium glomeratum","Colchicum","Haplophyllum","Centaurea cyanus-type","Fagus","Scrophulariaceae","Scilla-type","Acantholimon","Ophioglossum","Ferula-type","Equisetum","Acer","Dianthus-type","Paliurus","Hippophaë","Prunus-type","Muscari","Calligonum","Leontice leontopetalum","cf. Bunium rectangulum","Pseudopediastrum boryanum","Sisyrinchium","Centaurea/Xeranthemum","cf. Falcaria","cf. Levisticum","Xanthium","Nuphar","Centaurea jacea-type","Valeriana","Callipeltis microstegia-type","Lomelosia rotata-type","Campanulaceae","Carduus-type","Teucrium","Parietaria","Crataegus-type","Dipsacus-type","cf. Euphorbiaceae","Mercurialis-type","Psylliostachys","Malabaila","Urtica dioica-type","Potentilla-type","Erodium","Taxus","Asperula-type","Lecokia","Trachyspermum-type","Geum-type","Onosma-type","Gagea-type","Serratula","Vaccaria/Petrorhagia","Lamiaceae","cf. Smyrniopsis","Convolvulus","Selaginella selaginoides","Triglochin","Sphagnum","Malus-type","Saxifragaceae","Eryngium-type","Lotus-type","Glaucium","Armeria/Limonium","Rhus","Solanum","cf. Gentianaceae","Boraginaceae","Calystegia","Sambucus","Plantago media-type","Loranthus","Cerastium-type","Pseudopediastrum kawraiskyi","Caltha","Jasione-type","Tilia","cf. Silene albescens","Rubus","Medicago-type","Eremurus","cf. Silene ampullata","Anchusa/Pulmonaria","Rhamnaceae","Papaver","Scabiosa","Cornus","cf. Chionodoxa","Polygonaceae","Lonicera","Thymelaeaceae","Azolla/Salvinia"
1000,NA,NA,46,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,4,4,5,6,6,6,6,8,8,9,14,15,23,25,28,33,37,38,45,45,48,68,143,187,518,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1731,NA,NA,53,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,1,2,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,1,1,6,4,1,NA,1,4,9,NA,1,14,14,9,36,4,1,19,15,86,14,41,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2357,NA,NA,59,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,1,NA,1,1,NA,NA,2,NA,NA,1,1,5,5,5,2,1,NA,8,3,7,NA,NA,19,8,5,17,NA,NA,14,17,41,31,49,NA,NA,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2983,NA,NA,65,NA,6,2,2,1,2,NA,NA,2,NA,1,1,NA,NA,NA,7,NA,11,3,3,NA,1,NA,7,4,5,3,NA,10,6,33,10,NA,NA,4,7,8,NA,4,60,30,19,87,3,7,39,40,289,42,140,NA,3,NA,NA,6,NA,6,NA,NA,NA,1,1,1,1,1,1,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3505,NA,NA,70,1,NA,5,1,NA,6,NA,NA,2,NA,NA,1,NA,NA,1,12,NA,17,3,1,2,2,NA,4,4,2,NA,2,24,19,43,28,2,NA,37,20,17,3,2,85,39,44,119,2,7,55,55,212,90,182,NA,1,NA,NA,6,1,7,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,1,9,3,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,3,4,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4549,NA,NA,80,1,NA,9,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,1,14,2,5,2,NA,NA,4,NA,2,1,NA,13,12,29,22,3,NA,21,7,15,NA,1,53,23,18,83,2,4,26,51,210,56,157,NA,1,NA,NA,7,NA,1,2,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,2,4,NA,2,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5592,NA,NA,90,NA,6,4,2,NA,10,NA,NA,2,NA,2,3,NA,NA,NA,4,NA,17,3,4,2,1,NA,3,1,4,1,1,33,23,82,19,7,NA,63,4,18,1,NA,106,46,27,161,1,3,23,73,234,56,250,NA,NA,NA,NA,14,1,4,NA,NA,9,1,3,NA,NA,NA,NA,NA,NA,2,1,NA,1,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,1,NA,1,3,2,NA,6,NA,2,NA,NA,1,2,NA,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6636,NA,NA,100,NA,2,NA,2,NA,7,NA,NA,NA,NA,2,1,NA,NA,NA,NA,1,2,5,NA,NA,NA,NA,5,1,2,1,NA,9,7,18,10,7,NA,21,9,11,NA,NA,32,33,4,74,NA,7,29,35,195,52,126,NA,NA,NA,NA,9,1,9,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7680,NA,NA,110,NA,NA,NA,1,NA,6,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,30,4,2,NA,NA,NA,3,2,3,NA,1,18,9,23,16,8,NA,11,5,14,NA,NA,25,28,2,91,NA,6,19,44,284,21,159,NA,2,NA,NA,3,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8723,NA,NA,120,1,2,3,7,1,15,NA,NA,5,3,2,1,NA,NA,NA,NA,2,31,4,3,3,1,NA,12,NA,NA,3,NA,21,14,83,18,17,NA,5,7,10,NA,NA,61,58,11,142,NA,4,38,108,604,34,216,NA,NA,NA,NA,21,2,9,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,4,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,6,NA,8,NA,NA,1,NA,1,2,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
