Sample age (cal yr BP) [cal yr BP],Depth (cm) [cm],Acacia,Acalypha cf. crenata,Acanthaceae,Adansonia digitata,Adenia,Adina,Afraegle,Afzelia cf. africana,Alchornea,Allophylus,Amaranthaceae/Chenopodiaceae,Ampelidaceae,Anacardiaceae,Annonaceae,Antidesma,Apocynaceae,Araliaceae,Artemisia,Balanites,Blepharis,Blighia,Bombax,Boraginaceae,Borreria,Boswellia,Brassicaceae,Bridelia,Burkea africana,Butyrospermum,Caesalpinioideae,Capparidaceae,Caryophyllaceae,Cassia,Celastraceae,Celtis,Centaurea,Cf Dialium,Cf Scrophulariaceae,Chrozophora,Cissampelos cf. mucronata,Cissus,Clematis,Clerodendron,Cochlospermum,Cola cf. cordifolia,Combretaceae,Commelinaceae,Commiphora,Compositae,Convolvulaceae,Corchorus,Cordia,Crossopterix febrifuga,Croton,Cucumis,Cucurbitaceae,Cussonia,Cyperaceae,Detarium,Diospyros,Dombeya cf. buetnerii,Elaeis guineensis,Entada,Ephedra,Ericaceae,Erythrina,Euphorbiaceae,Ficus,Gramineae,Grewia,Heliotropium,Hygrophila,Hymenocardia,Hyphaene/Borassus,Indeterminables,Indetermines,Indigofera,Ipomaea,Irvingiaceae,Isoberlinia,Ixora,Justicia,Khaya,Kohautia,Lactuceae,Lamiaceae,Lannea/Sclerocarya,Liliaceae,Lobelia,Lophira,Lythraceae,Macaranga,Maerua,Mallotus,Malvaceae,Manilkara,Menispermaceae,Mitracarpus scaber,Mitragyna,Monocotyledoneae,Monotes kerstingii,Moraceae,Morelia senegalensis,Mussaenda,Nauclea,Nymphaea,Olea hochstetteri,Palmae,Papilionoideae,Parkia,Paullinia pinnata,Phoenix cf. reclinata,Phyllanthus,Piliostigma,Pinus,Podocarpus,Polycarpaea,Polygonaceae,Polygonum cf. senegalense,Prosopis,Pterocarpus,Pteropsida (monoletes),Pteropsida (triletes),Raphia,Rhus,Rubiaceae,Rutaceae,Salix cf. ledermanii,Salvadora,Sapindaceae,Securinega virosa,Solanum,Sterculia,Strychnos,Syzygium,Tacazzea apiculata,Talinum,Tapinanthus,Thunbergia,Thymeleaceae,Trema guineensis,Typha,Uapaca,Umbelliferae,Urticaceae,Vernonia,Vitex,Ximenia americana,Ziziphus
247.8519,2,,,,,,,,,,,6,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,2,1,,,1,,,,,683,,,,,,,,,1,,1112,,,,1,5,1,2,,,,1,,,,,,1,,,,,,,,,,,,2,,2,,,,,,,,,2,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,77,,,,1,,,
313.3333,6,,,,,,,,,,,3,,,,,,,,,,,,,2,,,,,,,,,,,1,,,,,,,,,,,3,,,,,,,,,,,,205,,,,,,,,,,,506,,,,6,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,37,,,,,,,
411.5555,12,1,,1,,,,,,1,,9,,,,,,,,1,,,,,,,,,,2,,,,1,,5,,,,,,,,,,,16,,,5,,,,3,,,,1,62,,,,,,1,,,,,239,,,,1,,,4,,,,,,,,,3,,3,,,,,,,,,,,3,,1,,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,1,,,,,,,,,1,197,,,,1,,,
608,24,1,,1,2,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,1,,7,,,12,,,,1,,,,,46,,,,,,,,,2,,1044,,,,3,,2,5,,,,3,,,,1,,,,,,1,,,,,,,,1,1,,,,,,1,,,,4,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,46,,,,1,,,
804.4445,36,,1,,,,,,,2,,8,,,,,,,,2,,,,,,,,,,,1,1,,2,,7,,,1,,,,1,,,,12,,,29,1,,,,,,,,79,,,,,,,,,1,1,863,,,,3,,3,6,,,,,,,,1,,,9,1,,1,,1,,,,,,2,,1,,,,,3,,,,,,,,,1,,,,,,,,1,,,,,,,1,,2,2,,,,,,,,,,29,,,,,,,3
959.963,45.5,2,,,,,,,,2,,24,1,,,,,,,2,,,,,,,,,,,,,,,,1,,,2,,,,1,,,,13,,,27,,,,,,,,,77,,2,,,,1,,,,,532,,,,5,,3,3,2,,,2,,,,,,,3,,,,,4,,,,,,2,,1,,,,,2,1,,,3,,,,,,,,,1,,,,1,2,,,,,,2,,4,,,,,1,,,,,,69,,,,,,,
1072.899,55,,,,,1,,,,2,,27,,,,,,,,1,,,,,,,,1,,,1,,,,,5,,,,,,1,,,,,11,,,10,,,,,,,,,45,,1,,,,,,,,1,685,,,,4,,1,3,,,,1,,,,1,,,1,,,,,,,,,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,1,,,,,,3,,3,,,,2,,,,,,,7,,,,,,,
1124.42,64,,,,,,,,,2,,21,2,,,1,,,,3,,,3,,,,,,,,1,,,1,,6,,,,,,,1,,,,15,,,16,,,,,,,,,87,,,,,1,,,,1,,536,,,,1,,,2,1,,,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,2,,,1,,,,,,,1,,,,2,,,,,,,,4,,,,,,,,,,1,7,,,,,,,
1178.804,73.5,2,,,,,,,,1,,14,,,1,,,,,2,,,,,1,,,,1,1,,,,1,,5,,1,1,,,,,,3,,5,,,12,,,,,,1,,,64,,,,1,,,,,4,1,697,,,,,,1,2,,,,,,,2,1,2,1,2,1,,,,,,,,,1,4,,,,,,,2,,,,3,,,,,1,,,,,,,,1,1,,,,,,,,3,,,,,,,,,,,4,,,,,,,
1233.188,83,,5,,,,,,,,,8,,,,,,,,1,,,1,,,,,,,,1,1,,1,,4,,1,1,1,,,,,,,5,,1,9,,,,,,,,,72,,1,,1,1,,,,2,,547,,,,3,,2,8,,,,2,,,,,,,2,,,,,,,1,,,1,1,,1,,,,,,,,,5,,,,,,,,,,,,,1,1,,,2,,,,2,2,,,,,,,,,,2,6,,,,,,,1
1273.261,90,,2,,,,,,,1,,15,,,,,,,,,,,2,,1,,,1,,3,,,,1,,3,,,,1,,,,,,,6,,,7,,,,1,,,,,57,,,,,1,,,,,1,699,1,,,1,2,1,4,,,,1,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,2,,,,,,,,1,,,,,,1,,,,,2,,,,,,,
1339.094,101.5,,,1,,,,,,,,11,,,3,,,,,,,,,,,,,,,,,1,,,,2,,,,,,,,,,,10,,1,14,,,,,,,,,104,,,,,1,,,,3,1,543,,,,1,,3,7,,,,1,,,1,1,,1,3,,,,,,,,,,,2,,,,1,,,1,,,,3,,,,,,,,,,,,,,2,,,,,,,,5,,,,,,,,,,2,1,,,,,,,
1390.616,110.5,1,,,,,,,,,,15,,,,,,,,1,,,,,,,,,1,,1,,,,,4,,1,1,,1,,,,,,9,,,8,,1,,,,,,,74,,2,,1,1,,,,1,1,668,,,,4,,4,2,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,1,,,,1,1,,1,,,,,1,,,,,,2,,,1,,,,,2,,,,,,,,,,2,5,,,,,,,
1445,120,1,,1,,,,,,,,10,,,,,,,,1,1,,,,,1,,,,3,,,,1,,1,,,,,,1,,,,,10,,1,7,,,,,,,,,60,,,,,,,,,,,680,,,,3,,3,1,,,,1,,,,1,,,7,1,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,1,,,,1,,,,,,1,3,,,,,,,
1500.818,132.5,1,,,,,,,,,,6,1,,,,,,,1,,,,,1,,,,,,,,,,,3,,,1,,,2,,,2,,11,,,9,,,,1,,,,,72,,1,,,,,,,2,,814,,,,4,1,4,4,,,,2,,,,,,,4,,,,,1,,1,,,,,,,,,,,2,,,,1,,1,,,,,,2,,,,,,5,,,1,,,,,3,,,,,,,,,,,6,,,,2,,1,
1547.704,143,2,,,,,,,,3,,5,,,,,1,,,1,,,,,,,,,,,1,,,1,,1,,,,,,2,,,,,7,,1,9,,,,1,,,,,41,,,,,,,,,2,,635,,1,,2,,,3,,,,,,,,,,,5,,,,,2,,2,,,,1,,,,,,,1,,,,1,,1,,,,,,,,,,,1,1,,,,,,,,,,,,1,,,,,,,6,,,1,,,,
