"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Cyperaceae","Poaceae","Urtica","Alnus glutinosa-type","Arbutus","Polypodium","Pistacia","Plantago lanceolata-type","Amaranthaceae-type","Erica arborea-type","Artemisia","Olea","Quercus ilex-type","Pinus","Lycopodium spike","Betula","Crataegus-type","Euphorbia","Vitis","Viola","Poaceae (Cerealia)","Rubiaceae","Corylus avellana","Lotus-type","Hypericum perforatum-type","Gnaphalium-type","Odontites-type","Tuberaria","Cichorioideae","Senecio-type","Juniperus-type","Anthemis-type","Botryococcus","Brassicaceae","Urtica dioica-type","Rumex-type","Phillyrea","Aster-type","Selaginella denticulata","Helianthemum","Silenoideae-type","Cistus","Ephedra fragilis-type","Mercurialis annua","Carduus","Thalictrum","Mentha-type","Sporormiella","Quercus suber-type","Morus","Platanus","Trifolium repens-type","Potamogeton-type","Scabiosa","Limonium","Echium","Paronychia-type","Silene dioica-type","Asparagus","Sedum-type","Lithospermum officinale","Reseda","Verbascum","Ceratonia siliqua","Urtica membranacea-type","Cercophora-type","Rumex acetosa-type","Linaria-type","Theligonum cynocrambe","Plantago maritima-type","Cyperus-type","Ulmus","Fraxinus ornus","Apiaceae","Ostrya-type","Daucus","Urtica pilulifera","Anogramma leptophylla","Salix","Daphne","Plantago coronopus-type","Anthoceros laevis","Quercus pubescens-type","Podospora-type","Microthyrium","Rubus","Fabaceae","Asteroideae","Cannabis sativa","Genista-type","Silene vulgaris-type","Arnoseris","Asplenium-type","Lonicera","Potentilla-type","Smyrnium-type","Pteridophyta (monolete) undiff.","Allium-type","Ranunculus acris-type","Ficus carica","Myrtus communis","Cheilanthes-type","Calendula","Diporotheca","Sagina","Gelasinospora","Glomus","Lamiaceae","Ononis-type","Ligustrum","Castanea sativa","Ephedra distachya-type","Pteridium aquilinum","Fraxinus excelsior-type","Juniperus","Alnus viridis-type","Polygonum aviculare-type","Prunus-type","Juglans regia","Acer","Heliotropium","Botrychium","Picea","Cerastium-type","Berberis","Rhinanthus","Ranunculus sect. Batrachium","Rosaceae","Lythrum portula","Ustulina deusta","Ophioglossum lusitanicum","Carthamus","Rumex obtusifolius-type","Centaurium","Herniaria-type","Liliaceae-type","Trifolium pratense-type","Riccia","Cuscuta","Malvaceae","Rhus","Ornithopus","Celtis australis","Dryopteris filix-mas-type","Rhamnus","Anthoceros punctatus","Caltha-type","Carlina","Centaurea nigra-type","Bupleurum","Jasione","Erodium","Sambucus nigra","Astragalus-type","Matthiola-type","Alisma-type","Ammi-type","Phlomis","Plantago major","Carpinus betulus","Cedrus","Abies","Anthriscus sylvestris-type"
595.8,NA,NA,540,"18584, 2","1","","1","","","","","","","","12","","","1","90","192","","","","","","","","","","","","","","1","","","","","","","","","","1","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
605.4,NA,NA,548,"18584, 2","1","","","","","","1","2","","","15","","2","5","1, 87","265","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
615.1,NA,NA,556,"18584, 2","1","","","","","","1","2","1","","20","2","","1","113","333","","","","1","","","","1","","","","","","","","","","","","","","","2","1","","","","","","2","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
624.8,NA,NA,564,"18584, 2","1","","1","1","","","","7","2","1","23","4","2","14","176","520","","","","","","","","","","","","","","2","","","","","","","1","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
634.4,NA,NA,572,"18584, 2","1","","","1","","","6","2","","3","14","","1","11","45","468","","","","","","2","","","","","","","","","","","","","","","1","","8","6","","","4","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
653.8,NA,NA,588,"18584, 2","1","","5","","1","","","11","","","61","5","2","3","3, 55","192","","","","","","4","","","","","","","8","8","","1","5","1","2","","25","8","1","1","1","","","","","1","","","27","","","","","","","","","","2","","","","","","","","2","2","","1","","","","","","","1","","","","1","2","","","","","","","","","","","1","1","1","6","","","","","","","","","","","","2","","","","","","1","1","","","","","1","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
663,NA,NA,596,"18584, 2","1","","1","","","","","","","","27","2","","4","99","909","","","","","","","","","","","","","","","","","1","","","","","","2","6","","","4","","","","","","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
672.1,NA,NA,604,"18584, 2","1","","12","","","","1","","","","8","","","24","1, 258","573","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
681.2,NA,NA,612,"18584, 2","1","","","","","","","2","","","33","6","1","1","189","387","","","","","","","","","","","","","","","","","1","","","","1","","4","3","","","7","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
690.3,NA,NA,620,"18584, 2","1","1","","","","","1","","","1","29","","","1","2, 62","656","","","1","","","","","","","","","","","1","","","","","1","","","","","3","","","5","","","","","","2","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
699.4,NA,NA,628,"18584, 2","1","1","1","","","1","1","1","1","4","130","5","1","5","3, 261","403","","","","","","2","","","","","","","16","6","","1","4","","3","1","","2","","4","1","1","","1","1","","","","8","","","","","","","","2","2","1","2","","","","","","","4","1","","","","","","","1","","","","1","","2","","3","","","","","","1","","","","","2","","","","7","","","","","","","5","","20","5","","","","","","3","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
722.2,NA,NA,648,"18584, 2","1","","1","","","","","","1","2","61","4","","2","2, 38","504","","","","","","","1","","","","","","2","6","","","1","","2","","3","","","2","","","","","","","","1","28","","","","","","","","","2","","","","","","","","","2","11","","","","","","","2","","","","","","","","2","","1","","","","1","","1","","","1","","","","1","","","1","","","","","","3","1","","","","","","1","","","","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
754.1,NA,NA,676,"18584, 2","1","2","1","","","","","1","","","22","","6","4","31","1680","","","","","","","","","","","","","","1","","","","1","","","1","","","4","","1","5","1","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
781.5,NA,NA,700,"18584, 2","1","","1","","","","","","1","","40","","","","28","700","","","","","","","","","","","","","","","","","","","","","13","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
790.6,NA,NA,708,"18584, 2","1","","1","","","","","7","","2","38","","","6","16","900","","","","","","","","","","","","","","2","","","","","1","","10","","1","","","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","2","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
799.7,NA,NA,716,"18584, 2","1","","2","","","2","3","5","1","3","25","3","","6","19","1673","","","","","","","","","","","","","5","6","","","","","4","","71","","1","3","","1","1","","","","","","7","","","","","","","","","1","","","","","","","","","","","","","","","","","3","1","","","3","","3","","2","","","","","","","","1","","","1","","","","1","","","","","","","","","","7","","","","","","1","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
808.9,NA,NA,724,"18584, 2","1","","2","","1","","1","10","1","","35","9","","16","99","369","","","","","","3","","","","","","","","","","","1","","","","2","","","3","1","","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","1","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
818,NA,NA,732,"18584, 2","1","","3","","","","","15","","3","18","9","3","45","24","2226","","","","","","2","","","","","","","","","","","","","","","3","","","","","","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
827.1,NA,NA,740,"18584, 2","1","","4","","","","","11","","","9","","3","12","40","358","","","","","","","","1","","","","","","1","","","","","","","9","","2","4","1","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
836.2,NA,NA,748,"18584, 2","1","","","","","","1","","2","2","40","","","6","32","1226","","","","","","","","","","","","","","2","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
845.3,NA,NA,756,"18584, 2","1","","1","","","","3","3","","1","46","3","","9","1, 102","580","","","1","","","1","","","","","","","","1","","","","","","","2","","","3","","","5","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
854.4,NA,NA,764,"18584, 2","1","","","","","","1","3","1","1","45","","1","3","1, 78","557","","","","","","2","","","","","","","","","","","","","","","","","","1","","","1","","","","","","","","","","","","","","","","1","","","","","","","","3","","","","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
863.6,NA,NA,772,"18584, 2","1","","1","1","","","1","10","1","1","40","2","8","10","98","","","","","","","","","","","","","","","","","","","","","","","","","9","","","14","","","","","","7","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
872.7,NA,NA,780,"18584, 2","1","1","5","7","","","","8","","","43","2","4","11","46","989","","","","","","3","","","","","","","","3","","2","","","","","2","","3","25","","","16","","","","","","12","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
881.8,NA,NA,788,"18584, 2","1","","8","","","","2","14","3","","79","4","3","6","8, 23","474","","","","","","2","","","1","","","","16","7","","1","2","","2","1","112","","4","","","","","2","","","","","35","","","","2","","","","","3","","1","","","","","","","1","2","","","","","","","","","2","1","","1","5","","2","","1","1","","","","","","","","","","","","","","","","1","","","","","1","1","","","","1","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
890.9,NA,NA,796,"18584, 2","1","","8","","","1","3","13","1","2","110","4","7","9","6, 77","312","","","","","","2","","","","","","","9","8","","2","5","","2","","67","","1","1","1","","1","","1","","","","14","2","","","","","","","","4","","","","","","","","","","","","","3","","","","","","","","","","4","","7","1","","1","","1","","","","","","","","2","","6","","","1","1","","","","","3","2","1","","","","","","","","","","","","","","","","","","","","2","","1","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","",""
900,NA,NA,804,"18584, 2","1","2","10","","","1","4","24","3","6","103","6","7","10","2, 48","632","","","1","","","2","","","","","2","","28","13","","3","6","1","3","1","84","","2","6","2","","1","1","","","","","83","","","","","","","","","2","","","","","","","","","","","","2","","","","","1","","","2","3","","5","1","8","","","","","1","","","1","","1","2","","2","1","2","","","","1","","","","","2","5","","","","","","1","","1","","","","","","1","","","","","","","","","2","","","","","3","","","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","",""
909.1,NA,NA,812,"18584, 2","1","","18","","2","2","1","43","4","6","75","13","19","28","42","1079","","","1","","","3","","","","","","","4","10","","7","1","","2","5","53","2","","1","3","1","","1","","","","","13","1","","","","","","","","7","","1","","","","","","","","","","1","2","","","","","1","","1","1","","1","1","1","2","","","","","","","","","1","","","","","","","","","","","","","","1","3","1","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","",""
918.3,NA,NA,820,"18584, 2","1","","6","","","","1","10","2","1","77","9","","20","1, 49","565","","","","1","","1","","","","","1","","9","8","","1","1","2","2","","45","5","2","","","","3","","","","","","47","1","","","","","","","","2","","","","","","","","","2","7","","","","","","","2","","","","1","","","","4","1","1","","","","","","","","","1","","","","3","","","","1","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","",""
927.4,NA,NA,828,"18584, 2","1","","3","","","1","1","291","","1","91","5","6","8","2, 57","859","","","","","","","","","","","1","","6","7","","","","1","","","5","1","","","","","1","","","","","","16","","","","","","","","","1","","","","","","","","","1","6","","","","","","","1","","1","","","","1","1","3","","","","","","","","","","","1","","","","2","","","","4","","","","","1","","","","","1","","2","","","","","","","","","","","","","","","","","","","","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
936.5,NA,NA,836,"18584, 2","1","1","17","","2","3","2","25","","7","87","10","15","45","1, 63","499","","","","","","1","","1","","","","","12","11","","7","2","1","3","4","34","1","2","3","","1","2","2","","","","","22","2","","","","","","","","3","","1","","1","","","","","2","5","","","","","","","","","","","","","","1","5","3","2","","2","","","","","","","","","","","2","","","","4","","","","","3","1","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","1","1","","","","","","","","","","","","","","","","",""
945.6,NA,NA,844,"18584, 2","1","1","11","","","","1","8","1","5","58","9","10","26","3, 56","1003","","","","","","2","","","","","","","12","7","","1","","","2","","26","1","1","1","1","","5","","","","","","8","","","","","","","","1","2","","","","","","","","1","1","9","","","","","","","","","","","","","2","","7","","1","","","","","","","","1","","","","","2","1","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","1","2","","","","","","","","","","","","","","","",""
954.7,NA,NA,852,"18584, 2","1","","1","","","6","1","3","1","2","95","4","5","12","6, 102","807","","","","","","","","","","","","","11","5","","2","1","","1","","10","1","1","3","","","","","","","","","36","","","","","","","","","","","","","","","","","","3","2","","","","","","","","","","","1","","1","","4","","1","","1","","","","","","1","","","","","5","","","","","","","","","3","","","","","","","","","","","","","","","","","","","","","","","","","2","","1","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","",""
963.8,NA,NA,860,"18584, 2","1","","4","","","","","16","5","1","23","4","12","16","2, 19","774","","","","","","","","","","","","","1","2","","1","1","","1","","5","2","","","1","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","","","","","","","","3","2","","","","1","","","","1","","","","","","","1","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
973,NA,NA,868,"18584, 2","1","","10","","","1","","17","2","","58","11","10","21","5, 58","877","","","","","","3","","","","","","","2","3","","1","3","","1","","18","4","","","","","1","","","","","","7","","","","","","","","","3","","","","","","","","","","1","","","","","","","","","","","","","4","3","2","4","1","","","","","","","","2","","","","","","","","","","","1","","","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","",""
982.1,NA,NA,876,"18584, 2","1","","30","","","","4","53","7","6","45","22","33","60","46","1500","","","1","","","1","","","","","","1","26","10","","2","7","","2","2","22","5","2","","1","","","","","","","","12","2","","","","","","","","1","1","","2","","","","","","2","11","","","","","","","1","","","","","","","","2","2","1","","","","","","1","","2","","","","","3","","","","1","","1","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","",""
986.6,NA,NA,880,"18584, 2","1","1","4","","","3","2","17","1","3","61","6","3","27","41","613","","","","","","","","","","","","","9","8","","5","1","","3","","32","5","2","","","1","","2","","","","","34","","","","1","","","","","1","1","","","","","","","","2","","","","","","","","","1","","","","","1","1","8","1","2","","2","1","","","","","","2","","","","5","","","","1","","","","","1","","","","","","","1","","","","","","","","","","","","","","1","","2","","","","","","","1","","","","","","","","","","","","","","","1","1","","","","","","","","","","",""
991.2,NA,NA,884,"18584, 2","1","","1","","","1","1","7","1","3","80","8","10","29","1, 66","334","","","","","","1","","","","","","","8","4","","1","","1","","","5","1","","1","","","1","","","","","","18","","","","1","","","","","2","","","","","","","","","2","","","","","","","","1","","","","1","","1","","4","1","","","1","","","","1","","4","","","","","3","","","","4","","","","","4","","1","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1000.3,NA,NA,892,"18584, 2","1","1","7","","2","1","2","40","1","4","54","24","47","66","84","775","","","","","","","","1","","","","","4","3","1","5","4","","","","6","4","","1","","","","","1","","","","5","","","","","","","","","1","","","","","","1","","","","1","","","1","","","","","","","","","","","","","2","","","","","","","","","","","","","","4","","","","","","","","","","","1","","","","1","","1","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","",""
1009.4,NA,NA,900,"18584, 2","1","4","33","","1","1","1","103","16","5","31","22","77","86","33","1463","3","","","1","","3","1","1","","","","","2","6","","7","5","4","7","2","5","20","3","","","","2","1","3","","","","3","1","","","","77","","","","8","","","","","","","","","","","","","","1","","","","","","1","","","1","","","6","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","1","3","","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","1","","","","","1","1","2","","","","","","",""
1018.5,NA,NA,908,"18584, 2","1","","2","","","2","7","14","","1","8","7","7","34","1, 196","241","","","","","","","","","","","","","8","1","","","","","2","","","4","","2","","","3","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","3","","","","7","1","","","","","","","","","","3","","","","10","","","","","","","","","2","","","","","","","1","1","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1027.7,NA,NA,916,"18584, 2","1","1","19","","","","5","28","2","5","20","10","55","87","72","355","","","","1","","","","","","","","","2","1","","8","1","","1","1","","1","1","","1","","","","","","","","1","","","","","","","","","2","","","","","","","","","","","","","1","","","","","","2","","","","1","","","4","","","","","","","","","","2","","","","","","","","","","1","","","","","","","","","1","","8","2","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","",""
1036.8,NA,NA,924,"18584, 2","1","6","13","","","1","1","34","6","1","36","18","99","103","1, 89","623","1","","","","","3","2","1","","","","","2","3","","7","2","","1","8","","9","","1","","","1","","4","","","","1","1","","","","","","","","4","","","","","1","","","","","","","","2","","","","","","","","2","","","","","3","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","",""
1045.9,NA,NA,932,"18585, 2","1","4","18","","1","1","6","22","5","6","52","13","62","131","1, 93","498","","","","","","","","","","2","","","4","3","","22","2","","2","8","1","3","","1","","","","","4","","","","1","1","","","","","","","","7","","","","","","","","","","","","","2","","2","","","1","1","","","","","","1","","","","","","","","1","","1","","","","1","1","","","","","","","","","","","","","","","","1","7","","","","","","","","","","","","","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","2","","1","2","","","",""
1055,NA,NA,940,"18584, 2","1","","5","","1","","4","30","1","","29","11","90","68","134","329","1","","","","","","","1","","","","","3","","","18","2","","1","5","","1","","","","1","","","","","","","2","1","","","","","","","","6","","","","","","","","","","1","","","","","","","","","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","",""
1064.1,NA,NA,948,"18584, 2","1","","7","","1","","1","22","4","6","40","19","107","91","1, 178","390","","","","","","","","","","","","","1","","","70","5","2","","","","11","","","","","","","1","","","","3","1","","","","","","","","4","","","","","","","","","1","2","","","","","","","","3","","","1","","","","4","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","1","","","",""
1073.3,NA,NA,956,"18584, 2","1","","3","","3","2","1","66","1","3","24","15","222","162","361","276","","","","","","","","","","","","","","","","70","2","1","1","","1","3","","1","","","","","1","","","","1","1","","","","","","","","2","","","","","","","","","","1","","","","","1","","","1","","","","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","1","","7","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","",""
1082.4,NA,NA,964,"18584, 2","1","","4","","1","","","25","2","1","12","12","105","18","1, 288","235","1","","","","","","","","","","","","","1","","47","1","","1","","","5","1","","","","","1","","","","","11","1","","","","","","","","1","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","",""
1091.5,NA,NA,972,"18584, 2","1","","4","","1","","8","16","","2","39","11","50","25","2, 197","331","1","","","","","","","","1","","1","","6","3","","31","7","1","2","","2","10","","3","","","1","1","","","","","3","2","","","","","","","1","6","","","","","","","","","1","1","","","1","","","","","","","","1","","1","","1","1","","","","","","","","","","","","","","5","","","","2","","","","","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","",""
1100.6,NA,NA,980,"18584, 2","1","2","5","","2","1","3","39","2","5","34","5","45","91","4, 103","494","","","","","","","","","","","1","","2","","","15","1","","7","","","6","","","","","","1","","","","","1","","","","","","","","","2","","","","","","","","","1","1","","","","","","","","","","","","","","","2","1","","","","","","","","","","1","","","1","1","","","","","","2","","","","","","","","","","1","","1","","","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1109.7,NA,NA,988,"18584, 2","1","","9","","1","","5","58","4","4","92","14","64","85","4, 111","558","","","1","","","","","1","","","","","6","1","","6","2","","1","2","1","9","","6","1","","","2","3","4","","","9","3","","","","","","","","4","","","","","","","","","1","1","","","1","","","","","","","","1","","","2","1","1","","","1","","","","","","","1","1","","1","1","","","","","","","","","","2","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1"
1118.8,NA,NA,996,"18584, 2","1","1","7","","3","","1","56","1","5","46","12","52","91","51","523","","","2","","","1","","","","","","","5","3","","12","2","","1","","","4","","2","","","2","","3","","","","5","3","","","","","","","3","5","","2","","","","","","","","2","","","","","1","","","","","","","","","1","1","","","","","","","","2","","1","","","","","1","","","","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1128,NA,NA,1004,"18584, 2","1","","10","","2","","2","42","2","1","35","12","66","78","4, 160","496","1","","","","","","","","","","","","2","2","","25","","2","1","","1","5","","","","","","","","","","","2","2","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","1","","1","1","","","","","","","","","1","","1","1","1","","","","","","","","","","1","","","","","","","","1","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1137.1,NA,NA,1012,"18584, 2","1","2","7","","1","","","50","6","3","27","12","140","66","75","400","","","","","","","","1","","","","","2","1","","17","1","1","1","2","2","7","","1","","","","2","1","","","","9","","","","","","","","1","4","","","","","","","","","2","1","","1","","","","1","","","","","1","","","1","1","2","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
1146.2,NA,NA,1020,"18584, 2","1","1","10","","","","1","57","9","2","20","11","118","31","1, 46","470","","","1","","","1","","","","","1","","1","6","","26","3","1","","","6","8","","2","","","","","1","","","","21","","","","","","","","","1","","","","","","","","","","5","","2","1","","","","","1","","","","","","3","","2","","","3","","","","","","","","","","","1","","","","","","","","","","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","1","","","2","","","","","","",""
1155.3,NA,NA,1028,"18584, 2","1","3","8","","","","1","30","23","4","10","1","94","88","2, 22","149","","","","","","","","1","","","","","1","23","","15","4","","","","2","2","","3","","","1","1","1","1","","","21","","","","","","","","","1","1","","","","","","","","1","3","","3","","","1","","1","1","","","1","","","2","3","","","","","","","","","","1","","","","","1","","","","","","1","","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2","","","","","1","","","",""
