Depth (cm) [cm],thickness [cm],Acacia groupe i,Acacia groupe iii,Acanthaceae,Adansonia,Aerva lanata-type,Alchornea,Allophylus,Alternanthera,Amaranthaceae/Chenopodiaceae,Ambrosia,Anacardiaceae,Anthocerotaceae,Anthostema,Artemisia,Asystasia-type gangetica,Bridelia,Caesalpinioideae,Caryophyllaceae,Cassia-type,Cayratia-type,Ceiba,Celastraceae,Celtis,Centaurea perrottetii,Chrysobalanus/Parinari,Coccinia-type,Combretaceae,Combretum aculeatum-type,Combretum molle-type,Commelina benghalensis,Commiphora,Cruciferae,Cyperaceae,Detarium,Dichrostachys,Diospyros,Elaeis guineensis,Erythrococca,Euphorbia,Euphorbiaceae,Ficus,Gramineae,Indeterminables,Indetermines,Ipomaea-type,Kohautia,Lannea,Laurembergia,Leucas-type,Liguliflorae,Lophira,Lycopodiaceae,Lygodium microphyllum,Macaranga,Mallotus,Meliaceae,Mitracarpus,Mitragyna inermis-type,Monocotyledoneae,Monoletes,Moraceae,Nymphaea lotus-type,Papilionoideae,Phoenix,Phyllanthus,Phyllanthus reticularus,Polycarpaea,Polygala,Priva-type,Resedaceae,Rhizophora,Rhus,Rubiaceae,Rutaceae,Salvadora,Salvinia,Sapotaceae,Schrebera,Scrophulariaceae,Securinega,Spermacoce radiata-type,Spores indeterminees,Syzygium,Talinum-type,Tamarix,Tapinanthus-type,Tetracera,Tiliaceae,Treculia,Triletes,Triletes lisses,Triumfetta-type,Tubuliflorae,Typha,Uapaca,Umbelliferae,Vitaceae,Ximenia,Zanthoxylum zanthoxyloides
2,2,,,,,,71,,5,7,,,,11,,,,,1,,,,1,,,,,,1,1,1,,,206,3,,,19,1,5,,4,59,26,11,,,,,,1,,,41,34,,,8,1,,413,,1,1,17,4,,,,,,1,,,,,2,,,,,,63,219,,2,,2,,,,4,,3,50,10,1,,,5
50,2,,,,,,,,8,3,,,,2,,,,,,,,,,,,,,,,,,,,241,,,,6,,1,,,82,4,7,,,,,,1,,,,,,,1,,,65,,,,,,,,,,,1,,,,,,,,,,8,32,,,,,,,,,,,19,194,,,,,
100,2,1,,,,,8,,3,10,,,,,,,,,,1,,,,,3,,,,,4,,,,303,,,,19,,1,,,85,12,7,,,,1,1,1,,,2,,,,10,1,,359,,1,,1,,,,,,,,,,,,,,,,,10,101,5,1,,,,,,,1,,24,155,,,,,3
150,2,,,,,1,7,,,1,,,,1,1,,,,,,,,,1,,,,,,,,,,449,,,,,,,,,125,7,6,,,3,,,,,,,3,,,2,4,,398,,1,,,6,,,,,,1,,,,,,,,,1,2,,15,,,,,,,,,,,,3,,1,,2
200,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,134,,,,,,,,,15,3,1,,,,,,,,,,,,,4,,4,39,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,
250,2,,,,,1,6,,,,,,1,,,,,,,,,,,,,,,,,,,,,89,,,,,,,,,39,2,,,,1,,,,,,,,,,2,,,58,,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,,,,,1,1,,,,
300,2,,,,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,38,,,,2,,,,,34,4,1,,,,,,,,,,1,,,,,,85,,9,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,,,
350,2,1,,,,2,24,1,,1,1,,,1,,,2,,,,,,,1,,,,,,,,,1,72,2,,2,13,1,,,1,110,10,7,,1,9,,,,2,,5,13,,,10,2,,78,,2,,,8,,,,,,2,,1,,,,,1,,,1,3,85,,,1,8,,1,,,,4,4,10,,,,8
400,2,,,,,2,26,1,,3,,,,3,,,,,,,,,,1,,,,,2,1,,,,24,5,1,,57,,1,,1,139,15,6,,,3,,,,,,12,7,,,5,3,,88,,28,,1,5,,,,,,4,,,,,,,,,1,,3,44,,,,8,1,7,1,,,,4,16,,,,3
450,2,,,,,,27,1,,2,,,2,3,,,2,,,,,,,1,,,,,,1,,,,81,3,,,11,,,,5,114,4,7,,1,,,,,2,,17,11,,,3,4,,240,,6,,,2,,1,,,1,4,,,,,,1,,,,,17,79,,1,,10,,4,,,,,3,13,,,,5
