"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Sample quantity","Convolvulus","Delonix","Pupalia","Capparis/Cadaba","Fabaceae undiff.","Heliotropium","Cassia","Commiphora","Maesa","Tribulus","Cleome","Combretum-type molle","Combretum-type aculeatum","Maytenus","Suaeda","Terminalia","Maerua","Fagonia","Kohautia","Acacia (group I)","Celosia","Cornulaca/Aerva","Poaceae","Tamarix","Zygophyllum","Acacia (group III)","Kickxia/Acridocarpus","Salvadora persica","Ziziphus","Cyperaceae","Lycopodium spike","Artemisia","Asteraceae undiff.","Brassicaceae","Mimosa","Dracaena","Reseda","Olea capensis","Polydora serratuloides","Blepharis","Anticharis","Ericaceae","Polygala","Ambrosia","Lotus","Polycarpon-type","Indeterminable","Euphorbia","Prunus africana","Utricularia","Indigofera","Abutilon/Pavonia","Boswellia","Corchorus-type","Sporormiella","Dodonaea viscosa","Juniperus","Ficus","Justicia","Capparis","Solanum","Pinus","Balanites","Hypoestes","Prosopis","Boerhavia","Pteridophyta (trilete)","Caesalpinioideae undiff.","Ricinus communis","Peristrophe","Barleria","Croton","Flacourtia","Cocculus pendulus","Olea europaea subsp. cuspidata","Celtis","Rumex","Apiaceae undiff.","Cissus","Antidesma","Allophylus","Keetia","Carissa","Abutilon","Tapinanthus","Unknown","Hygrophila","Aizoaceae undiff.","Acalypha","Ephedra","Adenium"
481,NA,NA,1,"13911, 1","1.25","1","1","1","1","2","2","2","2","2","2","2","2","2","3","4","4","6","6","6","6","7","8","9","9","9","12","15","19","21","235","789","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
646,NA,NA,2,"13911, 1","1.25","1","1","","","","2","3","12","2","","2","","","","4","16","3","","17","6","","6","28","","10","4","","7","10","152","61","1","1","1","1","1","1","1","1","1","1","2","2","3","3","3","3","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
1854,NA,NA,3,"13911, 1","1.25","6","1","","","","","4","55","","1","","","4","","2","27","23","10","51","4","","4","58","","2","3","","6","9","4","30","1","9","","","6","","4","","","","1","","1","","","1","17","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4096,NA,NA,4,"13911, 1","1.25","","","","","","","","2","","","1","","","1","2","7","9","1","16","5","7","9","5","1","","","","","","","550","","","","","1","","","","","1","","","","","","","","","","","","1","1","4","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4741,NA,NA,5,"13911, 1","1.25","","","","2","","1","","1","","1","3","7","","","2","34","26","","37","2","","35","24","2","4","1","","22","4","1","1807","1","1","5","","14","","","","","1","","","","","6","3","1","","","1","","3","","9","3","1","1","1","1","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4744,NA,NA,6,"13911, 1","1.25","","","","1","5","","5","21","","6","1","","4","1","20","34","8","3","4","63","1","39","75","1","9","20","","20","15","8","17","2","","","","30","","","","","1","1","","","","6","3","2","","","","4","2","1","1","2","","2","5","","","","1","1","2","3","11","","","","","","","","","","","","","","","","","","","","","","","",""
4903,NA,NA,7,"13911, 1","1.25","","1","","","1","","2","26","","10","","","1","","14","26","1","","4","10","","8","30","","4","17","","14","9","3","112","","6","","","43","","","","","","2","","","","2","1","1","","","","14","7","3","","20","","","","","","2","","","","2","","1","1","1","1","2","","","","","","","","","","","","","","","","","","",""
5114,NA,NA,8,"13911, 1","1.25","","","","4","1","2","6","13","","1","1","5","3","","6","111","23","","46","5","2","35","16","4","4","2","","19","1","","84","1","","","","6","","1","","","","","","","","4","","","","","","","","","","","1","","","","","","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","",""
5136,NA,NA,9,"13911, 1","1.25","","","","","1","","","8","","5","","","","","19","15","10","9","65","33","1","34","37","3","8","","","34","20","4","91","","","","","4","","","","","","","","1","","","1","7","","","","","1","","1","41","","","","","1","","","","1","","","","","","","","","","2","1","1","1","1","1","","","","","","","","","","",""
5155,NA,NA,10,"13911, 1","1.25","","1","","","2","","2","28","","14","","1","","","54","11","2","3","23","44","1","27","75","","2","5","","26","7","4","29","3","2","","","16","","","","","","","","3","","","","4","","","2","","","1","","14","","","","","","","","6","","","","","","","","","1","","","","","1","","","1","1","1","2","4","","","","","",""
5185,NA,NA,11,"13911, 1","1.25","","","","","","1","","","","","","","","1","","16","1","","1","3","","15","12","","4","1","","5","","","437","","1","","","4","","","","","","","","","","","2","","","","","","","","1","1","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","1","","","","",""
5275,NA,NA,12,"13911, 1","1.25","","","","","","","","4","","1","","","","","11","46","","4","24","3","","35","95","","3","","","13","4","19","68","10","","","","15","","","","","","1","","","","","","7","","","","","","","5","2","1","1","","","1","1","","","","","2","","","","","","1","","2","1","","","","","","","","","1","","","","","",""
5326,NA,NA,13,"13911, 1","1.25","","","","","","","1","7","","8","","2","","","13","2","","","1","13","","9","10","1","2","","","14","8","2","34","","1","","","59","","","1","","","","","4","","","1","3","","","","1","","","","8","","","1","","","","","","1","","","","","","","","","","1","","","","","","","","","","","","1","1","","",""
6075,NA,NA,14,"13911, 1","1.25","1","","","10","","","7","25","","8","","","","","9","4","38","2","23","6","","2","94","","6","","","32","4","5","29","","1","","","","4","","","","1","","","","","5","","4","","","","12","4","11","","26","","","3","","","","","1","","","","","","","","","","","","","","1","1","","","","","","1","1","","","1","1","7"
