"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Caryophyllaceae","Castanea","Salix","Ranunculaceae","Populus","Lamiaceae","Plantago","Rosaceae","Rubiaceae","Rhamnus","Olea","Mercurialis","Fraxinus excelsior-type","Carpinus betulus-type","Indeterminable undiff.","Dryopteris filix-mas","Poaceae (Cerealia)","Ligustrum","Ranunculus sect. Batrachium","Poterium sanguisorba","Unknown (monolete, psilate)","Rumex acetosella","Typha/Sparganium","Apiaceae","Urticaceae","Quercus ilex","Alnus","Faboideae","Unknown (trilete, psilate)","Cupressaceae","Cyperaceae","Ericaceae","Indeterminable","Artemisia","Platanus","Bistorta officinalis-type","Plantago lanceolata","Brassicaceae","Isoëtes","Amaranthaceae","Asteroideae","Quercus (deciduous)","Cichorioideae","Unknown","Poaceae","Pinus","Pollen concentration","Boraginaceae","Sambucus","Trifolium","Tamarix","Ulmus/Zelkova","Haplophyllum","Unknown (trilete, non-psilate)","Fagus","Cistus","Corylus","Liliaceae","Juglans","Ephedra fragilis-type","Carpinus orientalis","Picea","Potamogeton","Filipendula","Pteridium aquilinum-type","Abies","Plantago major","Hedera","Vitis","Melampyrum","Knautia","Tilia","Pistacia","Phillyrea","Thalictrum","Centaurea","Polygonum sensu lato undiff.","Calluna","Rumex undiff.","Nymphaea","Myriophyllum verticillatum","Myriophyllum alterniflorum","Thymelaeaceae","Pterocarya"
151,NA,NA,27,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,4,4,4,4,5,5,5,6,6,6,6,8,9,9,10,11,12,14,26,26,43,45,47,51,29265.6328125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
868,NA,NA,207,NA,2,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,4,2,11,9,1,1,6,NA,7,7,36,1,NA,5,16,1,2,2,5,9,17,32,26,34,69,69,32408.083984375,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1445,NA,NA,347,4,NA,2,13,1,NA,NA,NA,1,2,NA,1,1,2,2,12,NA,2,NA,NA,2,NA,1,8,5,NA,4,16,NA,7,11,20,5,NA,5,1,NA,4,7,3,7,5,136,10,35,79,58,33513.51953125,NA,NA,NA,1,2,NA,1,5,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2145,NA,NA,529,3,3,NA,3,NA,1,NA,NA,NA,1,NA,14,1,3,1,10,NA,NA,NA,NA,1,1,3,2,3,5,2,3,1,13,3,10,10,4,7,5,10,6,9,25,9,31,61,46,119,79,16,9012,NA,NA,NA,NA,3,NA,NA,4,NA,2,NA,4,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2668,NA,NA,669,3,2,NA,8,NA,NA,NA,1,NA,2,NA,3,1,NA,1,3,NA,3,NA,NA,8,2,1,1,2,1,4,7,1,17,3,12,5,2,10,1,2,2,2,20,6,15,77,32,66,84,15,15115.9306640625,NA,NA,NA,NA,5,NA,NA,6,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3188,NA,NA,807,2,NA,1,8,NA,NA,NA,1,NA,4,NA,2,NA,3,7,3,NA,NA,NA,NA,4,1,NA,2,4,1,19,3,NA,13,3,18,4,1,2,2,NA,1,1,7,5,12,69,10,33,78,31,20981.09375,NA,NA,NA,NA,1,NA,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3723,NA,NA,947,NA,1,1,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,3,NA,NA,1,4,NA,1,4,NA,1,8,NA,6,4,12,NA,16,10,1,3,3,2,14,5,10,125,19,76,35,27,30681.818359375,NA,NA,1,NA,NA,NA,NA,7,2,4,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,1,2,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA
3860,NA,NA,982,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,3,1,NA,29,2,NA,NA,2,NA,1,1,11,NA,9,3,NA,2,1,NA,1,14,5,46,6,11,176,12,176236.359375,NA,NA,NA,NA,1,NA,NA,2,NA,4,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,7,NA,NA,NA
4029,NA,NA,1026,3,1,NA,NA,NA,1,NA,1,NA,2,NA,NA,NA,3,NA,NA,NA,4,NA,1,NA,NA,NA,26,NA,NA,NA,2,1,3,NA,20,NA,7,4,NA,NA,2,2,2,10,4,78,9,34,118,36,79578.9453125,NA,NA,NA,NA,1,NA,NA,4,1,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA
4182,NA,NA,1066,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,26,2,NA,NA,2,NA,2,1,8,NA,6,4,1,NA,2,1,1,11,6,47,3,32,158,6,105864.40625,NA,NA,NA,NA,NA,NA,NA,2,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,3,NA,1,2,1,1,1
