"age_NA","ageolder_BP","ageyounger_BP","depth","Brassicaceae","Tamarix","Olea europaea","Armeria/Limonium-type","Poaceae","Liliaceae undiff.","Malva sylvestris-type","Pinus halepensis/P. pinea-type","Ephedra distachya-type","Amaranthaceae","Cichorioideae","Quercus ilex/Q. coccifera-type","Erica arborea-type","Juniperus-type","Cardueae","Cyperaceae","Polypodiophyta (trilete)","Caryophyllaceae","Fabaceae","Pseudoschizaea circula","Convolvulus arvensis-type","Polypodium vulgare-type","Poaceae (Cerealia)","Helianthemum-type","Lamiaceae","Phillyrea","Daphne gnidium-type","Asphodelus albus-type","Cedrus","Plantago lanceolata-type","Campanula-type","Glomus cf. G. fasciculatum","Rosaceae","Alnus","Rubiaceae","Unknown (type 181, HdV)","Rumex acetosa-type","Sordaria undiff.","Myriophyllum","Quercus (deciduous)","Apiaceae","Polypodiophyta (monolete) undiff.","Riccia undiff.","Centaurea nigra-type","Boraginaceae","Urtica dioica-type","Artemisia","Polygala vulgaris-type","Pistacia lentiscus"
NA,NA,NA,39,1,1,4,4,5,6,6,41,61,73,498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,38,NA,1,NA,9,7,20,15,27,85,53,1816,1,2,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,18,3,NA,2,NA,3,NA,NA,11,23,52,240,4,NA,NA,1,2,2,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,NA,NA,NA,NA,3,2,NA,13,104,81,870,2,NA,NA,4,NA,NA,NA,NA,2,4,5,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,43,NA,1,NA,NA,3,NA,1,18,155,31,1400,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,35,1,2,NA,2,2,NA,29,53,116,43,907,2,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,NA,NA,NA,NA,3,NA,2,37,19,12,193,7,NA,NA,5,NA,NA,3,1,NA,NA,2,NA,NA,NA,NA,NA,NA,1,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,16,NA,1,NA,NA,2,NA,NA,19,21,98,516,NA,NA,6,6,NA,NA,NA,14,4,NA,NA,NA,NA,1,NA,2,NA,NA,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,NA,NA,NA,1,3,1,3,5,6,32,2105,5,NA,1,4,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,37,NA,NA,1,NA,2,1,NA,116,31,22,500,NA,NA,NA,1,NA,1,NA,NA,3,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,34,NA,1,NA,2,11,2,15,27,69,15,1446,NA,2,46,2,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,7,NA,NA,1,2,NA,2,NA,77,21,43,666,6,NA,4,NA,NA,NA,3,2,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,NA,NA,NA,1,1,NA,5,19,82,47,1018,3,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,2,2,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,27,NA,1,NA,1,2,NA,1,33,82,18,1000,2,NA,2,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,1,1,NA,1,2,6,1,42,102,111,331,3,NA,2,2,NA,NA,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25,NA,1,3,NA,3,NA,NA,10,24,90,620,6,NA,3,NA,NA,NA,1,NA,3,NA,NA,NA,NA,1,NA,6,6,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
