Depth (cm) [cm],Acacia,Aerva javanica-type,Aerva lanata-type,Aeschynomene afraspera-type,Aizoaceae,Alchornea,Anacardium,Artemisia,Avicennia,Balanites aegyptiaca,Boerhavia-type,Boscia-type,Calligonum polygonoides,Capparis fascicularis-type,Caryophyllaceae,Cassia-type,Celosia trigyna,Celtis,Centaurea perrotettii,Chenopodiaceae-Amaranthaceae,Cleome,Coccinia-type,Cocculus pendulus-type,Combretum,Combretum aculeatum-type,Combretum molle-type,Commelina forskalei-type,Commiphora,Compositae liguliflorae,Compositae tubuliflorae,Cruciferae,Cynoglossum,Cynomorium,Cyperaceae,Diospyros,Echium,Ephedra,Euphorbia grande taille,Euphorbia petite taille,Fagonia,Geraniaceae,Gramineae,Grewia,Gynandropsis gynandra,Heliotropium strigosum-type,Hibiscus-type,Ixoratype brachypoda,Juniperus,Labiatae,Maerua,Maytenus-type,Mimosa pigra,Mimosaceae,Mitracarpus villosus,Moltiokpsis-type,Olea africana-type,Oleaceae,Oxalis,Papilionaceae,Pavetta-type,Phyllanthus niruri-type,Pinus,Plantago,Polycarpaea-type,Potamogeton-type,Quercus,Resedaceae,Rhizophora,Rumex,Salacia-type,Sesbania sesban,Spermacoce radiata-type,Suaeda-type,Tamarix,Teucrium-type,Tinospora bakis,Tribulus,Typha,Umbelliferae,Unknown type 1,Unknown type 2,Unknown type 3,Veronica,Zaleya-type,Zygophyllum
30,1,,,,,,,,,,,,1,,,3,,,,10,1,,,,,1,,3,,13,,,,135,,,1,30,4,,,91,,,1,,,,4,,,,,,,,,,,,,1,1,,,,,,,,,,,1,,,1,,,,,,,7,
40,,,1,,3,,,2,,1,,1,1,,,,,,,6,,,,,,,,1,1,8,3,,,113,,,1,8,,,,54,,,,,,,,1,,,,1,,,,,,,,3,,,,,,,,,,,,,,,,,,4,,,1,,
50,,,,,1,,,2,,,,,7,,,,,,,10,,,,,,,,1,,8,,,,103,,,,9,,,,70,,,,,1,1,,,,,,,,,,,,,,3,2,,,2,,,1,,,,,,1,,,2,,4,,1,,,
70,,,,,,,,,,,1,,,,,,2,,,,,,,,,,,1,2,3,,,1,76,,,,2,,,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
80,,,,,,,,,,,,,,,1,,,,,11,,,,,,,,2,1,,,,,69,,,,2,1,,1,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,1,
90,5,2,2,,2,,,,,1,,,1,,,5,1,,1,52,3,,,,,2,,7,,21,1,,1,304,,,3,5,1,,,175,,,,,,,4,5,,,,1,,,,3,1,,,1,,,,,,,,,,1,19,,,,1,,,1,1,,,,
100,3,,7,,,,,4,,1,,,,,2,,,,1,56,,,,,,,,11,1,14,3,,,326,,,,9,,,,128,,1,3,,,,3,2,,,,1,,,,,,,,2,,,,,,,,,,,15,7,,,1,,1,,2,,,,
110,5,,19,,,,1,1,,,,,,,,5,2,,,86,2,1,4,,,,,6,,9,1,,,175,,1,,3,,,,56,,3,1,,,,,2,,,,2,,,,,,,1,,,,,,,1,,,,,26,4,,1,,,,,1,,,2,
120,,,6,,,,,,,,,,,,,,,1,,18,,,1,1,,1,,1,,6,,,,95,,,,1,,,,48,,1,,,,,,3,,,,,,,,,,,,,,1,,,1,,,,,,23,3,,,,,,1,1,,,,
130,12,,18,,,,,2,,,,1,,,2,2,,,,34,2,,,,1,4,,4,,6,1,,,180,,,,1,,1,,83,,1,,1,,,,3,,,,,,,,,,,,,,1,,,1,,,,,,17,,,1,,,,1,,,,1,1
