"age_NA","ageolder_BP","ageyounger_BP","depth","Brassicaceae","Quercus ilex/Q. coccifera-type","Quercus pubescens/Q. robur-type","Varia","Indeterminable","Polypodiaceae","Cyperaceae","Anemone-type","Geranium-type (reticulate)","Polypodium vulgare","Malvaceae","Asteroideae","Poaceae","Amaranthaceae","Pinus","Cichorioideae","Vitis","Campanulaceae","Poaceae (Cerealia-type)","Olea-type","Anogramma","Betula","Knautia arvensis-type","Juglans","Plantago lanceolata-type","Fagus","Ulmus","Alnus","Phillyrea","Caryophyllaceae","Ranunculus acris-type","Ostrya/Carpinus orientalis-type","Erica","Artemisia","Corylus","Picea","Hedera","Equisetum","Polygonum aviculare-type","Ceratonia","Dryopteris","Pteridium","Rosaceae","Ephedra fragilis-type","Tilia","Triticum-type","Convolvulus","Calystegia","Fraxinus ornus","Erodium-type","Cupressaceae","Fraxinus excelsior-type","Buxus","Ericaceae","Persicaria maculosa-type","Pteris","Fallopia convolvulus-type","Rubiaceae","Typha latifolia","Aspiromitus punctatus","Ligustrum","Boraginaceae","Fabaceae","Ilex","Mercurialis annua","Anthoceros laevis","Sparganium-type","Castanea"
NA,NA,NA,6,1,1,1,1,2,2,3,3,3,3,5,9,17,22,52,66,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,9,NA,NA,1,203,18,NA,NA,2,2,7,5,NA,7,NA,4,1,1,1,1,1,1,2,2,5,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,11,8,NA,5,8,50,2,3,NA,15,3,19,1,57,1,25,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,2,3,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,4,10,NA,5,14,94,2,1,NA,4,354,1,4,49,NA,14,6,3,NA,NA,4,NA,NA,14,6,17,NA,3,2,NA,18,NA,2,6,8,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,8,4,NA,7,3,6,6,14,NA,2,4,16,11,13,39,44,83,NA,NA,NA,3,NA,6,NA,1,NA,NA,NA,2,NA,1,NA,NA,NA,5,5,1,1,1,2,2,2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,1,NA,NA,4,6,17,2,5,1,2,31,7,2,36,26,7,2,NA,NA,1,5,NA,7,NA,4,11,2,2,14,NA,1,NA,NA,NA,1,13,NA,NA,NA,NA,NA,NA,5,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,13,6,NA,3,3,13,6,3,17,4,11,55,1,22,1,67,6,NA,NA,NA,3,NA,1,13,1,1,NA,NA,4,1,7,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,5,23,NA,7,29,26,5,9,8,7,27,20,5,10,26,10,18,1,NA,NA,5,NA,NA,NA,10,4,1,NA,1,NA,5,4,NA,NA,13,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,1,7,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,15,3,NA,5,3,10,2,1,12,6,3,6,1,66,2,226,1,1,NA,6,2,1,NA,15,15,2,NA,4,NA,1,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,6,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,12,3,NA,1,3,23,NA,12,5,3,4,27,4,88,25,64,9,2,NA,NA,12,NA,NA,2,19,NA,NA,1,NA,9,NA,4,NA,NA,NA,4,NA,NA,NA,4,NA,NA,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,1,1,1,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,2,1,NA,11,25,63,11,22,10,NA,16,9,1,139,NA,24,6,1,NA,7,301,2,1,NA,90,2,NA,31,1,55,5,NA,1,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,8,NA,118,NA,NA,1,NA,NA,NA,NA,NA,1,1,1,6,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,14,7,1,10,11,40,NA,68,1,2,4,6,19,88,120,53,12,20,NA,NA,6,1,NA,2,7,1,NA,NA,5,NA,6,NA,2,NA,20,4,NA,1,NA,13,NA,NA,16,NA,NA,NA,NA,3,NA,NA,NA,3,NA,NA,1,NA,NA,14,NA,NA,2,NA,1,2,NA,NA,NA,NA,NA
NA,NA,NA,10,20,5,7,9,20,23,12,9,11,6,29,10,104,34,178,31,6,NA,1,25,1,NA,11,17,5,NA,NA,6,NA,9,NA,2,1,10,11,NA,NA,NA,2,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,2,NA,NA,NA,1,1,2,3,4
