"age_NA","ageolder_BP","ageyounger_BP","depth","Sambucus","Acer","Rosaceae","Ephedra fragilis","Indeterminable undiff.","Cichorioideae","Plantago lanceolata","Centaurea","Brassicaceae","Salix","Ephedra distachya-type","Unknown","Galium","Cyperaceae","Apiaceae","Asteroideae","Rumex","Quercus robur-type","Betula","Pinus undiff.","Amaranthaceae","Juniperus","Poaceae","Artemisia","Eucalyptus spike","Thalictrum","Fraxinus","Urticaceae","Hedera","Caryophyllaceae","Secale","cf. Parthenocissus","Plantago coronopus","Hippophaë","Nymphaea","Taxus","Pistacia","Dryopteris-type","Corylus","Juglans","Oleaceae undiff.","Plantago maritima","Ulmus","Olea","Fagus","Carpinus betulus","Ostrya/Carpinus","Quercus ilex-type","Alnus","Moraceae","Sparganium-type","Onagraceae","Ericales","Cladium mariscus","Populus","Pteridium-type","Phillyrea","Tilia","Abies","Plantago undiff.","Scrophulariaceae","Bistorta","Ephedra undiff.","Brassica","Loranthaceae","Lamiaceae","Matricaria","Quercus undiff.","Nuphar","Campanulaceae","Fabaceae","Noaea-type","Boraginaceae","Celtis","Ilex","Vitis","Potamogeton","cf. Vicia","Castanea","Hypericum","Ranunculus","Rhamnaceae","Sanguisorba","Poaceae (Cerealia-type)","Caltha-type","Cystopteris","Triticum","Typha latifolia","Menyanthes-type","Liliaceae","Equisetum","Cornus","Eriogonum-type","Cotinus-type","Cassia","Myrtaceae","Polypodium-type","Myriophyllum","Linum","Ambrosia-type","Picea","Saxifraga oppositifolia","cf. Pedicularis","Bunium","Ficus","Tamarix","Humulus/Cannabis"
NA,NA,NA,449,1,1,1,1,1,2,2,3,4,5,6,6,7,8,8,10,11,13,28,33,38,86,149,162,680,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,470,NA,NA,1,NA,10,1,NA,NA,5,5,1,5,5,6,8,5,5,2,1,19,42,126,151,153,692,1,1,1,1,3,3,4,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,25,NA,1,NA,NA,2,NA,2,1,NA,1,NA,4,1,3,NA,NA,NA,62,NA,1,2,1,5,NA,681,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,1,1,2,2,2,2,3,6,28,44,51,63,72,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,275,NA,1,NA,NA,12,NA,1,NA,NA,NA,NA,3,NA,1,NA,1,NA,150,1,NA,NA,NA,24,1,NA,NA,6,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,59,NA,NA,NA,28,10,20,5,122,75,66,1,1,1,1,1,2,2,3,4,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,405,NA,NA,1,NA,7,NA,NA,NA,1,3,NA,9,3,2,12,5,1,264,84,23,9,5,154,38,NA,1,4,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,3,NA,1,13,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,458,1,NA,NA,2,7,4,1,NA,1,NA,2,7,15,7,8,8,1,22,19,23,37,53,194,125,982,3,NA,NA,NA,4,1,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,195,NA,NA,NA,NA,7,2,3,NA,NA,NA,NA,3,NA,2,2,1,1,98,1,1,7,3,14,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,4,6,1,NA,14,NA,11,NA,10,NA,11,25,63,84,111,NA,NA,NA,1,NA,1,2,NA,1,68,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,443,NA,11,NA,NA,7,1,1,NA,NA,4,NA,4,3,5,7,2,9,262,43,12,9,1,112,20,390,1,25,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,16,NA,18,NA,NA,26,1,NA,NA,NA,NA,NA,6,NA,NA,24,NA,NA,NA,NA,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,400,NA,2,NA,NA,24,1,NA,NA,1,4,3,3,4,2,7,5,2,239,51,26,13,NA,103,52,510,2,4,NA,NA,3,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,4,NA,NA,13,2,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,155,NA,3,NA,NA,7,NA,2,NA,1,NA,NA,3,NA,2,2,2,NA,96,NA,1,NA,NA,5,1,NA,NA,7,7,8,NA,NA,NA,NA,NA,5,42,1,NA,26,NA,8,NA,19,NA,17,28,87,91,95,NA,NA,NA,1,NA,NA,NA,3,1,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
