Depth (cm),pill lycopodium added,pollen concentration volumétrique (/ml),Pollen flux (/cm2/yr),Lycopodium counted,volume (ml),Gramineae,Cyperacea,Rhizophora,Typha (Typhaceae),Graminae ? 25 µm,olea (oleacea),Pinus,Artemisia,Asteroideae (Compositae Tubuliflorae),Amaranthaceae/Chenopodiaceae/Caryophyllaceae,Acacia (Mimosaceae),Boreria spermacore (Rubeacea),Mitracarpus,Mimosa type,Zizyphus (Rhamaceae),Boscia-type (Capparidacea),Butyrospemum (Sapotacea),Pliostigma (Caesalpiniaceae),Pterocarpus - type (fabaceae),Vernonia-type (Asteraceae),Indigofora,Tamarindus,Stereospermum - type (Bignoniaceae),Phoenix-type (Palmae),Uapaca,Anonaceae,(Rubeacea)Canthium subcordatum,Euphorbia-type,Sp indetérminés,Sp indeterminables,Rubeacea,clematis,Galium,Fraximus,Cuviera,foraminifera,spores,Fungal spores,Botryococcus,Pediastrum,Soenedesmus,Cosmanium,les ronds spiraux,Staumastrum,pollen indet
21,10672,5447.006711,2368.263795,149,1,21,13,0,0,27,0,0,0,0,4,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,0,0,0,0,56,17,1,,,,,,,1
41,10672,2062.002033,896.5226228,984,1,65,16,4,6,73,2,1,1,3,6,2,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,92,1,7,1,2,0,2,4,,0
51,10672,4536.937117,1972.581355,652,1,94,13,3,3,90,1,0,0,1,23,11,1,5,4,3,0,0,0,0,0,0,0,0,0,0,0,1,12,0,8,4,0,0,0,0,35,24,11,,,,,,,8
81,10672,2819.611227,394.7454025,481,1,23,12,1,3,57,0,10,0,0,2,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,5,4,0,0,0,0,109,12,10,9,6,1,0,8,,5
91,10672,1745.885559,244.4238734,367,1,21,9,0,3,23,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,49,4,1,3,4,0,2,5,,1
101,10672,1817.702128,254.4781961,329,1,19,9,2,3,14,0,0,0,1,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,8,3,0,0,0,1,,,0
121,10672,1241.744186,173.8441165,860,1,23,10,3,1,31,0,0,0,3,3,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8,0,6,2,0,0,0,0,27,5,0,2,1,0,1,2,,6
131,10672,2429.517827,340.1328359,589,1,45,14,3,10,46,0,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,1,0,2,0,0,0,54,8,5,0,2,0,0,5,0,1
141,10672,2996.266187,767.46458,278,1,19,9,0,2,37,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,3,2,0,0,0,0,0,35,9,18,,,,,,,5
151,10672,1413.397059,362.0279749,408,1,14,4,0,4,25,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,2,0,0,0,0,16,8,0,,,,,,,2
171,10672,2617.559398,670.4625122,665,1,59,27,7,5,47,0,0,0,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,2,3,0,0,0,0,49,2,7,,,,3,8,,2
181,10672,2965.785351,759.6572205,983,1,113,33,5,10,86,0,2,0,1,5,0,1,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,2,0,0,0,0,44,5,1,0,2,0,2,,,5
191,10672,2538.45082,650.1996152,488,1,29,19,8,2,47,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,1,2,0,0,22,5,3,0,0,0,2,2,0,0
201,10672,3787.850427,970.2212354,234,1,32,3,1,2,23,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,2,9,0,0,0,0,0,28,15,1,,1,,,,,11
211,10672,5315.339367,1361.472747,442,1,77,29,18,14,55,0,0,0,1,8,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,3,2,0,0,0,0,58,6,3,3,1,0,9,10,,3
221,10679,1100.507634,1682.193231,786,1,22,17,3,5,21,1,0,0,0,5,0,0,2,1,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,1,1,0,0,0,31,1,5,0,0,0,0,7,0,0
231,10679,1973.185701,3016.135035,1077,1,71,21,3,7,73,0,0,0,5,5,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,4,0,3,2,0,0,0,0,29,7,3,0,3,0,2,1,,3
241,10679,1437.081206,2196.700102,862,1,44,16,4,3,30,0,0,1,0,4,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,3,0,0,0,0,32,2,2,0,0,0,1,4,,2
251,10679,2473.031579,3780.180032,665,1,44,18,10,6,54,2,0,0,1,9,1,0,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,59,4,12,3,3,0,3,5,0,0
261,10679,2149.447284,3285.611867,313,1,10,11,0,5,30,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,14,6,4,,,,,,,5
271,10679,1433.027574,2190.50378,544,1,14,6,3,0,33,1,1,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,1,0,5,0,0,1,0,0,19,11,6,,,,,,,5
281,10679,1324.002715,2023.819133,1105,1,37,14,9,10,53,0,0,0,1,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,1,1,2,0,0,40,5,11,0,2,0,0,7,0,1
301,10679,1109.82679,1696.438136,1299,1,37,24,8,9,35,2,1,0,1,3,0,0,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,5,0,3,2,0,0,0,0,39,4,6,,,,,2,,3
311,18583,905.4904118,1384.097479,3181,1,55,32,8,6,28,0,1,0,2,5,4,2,4,2,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,66,23,11,0,5,0,4,8,0,0
331,10679,1815.165012,1166.88846,806,1,40,19,6,15,43,0,0,0,3,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,0,71,7,5,1,,,,6,1,1
351,10679,3219.176812,2069.464895,690,1,60,11,9,7,59,0,0,0,0,7,2,3,5,3,4,0,0,0,0,0,0,0,0,0,7,0,1,13,4,8,5,0,0,0,0,45,30,4,,,,,,,12
361,10679,2056.583452,1322.094084,701,1,38,18,14,5,38,0,0,0,4,8,0,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,29,4,11,0,0,1,0,2,0,0
371,10679,796.285624,511.8964386,3165,1,71,33,10,14,55,2,1,0,4,12,2,1,5,1,2,5,0,0,0,0,0,0,0,0,0,0,0,8,0,7,2,1,0,0,0,45,17,13,1,4,0,2,20,0,7
381,10679,2239.443674,1439.647504,1154,1,94,24,10,14,58,0,0,0,2,6,1,0,3,0,1,1,0,0,0,0,0,0,0,0,0,0,0,14,0,6,6,0,0,2,0,38,5,5,0,1,0,7,,,6
401,10679,1588.698522,1021.303275,1015,1,64,16,9,4,30,1,1,0,0,7,2,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,5,0,0,1,0,47,4,12,0,0,0,1,3,3,2
411,10679,794.1098779,472.4960126,1802,1,30,24,9,9,38,1,0,0,2,5,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,3,0,0,0,0,0,58,4,12,,1,,2,9,,5
431,10679,866.6796048,515.675061,1417,1,20,16,12,8,21,0,0,0,2,9,4,0,12,0,0,8,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,41,3,5,0,5,0,4,4,0,0
441,10679,2827.205767,1682.189702,763,1,73,7,9,7,67,0,0,0,1,4,2,3,2,2,3,0,0,2,0,0,0,0,0,0,0,0,1,12,1,3,3,0,0,0,0,25,26,4,,,,,,1,4
