"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Castanea","Ostrya/Carpinus","Apiaceae","Alnus","Juglans","Brassicaceae","Triticum-type","Plantaginaceae undiff.","Quercus undiff.","Myriophyllum spicatum/M. verticillatum","Urtica dioica-type","Papaver-type","Rosa-type","Ceratonia","Polygonum sensu lato undiff.","Lemna-type","Populus-type","Platanus","Xanthium-type","Eucalyptus","Styrax","Atropa-type","Sarcopoterium spinosum/Poterium sanguisorba","Artemisia","Cichorioideae","Thalictrum-type","Ranunculus undiff.","Cyperaceae undiff.","Rumex acetosa-type","Plantago lanceolata/P. lagopus","Indeterminable undiff.","Pinus","Mentha-type","Vitis vinifera","Galeopsis-type","Scrophularia-type","Chenopodium sp.","Senecio sp.","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Poaceae","Pistacia","Cupressaceae undiff.","Olea","Quercus ilex/Q. coccifera","Lycopodium spike","Acer","Potamogeton","Vicia/Lathyrus","Tamarix","Hordeum-type","Ulmus/Zelkova","Persicaria","Pteridophyta (trilete)","Plantago maritima-type","Cistus undiff.","Urtica pilulifera-type","Erica","Vitex agnus-castus","Corylus","Potentilla-type","Hedysarum-type","Salsola-type","Dipsacus","Plantago major/P. media","Genista-type","Saussurea-type","Rubiaceae cf. Galium","Myrtus communis","Phlomis","Lavatera-type","Pteridophyta (monolete)","Berberis-type","Typha/Sparganium undiff.","Prunus sp.","Indeterminable (unknown)","Isoëtes","Mercurialis-type","Lythrum","Helianthemum","Morus-type","Echium","Asparagus-type","Asphodelus/Asphodeline","Euphrasia-type","Ephedra undiff.","Hypericum","Fabaceae undiff.","Rhinanthus/Veronica","Anthoceros laevis-type","Spergula/Spergularia","Euphorbia-type","Hedera","Plantago coronopus-type","Alisma plantago-aquatica-type","Cuscuta europaea-type","Pteridium-type","Secale","Sedum-type","Juncus","Betula","Rosaceae (herbs) undiff.","Theligonum cynocrambe","Smilax","Carduus-type","Trifolium undiff.","Carthamus","Viburnum undiff.","Thymelaeaceae","Amaryllidaceae","Centaurea solstitialis-type","Fagus","Salix","Lotus-type","Rhamnus-type","Saxifraga granulata-type","Hypecoum-type","Gentiana undiff.","Linum","Punica granatum","Nerium oleander","Saxifraga aizoides","Dioscorea communis","Acanthus-type","Androsace-type","Lupinus","Helleborus-type","Polypodium-type","Poaceae (Cerealia) undiff.","Humulus/Cannabis-type","Geranium-type","Centaurea cf. C. cyanus","Mesembryanthemum","Linaria","Polygonaceae undiff.","Convolvulus undiff.","Primula-type","Sorbus-type","Callitriche","Rubus-type","Tilia","Cryptogramma-type","Onobrychis-type","Sphagnum-type","Cedrus","Utricularia minor","Sambucus undiff.","Aconitum-type","Ribes-type","Paeonia","Alchemilla","Allium-type","Oenothera","Solanum nigrum-type","Matthiola","Ruppia maritima-type","Ophioglossum-type","Ficus carica","Teucrium-type","Lamiaceae undiff.","Saxifraga undiff.","Dracunculus","Osmunda-type","Riccia-type","Arbutus unedo","Glaucium-type","Carya-type","Campanula-type","Cyclamen","Rumex subg. Emex","Crocus-type","Valeriana-type","Colchicum-type","Pilularia","Oxalis-type","Geum-type","Fumaria","Cercis","Bryonia","Buxus","Taxus"
3777,NA,NA,749.3,NA,NA,NA,4,7,NA,NA,10,3,NA,12,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,7,NA,NA,3,7,3,NA,6,2,52,12,1,6,8,8,1,16,33,23,2,73,150,659,NA,1,NA,4,2,NA,NA,3,NA,NA,NA,19,3,NA,NA,NA,5,NA,1,NA,NA,1,NA,2,NA,3,NA,NA,NA,NA,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,3,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3886,NA,NA,760.2,NA,NA,NA,3,9,NA,NA,5,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,3,7,30,1,1,6,4,4,7,4,1,15,4,1,21,4,2,2,71,33,11,1,82,199,470,1,NA,NA,NA,3,NA,NA,1,NA,1,1,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,1,NA,1,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3974,NA,NA,768.7,NA,2,NA,4,NA,1,NA,28,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,37,9,9,3,NA,1,NA,4,NA,16,39,NA,13,5,9,4,54,49,16,4,38,81,277,NA,1,NA,1,1,NA,NA,5,1,3,NA,18,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,9,4,NA,2,NA,NA,NA,NA,NA,1,1,NA,11,NA,NA,1,NA,2,3,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,14,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,3,1,9,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4079,NA,NA,778.2,NA,NA,NA,2,10,2,NA,26,5,NA,15,NA,4,NA,1,NA,NA,NA,2,NA,NA,NA,4,NA,4,4,12,3,8,9,2,2,NA,4,5,7,40,NA,9,8,9,3,91,56,7,8,24,61,404,NA,NA,NA,1,1,3,NA,4,1,1,1,11,2,2,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,NA,NA,NA,NA,NA,NA,1,1,8,2,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4222,NA,NA,790.2,NA,NA,NA,1,4,1,NA,28,1,NA,21,1,3,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,4,14,4,11,4,3,NA,NA,5,NA,24,43,1,13,15,10,7,82,35,2,9,42,57,329,NA,NA,NA,NA,1,4,NA,NA,NA,1,1,12,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,3,NA,NA,NA,NA,NA,NA,4,1,3,2,NA,NA,NA,2,NA,NA,2,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,1,14,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4283,NA,NA,794.9,NA,NA,NA,NA,10,4,NA,32,2,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,15,2,7,2,6,1,NA,1,NA,23,25,NA,12,6,20,2,79,30,5,3,25,99,336,NA,1,NA,NA,NA,NA,NA,4,1,1,1,17,1,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,3,NA,6,1,NA,1,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,4,NA,NA,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA
4361,NA,NA,800.9,NA,NA,NA,1,8,1,NA,56,1,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,18,5,5,4,1,NA,NA,1,2,34,27,NA,7,3,21,6,65,24,5,8,34,70,342,NA,NA,NA,3,NA,1,NA,1,NA,NA,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,5,NA,NA,NA,NA,NA,NA,6,1,15,NA,NA,NA,1,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,3,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4441,NA,NA,806.9,NA,1,NA,4,5,1,1,46,NA,NA,6,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,1,17,5,7,5,3,1,NA,4,2,8,28,NA,10,14,15,5,58,18,1,6,58,103,301,NA,1,NA,1,NA,NA,NA,5,NA,3,NA,17,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,6,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,1,NA,1,NA,NA,NA,NA,NA,3,NA,4,NA,NA,NA,NA,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
4639,NA,NA,822.4,NA,NA,NA,2,11,NA,NA,42,4,NA,7,NA,3,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,2,6,7,10,9,4,NA,3,NA,7,2,11,29,1,7,4,27,6,44,28,7,2,33,94,227,NA,NA,NA,1,NA,5,NA,4,NA,1,NA,14,5,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,NA,NA,NA,NA,7,1,5,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,7,NA,5,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,7,10,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4713,NA,NA,828.4,NA,1,NA,1,5,1,NA,34,1,NA,12,NA,2,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,3,3,6,3,3,6,2,NA,NA,1,1,12,19,NA,5,8,12,2,67,40,17,5,60,80,253,NA,NA,NA,NA,1,3,NA,2,NA,2,NA,12,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,2,1,NA,NA,1,NA,NA,4,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,1,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,4,NA,6,NA,NA,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,9,5,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
