"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Caryophyllaceae","Castanea","Ostrya/Carpinus","Apiaceae","Alnus","Juglans","Brassicaceae","Triticum-type","Plantaginaceae undiff.","Quercus undiff.","Myriophyllum spicatum/M. verticillatum","Urtica dioica-type","Papaver-type","Rosa-type","Ceratonia","Polygonum sensu lato undiff.","Lemna-type","Populus-type","Platanus","Xanthium-type","Eucalyptus","Styrax","Atropa-type","Sarcopoterium spinosum/Poterium sanguisorba","Artemisia","Cichorioideae","Thalictrum-type","Ranunculus undiff.","Cyperaceae undiff.","Rumex acetosa-type","Plantago lanceolata/P. lagopus","Indeterminable undiff.","Pinus","Mentha-type","Vitis vinifera","Galeopsis-type","Scrophularia-type","Chenopodium sp.","Senecio sp.","Fraxinus ornus","Phillyrea","Quercus pubescens-type","Poaceae","Pistacia","Cupressaceae undiff.","Olea","Quercus ilex/Q. coccifera","Lycopodium spike","Acer","Potamogeton","Vicia/Lathyrus","Tamarix","Hordeum-type","Ulmus/Zelkova","Persicaria","Pteridophyta (trilete)","Plantago maritima-type","Cistus undiff.","Urtica pilulifera-type","Erica","Vitex agnus-castus","Corylus","Potentilla-type","Hedysarum-type","Salsola-type","Dipsacus","Plantago major/P. media","Genista-type","Saussurea-type","Rubiaceae cf. Galium","Myrtus communis","Phlomis","Lavatera-type","Pteridophyta (monolete)","Berberis-type","Typha/Sparganium undiff.","Prunus sp.","Indeterminable (unknown)","Isoëtes","Mercurialis-type","Lythrum","Helianthemum","Morus-type","Echium","Asparagus-type","Asphodelus/Asphodeline","Euphrasia-type","Ephedra undiff.","Hypericum","Fabaceae undiff.","Rhinanthus/Veronica","Anthoceros laevis-type","Spergula/Spergularia","Euphorbia-type","Hedera","Plantago coronopus-type","Alisma plantago-aquatica-type","Cuscuta europaea-type","Pteridium-type","Secale","Sedum-type","Juncus","Betula","Rosaceae (herbs) undiff.","Theligonum cynocrambe","Smilax","Carduus-type","Trifolium undiff.","Carthamus","Viburnum undiff.","Thymelaeaceae","Amaryllidaceae","Centaurea solstitialis-type","Fagus","Salix","Lotus-type","Rhamnus-type","Saxifraga granulata-type","Hypecoum-type","Gentiana undiff.","Linum","Punica granatum","Nerium oleander","Saxifraga aizoides","Dioscorea communis","Acanthus-type","Androsace-type","Lupinus","Helleborus-type","Polypodium-type","Poaceae (Cerealia) undiff.","Humulus/Cannabis-type","Geranium-type","Centaurea cf. C. cyanus","Mesembryanthemum","Linaria","Polygonaceae undiff.","Convolvulus undiff.","Primula-type","Sorbus-type","Callitriche","Rubus-type","Tilia","Cryptogramma-type","Onobrychis-type","Sphagnum-type","Cedrus","Utricularia minor","Sambucus undiff.","Aconitum-type","Ribes-type","Paeonia","Alchemilla","Allium-type","Oenothera","Solanum nigrum-type","Matthiola","Ruppia maritima-type","Ophioglossum-type","Ficus carica","Teucrium-type","Lamiaceae undiff.","Saxifraga undiff.","Dracunculus","Osmunda-type","Riccia-type","Arbutus unedo","Glaucium-type","Carya-type","Campanula-type","Cyclamen","Rumex subg. Emex","Crocus-type","Valeriana-type","Colchicum-type","Pilularia","Oxalis-type","Geum-type","Fumaria","Cercis","Bryonia","Buxus","Taxus"
4779,NA,NA,833.9,NA,NA,NA,2,6,1,NA,51,6,NA,14,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,9,3,5,8,1,NA,NA,3,1,9,23,NA,7,5,9,4,55,17,18,3,56,104,306,NA,NA,NA,1,NA,NA,NA,2,NA,1,1,16,3,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,1,3,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,3,NA,6,3,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,8,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4851,NA,NA,839.9,NA,2,NA,1,3,1,NA,41,1,NA,11,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,3,4,4,4,7,2,3,NA,NA,6,1,25,15,NA,17,2,16,7,57,13,17,1,40,129,237,NA,1,NA,6,NA,1,NA,2,1,2,NA,11,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,NA,1,9,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,8,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
4915,NA,NA,845.3,NA,1,NA,5,7,NA,NA,27,3,NA,8,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,5,5,3,10,2,1,1,NA,5,1,31,38,NA,6,3,6,7,56,30,9,3,51,101,300,NA,NA,NA,1,1,NA,NA,1,NA,1,NA,12,6,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,1,NA,NA,1,NA,NA,3,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,8,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4985,NA,NA,851.1,NA,1,NA,4,2,1,NA,20,1,NA,14,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,2,9,3,1,2,4,NA,NA,4,4,38,46,NA,4,2,22,1,44,22,12,3,79,93,280,NA,1,NA,NA,2,2,NA,2,NA,1,NA,10,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,11,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,14,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5052,NA,NA,856.9,NA,NA,NA,2,2,2,NA,9,3,NA,1,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,1,7,13,2,6,5,5,6,NA,8,2,47,38,6,6,6,6,4,14,29,14,2,77,128,316,NA,3,NA,4,6,1,NA,1,NA,1,NA,7,3,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5075,NA,NA,858.9,NA,NA,NA,5,4,NA,NA,37,4,NA,7,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,4,21,5,9,5,7,1,NA,5,2,44,28,NA,5,11,16,10,26,28,16,10,42,75,341,NA,1,NA,3,3,NA,NA,2,NA,NA,NA,21,2,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,3,NA,NA,NA,NA,NA,NA,2,NA,5,NA,NA,1,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,5,9,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5122,NA,NA,862.9,NA,2,NA,1,6,1,NA,46,1,NA,6,NA,4,NA,NA,NA,NA,NA,1,1,NA,NA,2,NA,1,1,17,5,4,4,NA,3,NA,3,NA,44,30,NA,10,8,5,6,22,22,7,7,50,111,263,NA,NA,NA,2,1,1,NA,1,1,5,NA,15,NA,NA,NA,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,5,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,4,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,4,4,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5196,NA,NA,869.2,NA,1,NA,2,6,NA,NA,24,3,NA,10,NA,4,NA,4,NA,NA,NA,2,NA,NA,NA,NA,NA,5,4,10,8,1,11,6,2,NA,8,4,35,15,NA,14,NA,9,9,35,33,15,2,65,97,283,NA,NA,NA,NA,NA,3,NA,2,1,2,NA,14,2,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,3,1,NA,NA,NA,NA,NA,3,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,9,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5305,NA,NA,878.4,NA,3,NA,3,5,NA,NA,36,2,NA,10,1,1,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,4,14,4,5,5,3,2,NA,7,3,25,35,NA,5,8,12,1,36,35,10,5,38,101,341,NA,NA,NA,3,NA,2,NA,2,1,3,NA,27,3,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,4,1,10,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,5,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
5377,NA,NA,884.4,NA,3,NA,2,2,NA,NA,24,3,NA,15,1,5,NA,4,NA,1,NA,2,NA,NA,NA,NA,NA,3,3,15,5,7,4,3,1,NA,6,NA,25,41,NA,6,1,13,7,43,21,9,7,34,109,343,NA,NA,NA,NA,1,3,NA,3,1,2,NA,16,1,3,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,6,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,4,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
5454,NA,NA,890.7,NA,NA,NA,1,5,NA,NA,39,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,5,NA,3,3,4,3,NA,1,NA,27,20,NA,10,6,3,4,66,18,11,NA,73,154,436,NA,NA,NA,4,NA,NA,NA,NA,1,1,NA,8,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,3,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA
5538,NA,NA,897,NA,NA,NA,7,3,NA,NA,20,2,NA,3,NA,1,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,2,1,14,NA,5,5,1,4,NA,3,4,13,27,NA,5,5,14,3,53,19,11,6,95,108,996,NA,NA,NA,4,NA,NA,NA,3,NA,2,1,4,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,1,NA,2,NA,NA,NA,1,NA,NA,4,1,6,2,NA,NA,1,NA,NA,NA,2,2,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,7,14,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5630,NA,NA,904.8,NA,NA,NA,4,10,NA,NA,48,1,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,9,1,1,6,NA,6,NA,2,NA,43,9,3,4,8,3,4,32,24,20,2,99,109,497,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,1,3,1,1,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,7,NA,12,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5724,NA,NA,912.4,NA,1,NA,2,12,3,NA,47,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,11,NA,2,5,1,5,NA,8,NA,20,21,NA,8,17,8,2,57,22,3,2,76,101,626,NA,NA,NA,7,3,NA,NA,2,5,4,NA,4,5,1,NA,NA,7,NA,NA,NA,NA,NA,NA,4,NA,2,NA,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,1,2,12,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,3,9,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5818,NA,NA,920.2,NA,2,NA,2,15,2,NA,35,7,NA,2,NA,6,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,1,17,NA,2,10,1,7,NA,6,3,5,22,NA,6,12,9,3,30,28,2,2,120,86,721,NA,1,NA,11,1,1,NA,NA,NA,8,3,3,1,3,NA,NA,3,1,NA,NA,1,2,NA,NA,NA,3,NA,1,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA,1,11,NA,3,4,NA,NA,NA,2,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA
6010,NA,NA,937.2,NA,2,NA,2,12,1,NA,31,9,NA,9,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,4,17,NA,2,14,2,5,NA,8,1,42,14,NA,21,6,1,4,NA,43,20,4,15,95,904,2,1,1,3,NA,NA,NA,NA,NA,2,2,8,3,2,NA,NA,6,NA,3,NA,NA,NA,NA,3,NA,5,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,1,NA,1,NA,4,9,1,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,38,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6089,NA,NA,944.2,NA,4,NA,4,19,3,NA,5,8,NA,10,1,3,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,6,3,21,1,3,21,12,2,NA,9,5,8,35,NA,11,23,4,NA,60,35,8,10,16,84,1694,NA,1,NA,5,2,2,NA,1,2,3,2,6,4,3,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,NA,2,2,NA,NA,NA,NA,NA,8,NA,15,5,NA,1,NA,2,NA,NA,NA,5,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,1,4,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA
6185,NA,NA,954.2,1,NA,NA,2,11,1,NA,9,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,3,2,19,NA,4,10,10,4,NA,8,3,17,23,NA,13,9,1,NA,45,36,17,1,6,152,1161,NA,NA,NA,3,3,1,NA,4,4,5,NA,6,3,1,NA,NA,7,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,2,1,10,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,2,NA,NA,1,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA
6264,NA,NA,962.1,NA,NA,NA,2,7,NA,NA,14,NA,NA,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,11,25,NA,4,7,NA,3,NA,7,1,24,14,6,13,9,4,2,50,24,14,6,3,185,110,NA,NA,NA,6,NA,1,NA,4,2,4,3,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,2,NA,NA,NA,NA,1,NA,NA,NA,7,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA
6349,NA,NA,971.4,NA,NA,NA,NA,7,3,NA,21,4,NA,6,NA,1,1,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,3,NA,11,1,4,4,4,1,NA,4,5,26,75,4,12,8,1,4,54,17,19,3,1,132,666,NA,NA,NA,2,NA,1,NA,3,1,2,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,3,NA,17,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,15,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA
6440,NA,NA,980.4,NA,NA,NA,NA,2,NA,NA,16,2,NA,10,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,2,NA,NA,1,1,NA,4,NA,2,1,NA,11,NA,28,30,2,2,10,7,2,67,6,5,3,NA,263,425,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6647,NA,NA,997.9,NA,NA,NA,2,7,NA,NA,7,2,NA,1,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,29,1,6,7,7,2,NA,5,1,22,25,5,6,13,2,7,31,20,3,3,NA,202,836,NA,1,NA,15,2,NA,NA,NA,NA,2,NA,4,2,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,3,4,12,1,NA,1,1,1,NA,NA,NA,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,3,3,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6767,NA,NA,1006.9,NA,NA,NA,1,5,NA,NA,2,2,8,12,1,1,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,2,13,NA,NA,5,2,NA,12,4,1,28,9,NA,2,2,6,20,123,31,4,NA,3,306,341,NA,4,NA,NA,1,NA,NA,2,NA,NA,5,3,1,3,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,3,14,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6911,NA,NA,1016.9,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,NA,4,2,NA,NA,NA,NA,18,50,NA,5,4,20,22,94,18,13,NA,3,158,411,NA,NA,NA,4,NA,NA,NA,2,NA,NA,NA,4,8,6,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,8,NA,3,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,2,5,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
