"age_Radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Pinus","Riccia","Amaranthaceae","Unknown (monolete) undiff.","Pteris","Unknown (monolete, psilate)","Unknown","Asteroideae undiff.","Unknown (trilete) undiff.","Unknown (trilete, psilate)","Anthocerotales (type 2)","Indeterminable","Onagraceae","Typha cf. T. elephantina","Typha cf. T. domingensis","Podocarpus","Poaceae","Cyperaceae","Cichorioideae","Picea","Fabaceae","Plantaginaceae","Cardiospermum cf. C. halicacabum","Peristrophe cf. P. bicalyculata","Pinaceae undiff.","Quercus (deciduous)","Ophioglossum cf. O. polyphyllum","Ranunculaceae","Artemisia","Rumex","Sambucus","Lamiaceae","Persicaria maculosa-type","Combretaceae","Hagenia abyssinica","Apiaceae","Acacia","Sapotaceae","Anthocerotales (type 1)","Anthocerotales (type 3)","Alnus","Abutilon","Syzygium-type"
3972,NA,NA,300,1,1,1,3,3,3,3,5,7,7,13,13,15,21,24,25,27,139,249,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4023,NA,NA,350,NA,2,1,7,6,6,9,8,4,4,14,22,10,NA,NA,2,11,266,64,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5006,NA,NA,1480,1,2,NA,3,8,4,9,NA,13,18,18,6,12,NA,NA,NA,10,108,66,NA,NA,NA,3,NA,NA,1,NA,NA,1,1,1,1,1,1,1,1,2,2,2,2,2,NA,NA,NA
7457,NA,NA,2260,NA,5,5,12,4,2,13,7,4,5,17,6,15,NA,NA,NA,5,74,64,2,NA,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,3,1,1,1
