"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Salix","Apiaceae","Liliaceae","Brassicaceae","Rumex acetosa-type","Poaceae (Cerealia-type)","Plantago major/P. media","Rhinanthus-type","Echium vulgare-type","Unknown","Cistus-type","Lycopodium tablets","Cyperaceae","Plantago lanceolata-type","Olea","Genista-type","Erica undiff.","Erica australis-type","Betula","Poaceae","Quercus ilex-type","Erica tetralix-type","Quercus robur-type","Pinus","Calluna","Erica arborea-type","Pollen concentration","Lycopodium spike","Scrophulariaceae","Alnus","Campanulaceae","Fraxinus excelsior-type","Anthemis-type","Helianthemum-type","Unknown (trilete)","Caryophyllaceae","Cichorioideae","Pistacia","Plantaginaceae","Hypericum perforatum-type","Artemisia","Unknown (monolete)","Ranunculus-type","Gentiana pneumonanthe-type","Sedum-type","Erica umbellata-type","Amaranthaceae","Plantago coronopus-type","Potentilla","Populus","Phillyrea","Asphodelus","Arbutus","Hypecoum","Filipendula","Lotus-type","Frangula","Corrigiola litoralis-type","Aster-type","Poterium sanguisorba","Castanea","Centaurium pulchellum-type","Lamiaceae","Rosaceae","Rubiaceae","Cirsium-type","Urtica-type","Spergula-type","Ilex","Thymelaeaceae","Menyanthes","Acer","Viburnum","Stachys-type","Corylus","Herniaria glabra-type","Epilobium","Sambucus","Valerianella-type","Equisetum","Fabaceae","Centaurea nigra-type","Simethis planifolia","Thesium","Illecebrum verticillatum-type","Montia fontana-type","Myosotis arvensis-type","Cupressaceae","Valeriana officinalis-type","Sparganium","Osmunda","Circaea","Succisa","Hedera","Boraginaceae","Drosera","Melampyrum-type","Viscum","Humulus-type","Vitis","Convolvulaceae","Cystopteris","Linum","Centaurea cyanus-type","Typha (tetrad)","Centaurea scabiosa-type","Teucrium-type","Myriophyllum verticillatum","Persicaria maculosa-type","Lonicera periclymenum-type","Potamogeton","Pedicularis-type","Geranium molle-type","Caltha-type","Juncus","Scabiosa","Knautia","Callitriche","Trollius europaeus-type"
-54,NA,NA,1,"0.699999988079071","1","1","1","1","1","1","1","1","1","1","2","2","3","3","5","7","10","13","14","20","24","31","36","71","71","88","598124.5","41, 13911","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-40,NA,NA,4,"0.5","3","","","1","","48","","","","","3","2","","1","4","3","6","13","19","55","15","30","22","18","71","93","334393.9375","105, 13911","1","1","1","1","2","2","4","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-31,NA,NA,6,"0.600000023841858","","2","2","2","1","23","","","","","4","3","5","","6","1","8","29","23","61","13","36","24","10","53","112","260831.25","176, 13911","","1","","","1","1","7","2","1","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-21,NA,NA,8,"0.5","","","2","","","23","","","","2","3","3","3","","10","1","9","25","22","50","10","29","20","8","55","94","302628.25","163, 13911","2","2","","","1","","10","2","","","","","","","1","1","1","1","2","2","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
-12,NA,NA,10,"0.5","","","2","1","6","2","","","1","2","3","3","10","","10","","9","25","28","116","15","34","23","3","49","81","569746.1875","92, 13911","1","","","","2","","10","1","1","","","","","","2","","","3","1","","2","1","1","1","1","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
49,NA,NA,12,"0.5","","2","3","1","3","","","","","1","3","3","3","","9","3","5","32","21","109","11","23","16","5","25","76","300145.9375","151, 13911","1","","1","1","1","1","5","","2","","","","3","1","1","","","7","","1","6","","1","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
194,NA,NA,14,"0.5","","3","1","2","","","","","","2","8","3","10","","5","","5","32","67","95","22","18","27","","18","102","220277.65625","230, 13911","","","","","2","2","20","","4","","","","","","","","","5","","","7","","","","","","","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
267,NA,NA,15,"0.600000023841858","1","5","","1","3","2","3","","","2","2","3","2","","4","1","6","19","41","112","7","23","19","4","12","73","434938.875","79, 13911","","1","","2","1","5","31","","2","","","","","","","","1","3","","","2","","","","","","","","","","","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
340,NA,NA,16,"0.5","2","2","1","","2","","","","","","6","3","4","","","1","3","25","130","63","15","32","26","1","22","79","392932.25","130, 13911","3","1","1","1","1","2","144","","16","","","","3","","1","1","","3","","","3","","","","1","","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
413,NA,NA,17,"0.600000023841858","2","1","1","","","","1","","","","","3","8","1","2","1","4","20","125","69","7","15","24","1","12","67","493840.5","70, 13911","","1","","","4","3","35","","","","","","1","1","1","","","4","","3","1","","1","","","","","","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
