"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Lamiaceae","Pinus halepensis-type","Plantago coronopus-type","Cistus monspeliensis","Quercus canariensis","Unknown (trilete)","Apiaceae","Fraxinus","Myrtus communis","Asteroideae","Poaceae","Erica arborea","Quercus coccifera","Olea europaea","Quercus suber","Caryophyllaceae","Alnus glutinosa","Polygalaceae","Arbutus unedo","Amaranthaceae","Cyperaceae","Salix","Typhaceae","Unknown (monolete)","Asphodelus","Lythrum","Thymelaeaceae","Hypericum","Myriophyllum","Ephedra","Persicaria maculosa-type","Fabaceae","Corylus","Typha latifolia","Viburnum","Acanthus","Pinus pinaster-type","Campanulaceae"
103,NA,NA,0,1,1,1,2,4,4,4,7,8,8,9,10,10,23,27,102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
124,NA,NA,5,4,NA,6,8,8,1,2,2,6,22,6,10,12,44,10,87,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
146,NA,NA,10,NA,NA,2,NA,10,NA,6,NA,2,18,12,20,18,40,16,90,NA,2,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
168,NA,NA,15,2,NA,4,NA,4,NA,4,2,2,10,20,14,24,28,6,85,2,NA,NA,NA,2,2,4,24,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
190,NA,NA,20,2,NA,4,4,16,2,NA,NA,NA,24,20,14,26,44,NA,103,2,NA,NA,NA,NA,NA,4,25,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
211,NA,NA,25,4,1,5,5,16,1,1,1,4,18,8,13,13,25,5,127,1,NA,NA,NA,1,3,4,15,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
233,NA,NA,30,2,NA,6,NA,10,NA,3,NA,2,12,2,8,19,36,6,130,NA,NA,NA,NA,2,4,1,14,NA,4,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
255,NA,NA,35,NA,NA,2,NA,2,2,4,NA,2,6,6,6,12,28,6,138,NA,NA,NA,NA,NA,NA,4,4,NA,NA,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
277,NA,NA,40,12,NA,4,NA,4,NA,6,8,8,18,10,16,26,34,6,121,NA,2,NA,NA,2,NA,10,6,NA,2,2,4,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
298,NA,NA,45,NA,NA,NA,NA,4,3,2,8,4,12,NA,8,40,48,NA,117,NA,NA,NA,NA,NA,NA,4,10,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
