Depth (cm) [cm],Sample Age (cal yr BP) [cal yr BP],Adansonia digitata,Alchornea,Anacardiaceae undiff.,Anthostema-type,Antidesma-type,Bridelia-type,Casuarina equisetifolia-type,Combretaceae undiff.,Commiphora africana-type,Celtis,Detarium,Dictyandra,Diospyros,Dombeya-type,Ebenaceae undiff.,Erythrococca-type,Ficus,Hymenocardia,Hymenodictyon-type,Ixora-type,Khaya-type senegalensis,Lannea-type,Lophira,Macaranga-type,Mallotus-type,Mitragyna-type inermis,Musanga-type,Myrianthus-type,Morelia senegalensis,Prosopis-type africana,Salvadora persica-type,Syzygium-type,Tamarix,Uapaca,Vitellaria-type paradoxa,Zanthoxylum-type zanthoxyloides,Acacia,Allophylus,Capparis fascicularis-type,Celastraceae undiff.,Clematis-type,Cissampelos-type,Ephedra,Pavetta,Periploca,Salacia,Sapindaceae undiff.,Sapotaceae undiff.,Tabernaemontana,Tetracera,Tapinanthus-type,Cocculus,Paullinia pinnata,Tinospora,Elaeis guineensis,Phoenix reclinata-type,Acalypha,Amaranthaceae/Chenopodiaceae undiff.,Aeschynomene,Apiaceae undiff.,Apocynaceae undiff.,Asteraceae undiff.,Caryophyllaceae undiff.,Cichorieae undiff.,Hibiscus,Ipomoea-type,Justicia-type,Polygala-type,Rubiaceae undiff.,Solanum-type,Suaeda,Triumfetta-type,Undetermined,Achyranthes-type aspera,Aerva-type lanata,Alternanthera,Basilicum-type polystachyon,Celosia-type trigyna,Centaurea-type,Cerastium-type,Chenopodium-type,Cleome-type gynandra,Commelina-type benghalensis,Commelina-type forskalaei,Gomphrena,Hygrophila,Justicia-type flava,Mitracarpus villosus,Poaceae undiff.,Polycarpaea-type,Polycarpon-type,Spermacoce-type radiata,Tribulus,Convolvulus-type,Cyperaceae undiff.,Laurembergia tetrandra,Ludwigia-type stolonifera,Nymphaea,Potamogeton,Polygonum,Typha,Monoletes undiff.,Triletes undiff.,Lygodium,Monolètes à épines et non lisses autres,Fungi undiff.,Algae undiff.,Botryoccocus,Coelastrum,Pediastrum,Scenedesmus cf naegeli,Tetraedron
10.5,-48,0,9,0,0,0,0,61,1,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,14,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,0,0,8,0,0,0,7,0,1,0,1,0,0,0,0,22,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,9,239,0,0,3,0,0,48,0,0,0,0,1,210,46,4,0,0,1,0,65,0,0,0,0
15.5,-36,0,16,0,0,0,1,50,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,6,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,12,0,0,0,4,0,0,0,1,1,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,6,196,0,0,8,0,0,46,0,0,0,0,0,214,30,3,0,0,0,0,81,0,0,0,0
20.5,-24,0,37,0,0,0,0,72,2,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,7,0,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,42,0,0,4,0,0,0,5,0,7,0,0,0,0,0,1,0,1,1,2,2,0,0,0,0,0,23,0,0,0,0,0,0,11,297,0,0,12,0,0,55,0,0,0,0,5,301,54,0,0,0,2,0,131,0,0,0,0
25.5,-14,0,19,0,1,0,0,91,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,7,0,0,0,10,0,4,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,28,0,0,0,0,0,0,7,332,0,0,3,0,0,59,0,0,0,0,0,300,10,0,8,0,0,0,547,0,0,0,0
30.5,-2,0,18,0,0,0,0,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,0,0,6,0,2,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,30,0,0,8,0,0,0,10,0,9,0,2,0,0,0,0,3,0,1,0,3,0,0,0,3,0,0,0,1,0,0,0,0,14,323,2,0,18,0,0,83,0,0,1,0,2,294,38,2,6,0,0,0,380,2,11,0,47
35.5,26,1,23,0,1,0,2,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,9,0,0,0,5,0,1,0,1,0,0,0,0,0,0,2,0,1,1,0,0,2,0,0,0,0,0,0,0,0,13,367,4,2,4,0,0,48,0,0,2,0,1,181,15,0,6,0,5,0,95,0,100,0,62
40.5,50,1,12,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,21,0,0,6,0,0,0,2,0,1,0,2,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,5,504,0,0,4,1,0,33,0,0,0,0,1,165,15,0,2,0,4,0,62,0,3,0,13
45.5,94,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,173,0,0,0,0,0,12,0,0,0,0,1,41,5,0,0,0,6,0,14,0,2,0,3
50.5,129,0,13,0,0,0,0,2,2,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,17,0,0,5,0,0,0,6,0,1,0,1,0,0,0,0,0,2,1,0,4,1,0,0,2,0,0,0,0,0,0,0,0,5,210,0,0,4,0,0,36,0,0,0,0,1,173,9,0,3,0,4,0,67,0,15,0,308
55.5,179,1,23,0,0,0,1,0,4,1,3,1,0,0,0,0,0,1,0,0,0,0,0,0,3,0,1,0,0,0,0,0,10,2,2,0,2,0,1,0,1,0,2,0,0,0,0,0,0,1,1,0,0,0,0,17,0,0,7,0,0,0,10,0,1,0,3,0,0,1,0,1,2,3,2,5,0,0,0,1,0,0,1,3,0,0,0,0,1,213,0,0,5,0,0,51,0,0,2,0,0,238,20,3,0,0,6,3,203,3,31,0,1187
60.5,225,0,28,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,0,0,0,0,1,0,2,0,4,0,0,0,0,0,2,0,1,0,4,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,12,0,0,0,17,0,0,0,1,0,0,0,0,0,1,0,0,12,3,0,0,0,1,4,0,1,0,0,0,0,4,317,1,0,10,0,0,86,1,0,0,0,2,319,34,0,4,0,1,3,124,2,61,0,828
65.5,274,0,51,0,0,0,3,0,4,0,9,3,0,0,0,0,0,1,0,0,0,0,0,0,5,0,1,0,1,0,0,0,10,0,5,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,6,0,0,0,7,0,1,0,1,0,0,0,0,0,1,2,0,8,0,0,0,1,0,4,0,1,0,0,0,0,7,288,0,0,10,0,0,101,0,1,1,0,2,457,38,0,2,0,5,0,299,8,121,0,68
70.5,322,0,47,0,0,0,0,0,4,0,6,4,0,1,0,0,0,2,0,0,0,0,1,0,3,0,0,0,0,0,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,2,0,0,0,5,0,0,0,1,0,0,0,0,0,0,1,3,5,1,0,0,3,0,1,0,0,0,0,0,0,8,205,0,0,9,1,0,67,0,0,0,0,2,150,37,0,0,0,10,0,315,4,10,0,1710
75.5,370,0,64,0,0,0,5,0,14,2,11,2,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,1,0,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,42,0,0,8,1,0,0,9,0,0,0,1,0,0,0,0,0,1,0,3,5,0,0,0,0,0,2,0,3,0,0,0,0,11,299,1,0,16,0,0,135,0,0,0,0,1,227,68,0,7,0,13,0,483,27,91,0,284
80.5,418,0,40,0,0,0,1,0,8,0,5,2,0,1,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,10,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,34,2,0,6,0,0,0,7,0,0,0,0,0,0,0,0,3,1,1,2,2,1,0,0,1,0,0,0,1,2,0,0,0,18,201,0,0,8,0,0,81,0,0,0,0,0,215,40,3,0,0,8,0,96,9,34,0,1136
85.5,461,0,51,0,0,0,0,0,6,0,2,1,0,0,0,0,0,0,0,0,0,0,1,0,4,1,0,0,1,0,0,0,12,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,22,0,0,4,0,0,0,5,0,1,0,0,1,0,0,0,0,0,0,1,5,1,0,0,0,1,1,0,0,0,0,0,0,2,201,0,0,3,0,0,47,0,0,0,0,0,129,33,0,5,4,1,0,153,1,43,0,347
90.5,505,0,60,0,0,0,3,0,9,0,8,2,1,0,0,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,12,0,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,34,0,0,4,0,0,0,8,0,1,0,0,0,0,0,0,0,2,3,0,8,0,0,0,2,0,4,0,0,0,0,0,0,14,279,2,1,17,0,0,120,0,0,0,0,1,90,55,0,5,1,14,0,194,12,11,0,296
95.5,542,0,41,0,0,0,0,0,5,0,2,3,0,0,0,0,0,1,0,0,0,0,0,0,4,0,1,0,0,0,0,0,8,0,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,3,0,0,0,9,0,0,1,2,0,0,0,0,0,0,2,0,7,0,0,0,0,0,2,0,0,0,0,0,0,12,199,0,0,3,0,0,66,0,0,0,0,0,21,25,0,0,0,8,0,39,2,14,0,1665
100.5,589,0,73,0,0,0,2,0,5,2,8,3,0,0,0,0,0,0,0,0,0,1,0,0,10,0,4,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,33,0,0,6,0,0,0,5,0,2,0,0,0,0,0,0,0,0,1,4,10,0,0,0,0,0,1,0,0,0,0,0,0,9,281,0,0,8,0,0,80,0,0,1,1,0,87,23,0,3,0,3,0,126,28,59,0,142
105.5,647,0,101,0,0,0,6,0,14,0,7,12,0,0,0,0,0,1,0,0,0,0,2,0,7,0,2,0,0,0,0,0,5,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,15,0,0,0,11,0,0,0,1,0,0,0,0,0,3,0,0,6,1,0,0,0,0,1,0,0,0,0,0,1,19,436,0,0,17,0,0,71,0,0,2,0,0,50,32,0,0,0,6,0,124,7,27,0,190
110.5,689,0,44,0,0,0,1,0,4,1,4,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,6,0,0,5,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,3,1,0,0,0,0,0,0,1,0,0,0,0,4,139,0,2,1,0,0,28,0,0,1,3,0,17,10,0,0,0,12,0,135,13,14,0,885
115.5,766,0,88,0,0,0,0,0,11,0,3,7,0,0,0,0,0,1,0,0,0,0,1,0,8,0,3,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,0,1,8,0,0,0,9,0,3,0,0,0,0,0,0,0,1,0,0,8,1,0,0,0,0,1,0,2,0,0,0,0,11,272,0,2,9,0,0,78,0,0,0,0,1,25,15,0,0,0,0,0,223,60,134,0,693
120.5,830,1,92,1,1,0,0,0,17,0,9,6,0,1,0,0,0,1,0,0,0,0,0,0,9,0,3,0,0,0,0,0,1,0,2,0,1,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,6,0,0,0,4,0,1,0,0,0,1,0,0,0,1,1,2,7,1,0,0,1,0,5,0,0,0,0,0,0,14,294,0,1,7,0,0,83,0,0,2,9,1,36,21,0,0,0,28,0,548,8,29,0,3475
125.5,912,0,63,0,0,0,1,0,11,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,10,0,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,3,0,0,7,0,0,0,13,0,0,0,1,0,0,0,0,0,0,3,0,7,2,0,0,0,0,0,0,1,1,0,0,0,9,266,2,0,9,0,0,89,1,0,2,4,1,38,28,0,0,0,10,0,116,167,154,0,283
130.5,981,0,46,0,0,0,1,0,7,0,2,1,0,0,0,0,0,2,1,0,0,0,1,0,4,0,4,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,1,0,4,0,0,6,0,0,0,8,0,2,0,0,0,0,0,0,0,1,1,0,4,2,0,0,2,0,0,0,0,0,0,0,0,9,217,1,0,8,0,0,81,0,0,0,5,1,22,20,3,0,0,15,0,178,39,25,0,439
135.5,1057,0,84,0,0,0,1,0,7,0,5,2,0,0,0,0,2,0,0,0,0,0,1,0,5,0,2,0,0,0,0,0,5,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,9,0,0,0,9,0,1,0,1,1,0,0,0,0,1,1,0,3,1,0,0,3,0,0,0,0,0,0,0,0,15,342,3,0,15,0,0,128,2,1,2,8,3,40,28,0,4,0,9,0,245,81,150,1,150
140.5,1123,0,100,0,0,0,2,0,11,0,4,3,0,0,0,0,0,1,0,0,0,0,2,0,11,0,4,0,0,1,0,0,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,12,0,0,0,16,0,1,0,0,1,0,0,0,0,0,2,0,6,1,0,0,1,1,0,0,0,1,0,0,0,16,356,3,0,20,0,0,152,2,0,1,7,1,48,50,0,3,0,15,0,210,112,84,0,322
145.5,1206,0,42,0,0,0,1,0,4,0,1,5,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,1,0,0,0,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,2,0,7,2,0,0,2,0,3,0,0,0,0,0,0,6,221,0,0,13,0,0,89,0,0,0,0,0,7,14,2,0,0,5,0,105,27,43,0,49
150.5,1283,0,57,0,0,0,2,0,10,0,4,4,0,0,0,0,1,0,0,0,0,0,1,0,6,0,2,0,0,1,0,0,2,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,5,0,0,9,0,0,0,14,0,1,0,0,1,0,0,0,0,1,0,1,9,2,0,0,1,0,0,0,0,2,0,0,0,14,356,4,0,23,0,0,184,1,0,2,1,1,70,66,0,3,0,5,0,309,175,390,0,94
155.5,1361,0,37,0,0,0,0,0,10,0,1,1,0,0,0,0,0,1,1,0,0,0,1,0,11,1,2,0,0,3,0,0,3,0,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,4,0,0,0,7,0,1,0,0,0,0,0,0,0,1,0,0,11,1,0,0,1,0,0,0,0,0,0,0,0,13,243,1,0,10,0,0,121,1,0,3,7,1,32,32,0,4,0,10,0,223,238,387,0,4513
160.5,1436,2,64,0,0,0,0,0,11,0,0,4,0,2,0,0,0,0,1,0,0,0,3,0,10,0,7,0,0,2,0,0,3,0,4,0,4,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,17,0,0,0,18,0,1,0,0,0,0,0,0,0,2,1,0,8,0,0,2,3,0,0,0,0,0,0,0,0,17,397,0,0,25,0,0,197,0,0,4,17,1,52,52,3,0,0,15,0,391,251,363,0,195
165.5,1510,1,64,0,1,0,1,0,14,0,2,3,0,0,0,0,1,0,0,0,0,0,1,0,8,0,4,0,0,0,0,0,6,0,3,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,16,0,0,0,21,0,0,0,0,0,0,0,0,0,0,4,1,13,1,0,0,1,0,0,0,0,1,0,0,0,15,321,2,0,14,1,0,152,1,0,1,10,3,32,64,0,0,0,10,0,344,269,623,4,2437
170.5,1586,0,32,0,0,0,0,0,6,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,1,0,0,0,3,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,12,0,1,0,0,0,0,0,0,0,0,2,0,11,0,0,0,3,0,3,0,1,0,0,0,0,6,232,0,3,7,0,0,101,0,0,0,0,0,54,54,0,0,0,14,0,79,25,37,0,1558
175.5,1660,1,40,0,0,0,0,0,7,0,7,2,0,0,0,0,1,1,0,0,0,0,1,0,15,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,0,6,0,0,0,17,0,0,0,0,0,0,0,0,0,2,2,0,14,1,0,0,2,0,0,0,1,0,0,0,0,19,300,1,0,13,0,0,129,1,1,2,2,2,86,31,0,6,0,9,0,69,169,460,1,452
180.5,1735,0,84,0,3,0,0,0,8,0,7,2,0,0,0,0,1,0,0,0,0,0,4,0,10,0,2,0,1,4,0,0,2,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,3,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,0,1,1,0,15,1,0,0,0,0,0,0,0,0,0,0,0,10,343,0,0,22,0,0,165,0,0,1,0,4,125,64,1,16,0,5,0,90,20,160,0,249
185.5,1806,0,39,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7,0,0,0,0,0,0,0,7,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,1,0,0,0,1,0,0,0,0,4,207,0,0,9,0,0,76,0,0,1,0,2,38,22,0,1,0,1,0,38,168,427,1,801
190.5,1879,0,76,0,3,0,0,0,8,2,6,1,0,1,0,0,0,0,0,0,0,0,1,0,18,0,1,0,0,0,0,0,9,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,12,0,0,0,18,0,0,0,0,0,0,0,0,0,2,2,0,8,0,0,0,2,0,0,0,2,1,0,0,0,23,349,0,0,17,0,0,205,0,0,2,0,0,123,60,0,9,0,6,0,145,242,615,1,230
195.5,1949,0,47,0,0,0,0,0,3,1,2,0,0,0,0,0,0,0,0,0,0,0,1,0,8,1,1,0,1,2,0,0,4,0,0,0,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,17,0,0,0,0,0,0,0,0,0,0,1,1,5,1,0,0,1,0,3,0,0,1,0,0,0,10,286,0,1,19,0,0,78,0,0,1,0,2,42,37,1,0,0,9,0,78,27,159,0,84
200.5,2018,0,60,0,1,0,0,0,7,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,10,0,0,0,0,1,0,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,0,0,0,16,0,0,0,0,0,0,0,0,0,1,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,11,255,0,0,11,0,1,97,0,0,2,0,2,45,32,0,5,0,12,0,107,164,428,1,792
205.5,2088,1,59,0,0,0,0,0,5,0,5,0,0,1,0,0,0,1,0,0,0,0,2,0,7,0,1,0,0,1,0,0,8,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,0,0,4,0,0,0,15,0,0,0,0,2,0,0,0,0,0,0,0,11,1,0,0,1,0,1,0,0,1,0,0,0,16,275,2,0,15,0,0,125,0,0,1,0,1,58,41,0,2,0,9,0,75,261,476,1,168
210.5,2162,1,76,0,0,0,0,0,5,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,2,0,0,3,0,3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,4,0,0,0,15,0,0,0,1,0,0,0,0,0,1,0,0,10,0,0,0,0,0,1,0,0,0,0,0,0,11,341,0,1,15,0,0,115,0,0,3,0,0,60,37,1,0,0,4,0,21,24,515,0,203
215.5,2236,0,60,0,2,0,0,0,4,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,1,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,24,0,0,0,0,0,0,0,0,0,3,2,0,5,0,0,0,0,1,0,0,0,0,0,0,0,11,321,0,0,13,0,1,93,0,0,3,0,1,41,34,0,0,0,11,0,202,231,597,2,2119
220.5,2312,0,43,0,0,0,0,0,6,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,3,0,0,7,0,1,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0,9,192,0,0,13,0,0,60,0,0,2,0,0,36,33,0,0,0,8,0,48,17,39,0,2705
225.5,2392,0,79,0,0,0,0,0,8,0,6,2,0,1,0,0,0,0,0,0,0,0,1,0,11,0,0,0,0,1,0,0,7,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,6,0,0,7,0,0,0,19,0,0,0,1,0,0,0,0,0,0,0,0,15,0,0,0,2,0,0,0,0,0,0,0,0,10,362,0,0,23,0,0,186,0,0,2,0,1,66,46,0,14,0,12,0,85,265,590,2,205
230.5,2472,0,66,0,0,0,0,0,6,0,6,0,0,0,0,0,0,0,0,0,0,1,1,0,21,0,1,0,0,0,0,0,12,0,2,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,9,0,0,0,11,0,0,0,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,9,315,0,0,18,0,0,91,0,0,0,0,1,49,29,0,5,0,9,0,136,179,509,0,846
235.5,2546,0,79,0,1,0,0,0,4,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,18,2,2,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,16,0,1,0,0,0,0,0,0,0,2,1,0,7,0,0,0,0,0,0,0,0,1,0,0,0,5,309,3,1,12,0,0,112,0,1,1,1,1,82,32,0,6,0,10,0,0,0,384,0,850
240.5,2618,1,87,0,5,0,0,0,8,2,7,3,0,0,0,0,0,1,0,0,0,0,1,0,16,1,2,0,0,4,0,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,4,0,0,0,20,0,2,0,1,0,0,0,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,18,388,0,3,17,0,0,133,0,0,1,0,0,62,41,0,6,0,9,0,75,161,462,3,859
