Sample age (cal yr BP) [cal yr BP],depth (cm) [cm],Anacardium occidentale,Lannea-type,Rhus-type,Annona,Elaeis guineensis,Hyphaene-type,Phoenix,Balanites aegyptiaca-type,Adansonia digitata,Commiphora,Pycnanthus,Hymenocardia,Daniellia,Detarium,Piliostigma,Tamarindus-type indica,Capparis decidua-type,Maerua-type,Casuarina,Parinari-type,Anogeissus-type leiocarpus,Combretum-type,Combretum-type aculeatum,Combretum-type molle,Ephedra distachya-type,Ephedra fragilis-type,Alchornea,Bridelia-type,Macaranga-type,Uapaca,Carapa-type procera,Acacia,Dichrostachys cinerea-type,Faidherbia albida,Mimosa pigra-type,Mimosaceae undiff.,Treculia,Trilepisium-type madagascariense,Syzygium-type,Pinus,Ixora-type brachypoda,Mitragyna-type inermis,Pavetta,Zanthoxylum-type zanthoxyloides,Salix,Salvadora,Sapotaceae undiff.,Tamarix,Grewia-type,Celtis,Acanthaceae undiff.,Hypoestes-type,Aizoaceae undiff.,Amaranthaceae undiff.,Suaeda,Artemisia,Asteraceae undiff.,Cichorieae undiff.,Conyza,Brassicaceae undiff.,Caesalpiniaceae undiff.,Cassia-type,Capparidaceae undiff.,Caryophyllaceae undiff.,Ipomoea-type,Jacquemontia,Acalypha,Euphorbia-type,Euphorbiaceae,Aeschynomene,Fabaceae undiff.,Lamiaceae undiff.,Abutilon,Hibiscus,Monocotyledoneae undiff.,Moraceae undiff.,Polygala-type,Portulacaceae undiff.,Resedaceae undiff.,Rubiaceae undiff.,Triumfetta-type,Urticaceae undiff.,Lippia-type,Cissus,Fagonia,Zygophyllum-type,Unknown,Justicia-type flava,Achyranthes-type,Aerva-type javanica,Aerva-type lanata,Amaranthus/Chenopodium-type,Cyathula-type,Gomphrena,Ambrosia-type maritima,Atractylis-type,Calendula-type,Centaurea-type senegalensis,Matricaria-type,Cleome-type,Sieruela-type usambarica ,Paronychia,Polycarpaea-type,Polycarpon-type,Commelina-type benghalensis,Commelina-type forsskaolii,Convolvulus-type,Lepistemon owariense-type,Cucumis,Cucurbitaceae undiff.,Chrozophora brocchiana-type,Euphorbia-type indica,Eriosema-type,Lobelia erinus-type,Tinospora bakis-type,Boerhavia-type,Poaceae undiff.,Kohautia,Mitracarpus villosus,Spermacoce-type,Spermacoce-type radiata,Tribulus,Rhizophora,Avicennia,Cyperaceae undiff.,Laurembergia tetrandra,Ludwigia-type,Nymphaea,Polygonum senegalense-type,Potamogeton,Ruppia maritima,Typha,Ceratopteris cornuta,Lygodium microphyllum,Monoletes undiff.,Pteris,Triletes undiff. [undefined],Triletes undiff.,Foraminifera undiff.,Fungi,Algae undiff.,Dinoflagellate,Pediastrum,Pseudoschizaea,Gloeotrichia,Botryococcus,Zygnemataceae,Coelastrum,NPP undiff.,Anthocerothaceae,Indeterminable
-5,1.5,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,4,1,,2,,,1,,5,,,,,,,,3,,2,1,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,273,,,,3,1,1,,270,,,6,8,,,37,,,,,,,,,42,,75,,,39,,3,,,15
69,19,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,2,2,2,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,1,,,,,,1,1,1,,,,,,,,,,,,,,3,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,132,,,,,,,,170,,,2,6,,,17,,,,,,,,3,14,,193,,,43,,,,,8
482.57754,31,,,,,,,,,,3,,,,,,,,,,,,,,,1,1,,,,,,5,,,,,,,,,,,,,,,,,,,,,,6,,,,,,,,,1,,2,,,1,,,,1,,,,,1,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,886,,4,,2,,,,790,,,7,,,,165,,,1,,1,,,,13,,1815,,,339,6,14,,,8
651.700535,40,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,6,,1,,,,,1,,,,,,,,,,,,,,,7,,1,1,,,,,1,,,1,,,1,,3,5,,,,,,,,,,,,,,,,2,,,,,1,,,,,,,4,,,,,,,,,,,,,,,,,1,319,,,,4,,1,,667,,,6,,,,75,1,,,,,,,,3,,311,,,124,5,,,,13
783.240642,47,,,,,,,,2,,2,,,,,,,,,2,,1,3,,,,,,,,,,3,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,1,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,163,,2,1,,,,,257,,,4,,3,,29,,2,,,1,,,,10,,365,1,,23,,,,,15
820.823529,49,,,,,,,,,,,,,,,,,,2,,,1,3,,,,,,,1,,,4,,,,,,,,,,,,,,,,,,1,,,,2,1,1,5,,,,,2,,,,,,,,,,2,,,,,,,,,1,,,,,,,,,,,1,,,1,,,,1,,,,1,,,1,,,,,,,,,,,260,,2,,,,5,,327,,,1,1,,,82,,,,,,,,,13,1,53,,1,28,,,,,
1004,58.5,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,,,,,,,1,,,,,,1,,,,,,5,,,1,,,,,1,,,,,,,2,2,2,,,,,,1,,,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,121,,,,1,2,,,257,,,11,2,,,30,,,,,,,,,11,,462,,,45,,,,,15
1309.40107,75,,,,,,,,,,,,,,,,,,2,,,1,1,,1,,,,1,,,,2,,,,,,,,,,,,,,,1,,,,,,,2,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,61,,1,,5,,5,,116,,,4,3,,,117,,,,,,,,,2,1,165,,,51,,,,,14
1497.31551,85,,1,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,2,,,,1,,,,,,,,,,,,,,,,,,230,,6,1,,,1,,56,,,19,,,,629,,,,,,,,,3,1,5,,,101,1,,,,11
1751,95,,,,,,,,1,,1,,,,,,,,,,,,,1,3,,,,,,,,2,,,,,,,,,,,,,,,,,,2,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,2,,,,2,,,,,,,,,,1,,,,,,,,623,,2,,,,1,,233,,,44,2,,,1746,,,,,,,,,3,,68,,,314,1,,,,10
