Depth (cm) [cm],Gramineae,Cyperaceae,Legumineuses,Amaranthaceae/Chenopodiaceae,Rhizophora,Ammannia,Amaryllidaceae,Berlinia,Bombax,Celtis,Christiana,Combretum,Compositae,Elaeis,Euphorbiaceae,Filicinees,Heliotropium,Hyptis,Lannea,Liliaceae,Mitracarpum,Myrtaceae,Podostemaceae,Randia,Syzygium,Trema,Typha,Ziziphus,Indetermines
0,44,12,6,5,2,,,2,,,,5,,,2,2,4,,,,6,,,,,,,,5
50,44,12,6,5,1,1,,2,,,,5,,,2,2,4,,1,,7,,,1,,,,1,4
100,54,4,16,10,0,,1,0,,,,8,1,1,0,5,1,,,1,2,1,,,1,1,1,1,0
150,44,3,17,7,1,,,0,,,1,13,1,1,0,0,0,,1,,2,1,,1,,1,1,,4
200,43,2,10,16,0,1,,0,,1,1,14,,,1,1,1,,,,2,1,1,,1,,1,,5
250,72,2,7,2,1,,,1,,0,1,4,,,,3,,1,,,,1,,,1,,1,,3
300,60,7,21,0,0,,,0,,1,1,0,,,,0,,,1,,,,,,1,,,,6
350,55,6,26,1,6,,,2,,,,1,,,,1,,1,,,,,,,1,,,,4
400,55,11,22,1,3,,,2,,,,1,,,,1,,,,,,,,,1,,,,4
450,0,0,0,0,0,,,,,,,1,,,,0,,,,,,,,,,,,,0
500,0,0,0,0,0,,,,,,,0,,,,0,,,,,,,,,,,,,0
550,0,0,0,0,0,,,,,,,0,,,,0,,,,,,,,,,,,,0
600,54,4,9,1,23,3,,,,,,0,,,,9,,,,,,,,,,,,,3
650,18,6,14,1,34,4,,,,,,0,,,,19,,,,,,,,,,,,,3
700,0,0,0,0,,2,,,,,,0,,,,0,,,,,,,,,,,,,0
750,0,0,0,0,,,,,,,,0,,,,0,,,,,,,,,,,,,0
800,0,0,0,0,,,,,,,,0,,,,0,,,,,,,,,,,,,0
850,45,15,29,1,,,,,,,,0,,,,1,,,,,,,,,,,,,0
900,58,8,28,1,,,,,1,,,0,,,,0,,,,,,,,,,,,,0
950,63,6,28,0,,,,,1,,,1,,,,1,,,,,,,,,,,,,0
1000,54,14,34,1,,,,,0,,,0,,,,,,,,,,,,,,,,,4
1050,68,8,18,1,,,,,1,,,0,,,,,,,,,,,,,,,,,0
1100,73,6,17,0,,,,,,,,0,,,,,,,,,,,,,,,,,0
1150,68,7,20,1,,,,,,,,1,,,,,,,,,,,,,,,,,1
1200,76,5,17,,,,,,,,,1,,,,,,,,,,,,,,,,,
1250,73,10,14,,,,,,,,,0,,,,,,,,,,,,,,,,,
1275,74,10,14,,,,,,,,,0,,,,,,,,,,,,,,,,,
