"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Corylus","Cichorioideae","Galium-type","Centaurea solstitialis","Helianthemum-type","Quercus pubescens/Q. robur-type","Pinus","Lycopodium spike","Ranunculus-type","Caryophyllaceae","Botryococcus","Poaceae","Pseudopediastrum boryanum","Thalictrum","Poaceae (Cerealia) undiff.","Matricaria-type","Amaranthaceae","Cyperaceae undiff.","Abies","Carpinus betulus","Myriophyllum-type","Centaurea cyanus","Scorzonera-type","Varia","Plantago lanceolata-type","Potamogeton-type","Triticum-type","Ostrya/Carpinus orientalis","Quercus cerris-type","Saxifraga hirsuta-type","Sarcopoterium spinosum/Poterium sanguisorba","Ephedra fragilis-type","Serratula-type","Polygonum aviculare-type","Platanus orientalis","Juniperus-type","Crataegus-type","Prunus-type","Frangula alnus","Phillyrea","Daphne-type","Salix","Fraxinus ornus","Fraxinus excelsior-type","Hordeum-type","Tetraëdron","Betula","Fagus","Senecio-type","Alchemilla-type","Picea","Centaurea scabiosa-type","Apiaceae","Sparganium-type","Asteraceae","Rosaceae undiff.","Juglans","Liliaceae undiff.","Ephedra distachya-type","Acer","Pistacia","Rumex-type","Plantago major/P. media-type","Ulmus","Vitis","Castanea","Ranunculus acris-type","Typha latifolia-type","Xanthium-type","Quercus ilex/Q. coccifera-type","Brassicaceae","Eryngium-type","Pteridium","Filipendula","Cistus albidus-type","Gentianaceae","Potentilla-type","Secale","Avena-type","Fabaceae undiff.","Persicaria amphibia","Scrophulariaceae","Bistorta officinalis-type","Thymelaeaceae","Teucrium","Alisma-type","Lamiaceae undiff.","Trifolium-type","Plantago coronopus-type","Pastinaca sativa-type","Monactinus simplex","Phyteuma-type","Prunella-type","Tilia","Valeriana dioica-type","Myrtus communis","Polypodium vulgare","Polypodiaceae undiff.","Hedera helix","Mercurialis annua","Saxifragaceae","Euphorbiaceae","Micranthes stellaris-type","Rhamnus-type","Knautia-type","Utricularia","Scabiosa columbaria-type","Lythrum","Erica-type","Callitriche","Persicaria maculosa-type","Anemone-type","Clematis-type","Cistaceae undiff.","Stachys-type","Anchusa-type","Plantago maritima-type","Reseda-type","Pseudopediastrum integrum","Vicia-type","Lotus-type","Digitalis","Onobrychis-type","Saxifraga oppositifolia-type","Rhus group","Sorbus-type","Scrophularia-type","Symphytum"
NA,NA,NA,150,10,2,6,1,NA,1,19,17,59,NA,NA,19,17,NA,2,1,2,1,1,NA,NA,NA,NA,NA,NA,3,NA,2,NA,NA,NA,6,NA,NA,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,282,2,4,24,NA,2,4,8,477,642,NA,7,55,3,3,2,NA,4,2,20,NA,NA,10,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,8,4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,31,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,314,12,22,1,1,NA,NA,45,167,141,NA,2,659,2,7,6,2,7,3,37,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,1,NA,NA,57,10,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,220,NA,11,2,5,NA,NA,182,44,73,1,NA,19,25,3,1,1,1,1,2,NA,1,NA,NA,NA,1,1,6,2,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,46,28,1,5,1,NA,9,18,378,166,NA,2,437,15,14,1,1,1,6,299,NA,NA,NA,NA,NA,NA,5,NA,NA,3,NA,NA,NA,1,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,2,NA,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,214,12,28,1,1,NA,NA,215,78,78,1,2,64,28,12,NA,2,2,NA,6,NA,NA,NA,NA,NA,NA,NA,9,4,NA,5,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,1,NA,NA,1,1,NA,5,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,182,34,1,2,NA,NA,NA,29,30,170,1,4,351,9,61,NA,4,7,9,7,NA,NA,NA,NA,NA,NA,3,NA,6,5,NA,NA,3,3,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,5,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,198,49,NA,2,NA,2,NA,26,29,178,2,1,123,16,1,NA,4,5,5,3,NA,2,2,NA,NA,1,1,NA,8,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,3,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,38,21,NA,21,1,NA,8,7,327,554,1,6,299,4,24,1,5,4,6,218,NA,NA,NA,1,NA,1,3,NA,NA,NA,1,NA,NA,NA,3,NA,1,42,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,118,72,1,7,1,NA,16,25,49,314,NA,1,5,14,15,NA,1,7,7,245,NA,NA,NA,NA,NA,1,5,NA,1,2,NA,NA,1,NA,3,1,NA,NA,NA,NA,NA,19,NA,NA,1,NA,NA,NA,NA,5,NA,1,NA,NA,NA,46,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
