"age_NA","ageolder_BP","ageyounger_BP","depth","Artemisia","Corylus","Cichorioideae","Galium-type","Centaurea solstitialis","Helianthemum-type","Quercus pubescens/Q. robur-type","Pinus","Lycopodium spike","Ranunculus-type","Caryophyllaceae","Botryococcus","Poaceae","Pseudopediastrum boryanum","Thalictrum","Poaceae (Cerealia) undiff.","Matricaria-type","Amaranthaceae","Cyperaceae undiff.","Abies","Carpinus betulus","Myriophyllum-type","Centaurea cyanus","Scorzonera-type","Varia","Plantago lanceolata-type","Potamogeton-type","Triticum-type","Ostrya/Carpinus orientalis","Quercus cerris-type","Saxifraga hirsuta-type","Sarcopoterium spinosum/Poterium sanguisorba","Ephedra fragilis-type","Serratula-type","Polygonum aviculare-type","Platanus orientalis","Juniperus-type","Crataegus-type","Prunus-type","Frangula alnus","Phillyrea","Daphne-type","Salix","Fraxinus ornus","Fraxinus excelsior-type","Hordeum-type","Tetraëdron","Betula","Fagus","Senecio-type","Alchemilla-type","Picea","Centaurea scabiosa-type","Apiaceae","Sparganium-type","Asteraceae","Rosaceae undiff.","Juglans","Liliaceae undiff.","Ephedra distachya-type","Acer","Pistacia","Rumex-type","Plantago major/P. media-type","Ulmus","Vitis","Castanea","Ranunculus acris-type","Typha latifolia-type","Xanthium-type","Quercus ilex/Q. coccifera-type","Brassicaceae","Eryngium-type","Pteridium","Filipendula","Cistus albidus-type","Gentianaceae","Potentilla-type","Secale","Avena-type","Fabaceae undiff.","Persicaria amphibia","Scrophulariaceae","Bistorta officinalis-type","Thymelaeaceae","Teucrium","Alisma-type","Lamiaceae undiff.","Trifolium-type","Plantago coronopus-type","Pastinaca sativa-type","Monactinus simplex","Phyteuma-type","Prunella-type","Tilia","Valeriana dioica-type","Myrtus communis","Polypodium vulgare","Polypodiaceae undiff.","Hedera helix","Mercurialis annua","Saxifragaceae","Euphorbiaceae","Micranthes stellaris-type","Rhamnus-type","Knautia-type","Utricularia","Scabiosa columbaria-type","Lythrum","Erica-type","Callitriche","Persicaria maculosa-type","Anemone-type","Clematis-type","Cistaceae undiff.","Stachys-type","Anchusa-type","Plantago maritima-type","Reseda-type","Pseudopediastrum integrum","Vicia-type","Lotus-type","Digitalis","Onobrychis-type","Saxifraga oppositifolia-type","Rhus group","Sorbus-type","Scrophularia-type","Symphytum"
NA,NA,NA,274,9,2,50,NA,1,NA,6,478,913,NA,16,5,NA,1,NA,1,NA,2,6,NA,NA,NA,1,1,4,NA,NA,NA,NA,NA,NA,2,NA,2,1,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,198,2,1,NA,1,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,30,31,NA,67,NA,1,11,4,377,383,NA,3,414,1,3,NA,NA,3,1,138,NA,NA,NA,NA,NA,1,2,NA,NA,6,NA,NA,NA,NA,8,NA,2,35,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,258,13,NA,93,1,NA,3,3,106,702,1,6,87,2,7,1,2,25,6,30,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,1,1,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,110,30,NA,5,2,NA,7,21,47,132,NA,NA,7,13,43,1,3,6,2,14,NA,NA,NA,NA,NA,1,12,NA,NA,1,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,47,1,NA,3,NA,NA,NA,1,1,NA,NA,2,NA,NA,NA,NA,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,266,6,NA,102,NA,3,1,1,480,784,2,9,28,1,5,NA,NA,1,4,37,NA,NA,NA,NA,1,2,1,NA,NA,1,NA,NA,1,2,10,5,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,89,5,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,210,27,9,1,NA,1,1,140,75,129,NA,1,386,21,3,NA,7,7,4,2,NA,1,NA,NA,NA,NA,3,4,6,4,NA,NA,2,NA,3,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,18,3,14,2,NA,3,24,296,576,NA,2,205,9,4,1,NA,2,1,65,NA,NA,NA,NA,NA,1,14,NA,1,4,NA,NA,1,NA,1,NA,NA,25,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,4,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,54,33,NA,10,NA,NA,2,16,312,198,1,1,187,13,186,1,2,3,8,233,NA,NA,NA,NA,1,3,4,NA,3,9,NA,NA,1,12,4,NA,NA,48,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,166,41,NA,12,NA,NA,2,25,13,220,2,3,278,24,112,2,NA,2,2,53,NA,NA,NA,NA,NA,1,10,NA,2,1,1,NA,4,9,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,4,NA,NA,NA,NA,NA,2,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,158,32,1,6,NA,NA,6,45,122,236,NA,4,55,28,8,2,3,2,3,27,NA,NA,NA,NA,NA,NA,7,NA,2,2,NA,NA,5,1,NA,NA,NA,2,NA,NA,NA,7,NA,NA,NA,NA,2,NA,1,6,NA,NA,NA,NA,NA,71,1,NA,1,NA,NA,NA,3,2,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,362,21,3,NA,1,NA,NA,96,6,127,NA,1,875,3,15,NA,1,2,5,18,NA,NA,NA,1,NA,NA,NA,NA,1,6,2,NA,NA,NA,NA,1,NA,15,1,NA,2,1,NA,1,NA,NA,NA,NA,7,1,3,NA,NA,NA,6,6,NA,NA,NA,NA,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,206,35,4,NA,2,NA,2,50,56,111,NA,1,518,66,5,5,3,7,4,10,NA,NA,5,NA,NA,1,2,5,4,NA,3,NA,1,NA,NA,NA,1,1,NA,NA,NA,2,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,174,49,NA,7,2,1,3,17,21,218,1,3,346,23,46,3,NA,10,2,280,NA,NA,NA,NA,NA,2,3,NA,2,3,NA,NA,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,2,11,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,346,16,35,NA,2,NA,1,105,76,115,NA,5,896,27,38,6,4,3,3,135,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3,NA,1,NA,NA,NA,NA,14,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,2,1,NA,NA,NA,1,12,5,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,194,62,NA,16,7,NA,9,20,47,186,1,6,241,24,2,2,6,18,23,2,NA,NA,NA,NA,NA,2,11,NA,4,5,NA,NA,12,NA,1,1,2,1,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,1,7,NA,NA,4,1,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,190,13,NA,2,NA,NA,1,17,13,117,2,2,111,48,5,2,3,2,4,18,NA,1,NA,NA,NA,2,8,NA,2,3,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,1,NA,2,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,86,24,NA,6,1,NA,3,16,366,588,1,1,47,13,9,NA,5,1,1,22,NA,NA,NA,NA,NA,1,5,NA,1,2,NA,NA,NA,NA,NA,1,4,5,NA,NA,NA,1,NA,NA,1,NA,3,NA,2,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,142,62,NA,7,4,NA,14,86,62,315,NA,3,257,41,17,2,4,11,7,27,NA,NA,NA,NA,NA,NA,7,NA,2,1,NA,NA,10,NA,1,1,6,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,3,NA,1,NA,1,1,NA,7,NA,2,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,134,65,NA,12,4,NA,5,85,61,526,1,2,81,20,21,5,10,3,12,9,NA,1,NA,NA,NA,NA,8,NA,3,1,NA,NA,29,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,2,NA,2,NA,3,5,NA,1,NA,1,2,5,NA,NA,1,NA,NA,NA,1,2,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,162,84,1,9,3,NA,7,54,48,182,NA,7,160,65,68,4,5,11,8,34,NA,3,NA,NA,NA,NA,33,NA,3,4,NA,NA,5,4,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,3,1,2,1,NA,3,1,7,1,NA,1,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,10,4,NA,NA,1,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,378,32,2,NA,1,NA,1,160,6,244,NA,2,271,3,76,2,1,7,7,66,NA,NA,NA,NA,NA,1,2,5,2,3,1,NA,1,NA,NA,NA,NA,35,2,NA,NA,4,NA,8,5,NA,NA,6,36,1,1,NA,NA,NA,5,11,NA,2,NA,NA,1,NA,2,1,NA,1,NA,NA,NA,NA,2,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,298,26,12,47,3,NA,2,115,291,1086,24,26,1410,4,17,19,2,7,11,213,NA,3,21,NA,1,3,4,NA,NA,8,5,NA,4,1,9,NA,7,48,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,3,NA,NA,NA,NA,NA,68,7,NA,2,2,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,290,15,12,17,11,NA,1,48,387,665,5,22,387,18,19,11,2,NA,7,544,NA,NA,50,NA,NA,4,NA,1,NA,4,4,NA,NA,1,1,2,NA,12,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,38,8,2,2,NA,NA,NA,4,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,202,72,1,35,5,NA,9,32,62,303,1,4,580,34,7,3,9,17,13,3,NA,NA,NA,NA,NA,3,10,NA,4,4,NA,NA,10,1,3,1,NA,2,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,2,4,1,NA,2,NA,NA,4,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,4,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,78,53,1,12,9,1,25,40,237,836,1,1,690,15,8,3,12,7,10,156,NA,NA,2,NA,NA,6,12,NA,6,8,1,NA,NA,NA,NA,NA,4,54,NA,NA,NA,1,NA,NA,1,NA,2,NA,1,5,NA,NA,NA,NA,3,2,6,2,2,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,1,NA,1,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,94,15,1,4,7,NA,18,34,190,1246,NA,2,62,20,47,1,1,3,1,387,NA,NA,NA,1,NA,1,7,NA,4,2,2,NA,1,2,7,NA,1,38,NA,NA,NA,1,NA,2,2,NA,1,NA,2,6,NA,NA,NA,NA,3,47,2,2,4,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA
NA,NA,NA,410,17,6,NA,4,NA,2,210,4,462,NA,3,570,11,2,NA,3,1,4,40,NA,NA,NA,NA,NA,1,1,9,2,6,NA,NA,3,1,NA,NA,1,17,1,1,1,1,NA,5,2,NA,NA,500,67,2,3,NA,NA,1,12,23,NA,2,NA,NA,2,3,2,3,NA,NA,1,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,3,NA,NA
NA,NA,NA,102,40,1,18,13,NA,3,46,193,889,1,3,13,13,1,1,3,NA,6,729,NA,NA,1,NA,NA,2,18,NA,7,4,7,NA,3,NA,4,1,NA,20,NA,NA,NA,10,NA,1,8,NA,2,NA,2,5,NA,NA,NA,1,2,30,4,2,1,NA,NA,NA,1,1,NA,1,NA,1,NA,NA,NA,1,8,1,NA,NA,1,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2
