"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Vitis","Zea mays","Poaceae (Cerealia)","Brassicaceae","Micranthes stellaris-type","Sorbus aucuparia","Echium","Anthemis-type","Silene dioica-type","Centaurea nigra-type","Cistus ladanifer-type","Fraxinus angustifolia","Paronychia polygonifolia-type","Veratrum album","Halimium/Tuberaria","Minuartia recurva","Conopodium majus","Sphagnum","Cyperaceae","Plantago lanceolata-type","Arenaria","Alnus glutinosa","Galium-type","Castanea sativa","Quercus ilex-type","Genista-type","Silene vulgaris-type","Jasione-type","Narcissus bulbocodium","Plantago subulata-type","Arnoseris minima","Pinus sylvestris-type","Hedwigia","Erica australis","Potentilla","Pteridium aquilinum","Secale","Calluna vulgaris","Quercus robur-type","Betula pubescens","Juniperus communis","Rumex acetosella-type","Erica umbellata","Ranunculus","Olea europaea","Pinus pinaster","Poaceae","Erica arborea-type","Juglans","Amaranthaceae","Campanula","Corylus avellana","Hypericum perforatum-type","Silene foetida-type","Pedicularis sylvatica","Sedum-type","Gentiana lutea/G. pneumonanthe","Chaerophyllum temulum","Artemisia","Cytisus scoparius","Peucedanum-type","Colchicum montanum","Polypodiales (monolete)","Ranunculus acris-type","Rumex acetosa-type","Apiaceae","Vaccinium","Asphodelus albus","Carum verticillatum","Filago-type","Cuscuta","Salix","Helianthemum","Frangula alnus","Narcissus pseudonarcissus-type","Caryophyllaceae (porate)","Aster-type","Rubus","Ornithogalum-type","Solidago","Sparganium emersum-type","Phillyrea","Armeria","Cirsium-type","Sanicula europaea","Ulmus","Myriophyllum alterniflorum","Fallopia convolvulus-type","Myrtus communis","Sagina","Scilla","Pistacia","Trifolium repens","Spergula","Dianthus lusitanus-type","Pimpinella saxifraga-type","Lavandula","Daphne/Thymelaea","Saxifraga granulata-type","Lotus","Allium","Succisa","Physospermum cornubiense","Cerastium","Ruta","Sambucus nigra","Lythrum","Valeriana officinalis","Potamogeton","Plantago major-type","Hippophaë rhamnoides","Anagallis","Daucus","Fritillaria lusitanica","Oenanthe","Gagea nevadensis","Marchantiophyta","Eryngium","Polypodium","Ophioglossum lusitanicum","Filipendula","Poterium sanguisorba","Hedera helix","Ilex aquifolium","Anthriscus cerefolium","Rosaceae","Reseda/Sesamoides","Lysimachia","Valerianella","Anthriscus sylvestris","Rumex obtusifolius-type","Ephedra fragilis-type","Torilis arvensis-type","Corrigiola telephiifolia","Radiola linoides","Silene ciliata-type","Ornithopus","Senecio","Vicia","Thalictrum","Botrychium","Ephedra distachya-type","Centaurea scabiosa-type","Fabaceae","Saxifraga spathularis","Pediastrum","Jurinea","Gentianella campestris-type"
58.33,NA,NA,10,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,4,5,5,6,6,6,8,8,12,13,29,30,88,97,162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
244.41,NA,NA,20,NA,NA,NA,2,1,1,NA,NA,1,NA,1,NA,NA,2,1,3,NA,NA,1,4,2,NA,3,4,5,14,1,NA,NA,1,NA,1,NA,5,22,14,9,5,11,27,10,7,4,8,73,28,54,133,309,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
533.22,NA,NA,30,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,2,3,NA,5,1,NA,5,5,NA,2,NA,NA,2,NA,NA,8,8,7,3,3,7,5,13,18,7,81,32,10,111,117,NA,NA,NA,NA,NA,NA,NA,5,1,NA,NA,1,1,NA,NA,4,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
726.96,NA,NA,40,NA,NA,NA,2,NA,6,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,20,1,NA,1,7,1,6,1,NA,NA,2,NA,NA,1,1,5,12,2,9,9,30,21,8,11,4,44,13,7,195,92,1,NA,NA,2,NA,NA,NA,7,3,2,3,NA,1,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
825.62,NA,NA,50,3,1,NA,1,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,NA,46,2,NA,13,8,1,5,3,1,NA,3,NA,1,NA,NA,15,28,9,2,12,65,17,3,7,1,37,6,3,232,153,1,NA,NA,2,NA,NA,1,6,19,2,4,NA,NA,1,3,15,NA,2,NA,NA,NA,NA,NA,1,NA,NA,1,NA,3,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
993.4,NA,NA,60,7,NA,NA,1,1,7,NA,NA,3,NA,NA,NA,1,NA,NA,5,NA,NA,NA,36,4,2,3,24,1,9,6,NA,3,12,1,4,2,4,3,16,13,NA,22,70,14,NA,10,2,29,NA,7,800,127,NA,1,NA,2,1,NA,NA,5,4,1,1,NA,3,NA,4,11,NA,1,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2542.76,NA,NA,70,4,NA,NA,1,1,5,NA,NA,1,NA,NA,1,1,NA,NA,NA,NA,NA,1,22,1,1,7,9,NA,6,13,NA,1,11,1,1,2,3,5,5,7,NA,3,46,22,NA,6,2,37,NA,7,850,157,NA,NA,1,2,NA,NA,NA,3,NA,NA,1,1,1,3,2,12,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2637.78,NA,NA,80,4,NA,NA,2,1,8,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,3,11,1,NA,10,10,NA,7,6,NA,NA,15,NA,NA,2,13,8,8,15,NA,18,102,67,NA,3,3,176,NA,18,700,224,NA,1,1,4,1,1,NA,4,1,1,2,3,9,4,4,2,1,2,NA,4,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2732.8,NA,NA,90,3,NA,NA,NA,2,1,NA,NA,1,1,NA,NA,NA,NA,NA,3,NA,NA,NA,6,NA,1,4,3,NA,5,4,NA,NA,7,NA,NA,2,2,1,8,3,NA,6,56,38,NA,12,2,102,NA,11,250,137,NA,NA,NA,3,NA,1,NA,7,NA,1,2,5,1,3,1,23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2849.34,NA,NA,100,3,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,25,NA,1,9,5,NA,3,6,NA,1,2,1,NA,NA,4,5,16,8,NA,13,123,162,NA,7,1,101,2,12,380,131,NA,NA,NA,4,1,NA,NA,5,NA,NA,NA,1,5,2,9,2,NA,2,NA,2,7,2,NA,4,NA,NA,2,NA,NA,NA,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
