"age_NA","ageolder_BP","ageyounger_BP","depth","Betula","Corylus","Salix","Sambucus","Taxus","Tilia","Viburnum","Rosaceae","Euphorbiaceae","Plantago lanceolata-type","Rubiaceae","Thymelaeaceae","Erodium","Genista-type","Ostrya/Carpinus orientalis","Asphodelus albus-type","Heliotropium-type","Myrtus","Tilia cordata-type","Indeterminable","Polypodiophyta","Rumex","Apiaceae","Vitis","Alnus","Rhamnus","Juniperus","Quercus ilex-type","Hordeum-type","Plantago lagopus-type","Fabaceae","Lamiaceae","Plantago coronopus-type","Mercurialis annua","Cyperaceae","Erica","Erica verticillata-type","Botrychium","Caryophyllaceae","Sanguisorba minor/Poterium","Amaranthaceae","Fraxinus ornus","Artemisia","Poaceae","Asteroideae","Pistacia","Olea","Cichorioideae","Quercus pubescens-type","Phillyrea","Lycopodium spike","Pinus","Ranunculaceae","Avena-type","Triticum-type","Filipendula","Oleaceae","Poaceae (Cerealia-type, indeterminable)","Tilia pro parte","Fagus","Brassicaceae","Plantago major/P. media","Centaurea solstitialis-type","Ephedra fragilis-type","Plantago maritima-type","Plantago holosteum-type","Pteridium","Abies","Picea","Ulmus","Ligustrum","Lathyrus-type","Fraxinus excelsior","Cistus monspeliensis","Cistus albidus-type","Potamogeton eupotamogeton","Polypodium","Varia","Cistaceae","Convolvulus arvensis","Liliaceae","Trifolium-type","Ranunculus acris-type","Anemone-type","Carpinus betulus","Cistus","Helianthemum-type","Theligonum cynocrambe","Nerium","Gentianaceae","Lonicera","Arbutus","Triletes (psilate)","Unknown (trilete, reticulate)","Ophioglossum","Sparganium-type","Typha latifolia","Humulus/Cannabis","Cistus salviifolius","Erica arborea-type","Dipsacoideae","Aconitum-type","Geranium","Xanthium","Bistorta officinalis-type","Gypsophila","Acer","Polygonum aviculare","Hedera","Stuckenia-type","Platanus","Plumbaginaceae","Cotinus","Castanea","Plantago pro parte","Jasminum","Juglans","Tilia platyphyllos-type","Malvaceae","Ephedra distachya-type","Sanguisorba officinalis","Dorycnium-type","Allium-type","Quercus pro parte","Glaucium","Delphinium-type","Calligonum","Centaurea sp.","Cornus sanguinea-type","Polycnemum","Urtica","Vicia-type","Salvia","Ceratonia siliqua","Bryophyta","Loranthus","Convolvulus","Buxus","Plantago altissima-type"
NA,NA,NA,233,"1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","2","2","3","3","3","3","4","4","4","4","5","5","7","7","10","17","17","18","18","30","30","164","244","251","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,192,"","1","","","","1","1","","1","4","","2","","","6","","","","","","1","2","3","1","3","","6","4","3","2","1","1","1","1","3","4","4","4","","6","18","6","5","22","21","30","70","18","40","65","140","300","1","1","1","1","1","1","1","2","2","2","2","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,138,"1","5","","","","","1","","2","12","","","","","9","","","","","3","","3","","1","3","","10","13","2","1","","","12","3","3","19","19","4","1","23","116","1","15","69","24","186","19","60","75","10","135","144","2","5","","","","","","1","2","3","","2","","","3","1","1","1","1","1","1","1","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,190,"","2","","","","1","","","","6","1","3","","","12","5","","","1","5","","2","4","","5","2","3","6","1","3","","2","2","4","2","7","7","6","3","7","16","2","7","40","22","36","82","98","36","84","124","233","","2","","","","","","2","","3","","","","","","","1","","","","1","","1","1","1","2","3","3","1","1","1","1","1","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,115,"1","","","","","","1","","","6","","","","","1","1","","","","10","6","","","8","","2","3","3","7","","1","1","1","","5","7","7","30","3","5","8","1","1","28","20","28","18","173","1","15","127","448","2","4","5","1","","5","","","3","4","","","2","","1","","1","1","","1","","","27","","","4","38","","2","1","","1","","9","2","","","1","1","1","1","2","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,119,"","2","","","","","","","","5","","","","","","1","","4","","12","4","1","","10","1","3","2","6","11","6","","","6","1","1","13","12","16","2","2","13","2","1","57","16","44","17","202","4","16","90","426","1","1","1","","","7","","1","2","","","","1","1","2","","","","1","","","","14","","","3","21","","","1","","3","","5","1","","","","","","","","6","1","1","1","1","1","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,185,"","4","","","1","","","","3","2","2","","","","8","","","","","1","","2","3","2","2","","15","27","7","4","1","2","7","6","3","17","17","4","2","16","52","12","7","42","24","82","57","91","68","47","172","239","","2","3","","","","","3","1","2","","1","","1","2","","","1","1","","","","4","2","","4","4","","1","","","1","","","","","","","","","","","1","1","","","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,231,"1","3","","","","","","","","4","1","","","","5","2","","","","11","3","1","3","","","","3","8","3","","3","9","6","3","12","7","7","6","","8","11","21","6","26","27","30","44","76","39","123","430","215","3","2","","","","","","3","2","6","1","","2","1","1","","","1","3","","","1","2","","","2","4","","1","","","","1","1","","3","","1","","","","","","2","","","","","","3","","","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,249,"1","6","","","","","","2","","11","","","","","7","1","","","","3","4","3","","","3","","1","23","2","2","2","4","5","7","9","9","9","6","3","17","29","5","9","34","15","41","55","45","51","56","1784","242","2","1","1","","","1","","2","","2","","","1","","2","2","","","1","","","","1","","","7","2","","1","2","","2","","1","","","","1","","","","","","2","","3","","","","","1","","","","1","","","1","1","1","1","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,131,"3","6","","","1","1","","2","","20","1","","","","16","6","","","","4","5","6","5","","8","","29","9","6","9","","1","2","6","9","26","26","4","3","45","138","3","15","85","26","170","5","104","59","20","430","168","1","3","2","","","1","1","2","","7","","1","","","6","1","","","","","1","","2","5","","3","3","4","1","","","","","1","","","","","","","","","","2","1","","","","","","","","","1","1","","","","1","1","","","","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,270,"","6","","","","","","6","","3","1","2","","","18","17","","","","19","9","3","","","5","","","9","9","1","","1","41","3","15","48","48","4","6","48","39","2","10","83","78","7","33","111","103","80","3507","121","3","1","","","1","1","","4","2","9","","1","","2","1","2","","3","","","4","1","8","","3","16","26","2","","","","4","1","15","2","","","6","","","","","2","3","","","","","","","","","","","","","","","","50","","1","1","","","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,213,"3","3","","","","","","1","1","15","1","","1","1","7","3","2","","","2","","2","3","2","7","","1, 9","18","5","8","2","6","13","7","7","16","16","4","3","17","22","8","5","45","14","23","68","14","97","104","327","148","1","1","","","2","2","","1","","4","3","","1","","3","","","1","","","","1","4","1","","","6","","2","","","","","1","","","","","","","","","","","","","","","","1","","","","","","1","1","","","1","","","","1","2","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,239,"1","1","","","","1","","3","","19","2","1","","","12","2","","","","2","1","4","1","","6","","4","30","2","6","3","5","5","10","7","11","10","5","4","14","35","3","5","68","15","58","32","51","70","79","705","202","","1","6","","","1","","","1","2","","","","","4","1","","","","","","","7","","","3","9","2","","1","","","1","1","1","1","","","","","","","1","1","2","","","1","","1","1","","","","","","","1","3","1","","1","","","","1","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,149,"","2","","","","1","","2","","21","","1","1","","7","3","","","","4","5","2","5","","5","","16","18","7","5","","2","8","9","13","24","23","7","2","41","149","1","14","83","27","221","9","126","69","10","384","172","1","","6","","","1","","4","5","8","","1","1","2","5","1","","","","","1","","","2","","6","","2","5","","","1","","","","1","","","","1","","","1","1","","","","1","","","1","","","","","","1","","1","1","","1","","","","1","1","1","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,140,"","4","","","","1","","3","","30","1","1","2","","10","1","","","1","11","4","6","3","","2","","9","10","12","2","1","1","8","8","4","24","23","7","5","30","143","3","8","84","32","215","11","104","60","13","206","141","2","1","6","","1","","","1","1","6","1","","","","3","","","","1","1","1","","2","","","8","5","4","1","","","","","1","2","","","1","","","","","","1","","","","1","","","","","","","","2","1","","","2","","","","","2","","","","1","","","","","","","","","","","","","","","","","",""
NA,NA,NA,129,"1","3","","","1","","","1","","21","","1","","","11","2","","","","2","5","6","2","2","1","1","27","21","7","10","","7","9","11","11","26","26","6","2","34","140","5","17","92","37","190","15","84","68","8","242","199","1","1","","","1","1","","9","2","9","","1","3","","3","","1","1","1","","4","","1","4","1","6","2","5","","","1","1","","1","","","","","","","1","","","1","","2","","","","","","","","","","1","","","","1","","","","","1","","","","","","","","","","","","","","","","","","","","","",""
NA,NA,NA,205,"2","9","","","1","1","","1","","23","2","1","","","18","3","","","","9","1","6","3","","9","","10","28","8","4","4","10","22","14","11","25","25","5","1","28","26","3","13","61","22","45","33","45","113","143","518","296","3","2","2","","","1","","3","4","1","1","3","1","","1","2","","1","","","1","","6","","","4","8","1","","1","","1","","2","","","","","","1","","","","","1","","","","","1","1","","","","","","","","","","1","","","","","1","","","","1","","","","","","","","","","","","","","","","",""
NA,NA,NA,210,"3","7","","","1","","","","","15","3","","1","","18","","1","","","4","2","6","1","","8","","5","43","11","","","8","20","9","10","34","34","3","1","22","35","","6","53","11","39","38","42","85","117","295","204","","1","3","3","1","2","","2","2","5","","2","2","2","","","1","2","","","2","","2","1","2","11","5","","2","","","3","1","1","2","","","","","","","","","4","","2","","","1","","3","","","","","1","1","","","","","","","","2","","","","","","1","4","","","","","","","","","","","","","","",""
NA,NA,NA,171,"","3","","","1","","1","1","","11","1","","","","12","1","","","","2","1","4","1","","4","3","1, 45","19","6","3","2","7","8","4","7","15","15","8","4","17","137","6","10","72","18","108","26","62","112","40","221","242","","1","","","","1","","6","5","5","","","1","1","4","","","1","2","","1","","2","5","","1","3","1","4","","2","3","","1","","","","","","","","","","1","","","","","","1","","","","","","","","1","","","","1","","","","","","","","","","","1","1","1","1","","","","","","","","","","",""
NA,NA,NA,124,"1","5","1","","1","","","2","1","21","2","","","","5","1","","","","4","1","8","3","3","2","2","37","19","3","3","1","1","5","7","14","9","9","4","4","24","90","4","7","97","24","127","17","115","52","17","391","168","1","4","5","","","","","1","4","12","","","2","","3","","","1","","","1","","2","9","","2","3","","5","1","1","4","1","1","","","","","","","","","1","2","","3","","","","","","","","","","","","","4","","","1","","","","","","","","","","","1","","","","1","1","","","","","","","","",""
NA,NA,NA,169,"","11","","","","1","","1","","18","1","","","","22","1","","","","4","1","3","2","1","10","1","36","44","7","3","","1","17","9","6","20","19","3","2","19","137","4","9","86","20","205","38","91","130","28","140","307","1","","2","","","","","2","3","9","","3","2","4","4","1","","4","1","","1","","4","12","","24","6","","2","","","1","1","","","","","","","","","","","","","1","2","1","","1","","1","","","","","","","1","","","1","","","","1","","","","","","","","","1","","","1","1","1","1","1","1","2","","",""
