"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Chaetomium","Microthyrium-type","Mougeotia-type","Rivularia","Betula","Corylus","Papaver rhoeas-type","Verbascum pulverulentum-type","Tilletia caries-type","Thecaphora-type","Riccia lamellosa-type","Sordariaceae","Gloeotrichia","Centaurea","Bupleurum","Puccinia","Dyadosporites","Spike tablets","Quercus robur-type","Fusiformisporites","Pseudoschizaea","Typha angustifolia-type","Pluricellaesporites","Helianthemum","Asteroideae","Olea","Unknown (monolete)","Pinus pinaster-type","Amaranthaceae","Unknown","Lamiaceae (hexacolpate)","Erica arborea-type","Poaceae","Cichorioideae","Spirogyra-type","Zygnema-type","Cyperaceae","Quercus ilex-type","Pinus nigra-type","Glomus","Polyadosporites","Lycopodium","Atractylis","Alnus","Artemisia","Pistacia lentiscus","Asplenium-type","Gelasinospora","Teucrium","Anagallis arvensis","Pteridium aquilinum","Closterium idiosporum-type","Paronychia","Quercus cf. Q. suber","Nuphar","Potamogeton","Apium","Closterium idiosporum","Trichuris","Rubiaceae","Alchemilla","Bryophyta","Brassicaceae","Viburnum","Resedaceae","Cistus","Lythrum salicaria-type","Conium maculatum","Ulex-type","Malvaceae","Unknown (trilete)","Crassulaceae","Scrophularia canina-type","Ruta","Urticaceae","Rumex","Thalictrum","Vitis","Buxus","Blackstonia perfoliata-type","Ophioglossum","Lotus-type","Phillyrea","Dianthus","Rhamnus","Scabiosa","Sideritis (tetracolpate)","Salix","Cupressaceae-type","Ranunculus peltatus-type","Conium-type","Polypodium","Liliaceae","Fraxinus","Iris","Juglans","Arbutus","Cistus salviifolius","Coriaria myrtifolia","Hypericum","Myriophyllum spicatum","Sparganium","Allium","Potentilla-type","Erodium","Sorbus aucuparia-type","Lysimachia ephemerum","Agrimonia eupatoria","Equisetum","Sambucus nigra-type","Acer","Rhus coriaria","Fabaceae","Taxus","Polygala","Echinops","Pistacia terebinthus","cf. Adiantum","Pilularia","Hedera helix","Fraxinus angustifolia","Caryophyllaceae","Ilex","Polygonum aviculare-type","Ulmus","Thymelaeaceae","Lathyrus","Hydrocharis","Lycium-type","Isoëtes","Euphorbiaceae","Mercurialis","Epilobium","Lamiaceae (tricolpate)","Botryococcus","Trifolium-type","Transeauina","Gentianaceae","Ononis-type","Knautia","Nerium oleander","Sarcocapnos","Pellaea-type","Linum","Parnassia palustris","Rumex crispus-type","Botrychium","Nymphaea","Apiaceae","Sanguisorba","Scrophulariaceae","Anagallis tenella-type","Acaulon-type","Xanthium","Hypecoum","Erica multiflora-type","Galium aparine","Poaceae (Cerealia-type)","Convolvulus","Andropogon","Asphodelus fistulosus","Anchusa azurea","Alisma","Lemna","Ephedra fragilis","Typha latifolia-type","Tamarix","Anthyllis-type","Cerinthe-type","Portulaca oleracea-type","Myriophyllum verticillatum","Callitriche","Myosotis","Echium","Geraniaceae","Cedrus","Ephedra distachya/E. major subsp. major","Closterium cf. C. rostratum","Rosaceae","Rubus ulmifolius-type","Anchusa azurea-type","Myrtus","Asparagus-type","Myrica","Abies"
3014,3301,2713,37,"1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2, 12542","3","3","5","6","6","8","9","9","9","10","11","12","14","18","19","29","36","38","49","62","98","158","173","239","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3135,3414,2846,38,"","2","","","2","","","","","3","2","","5","1","3","","1","5","2, 12542","3","","2","16","5","4","11","","8","2","","9","","16","6","22","5","22","31","32","75","97","53","184","1","2","3","4","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3256,3526,2978,39,"","1","1","","","","","2","","1","1","","12","3","4","","","5","2, 12542","8","6","","21","3","13","6","","4","3","1","7","9","9","22","24","26","31","22","96","51","99","97","199","","1","8","","6","1","1","1","1","2","2","2","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3377,3637,3109,40,"","","","","1","","","","1","2","5","","1","2","1","","","15","2, 12542","2","1","","4","1","1","4","","","","8","28","1","","26","14","9","51","8","25","51","22","49","95","","","1","","","","","","","","","","","","1","1","1","1","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3498,3750,3241,41,"","","","","","2","2","","","","","","3","3","1","1","","20","2, 12542","5","1","","16","1","1","","","","8","4","25","1","1","26","14","2","12","13","45","32","49","42","198","","1","3","","1","","6","","","","","","","","4","","","","","","","1","1","1","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3619,3860,3370,42,"1","","2","1","1","","","","","","","","4","4","","","3","13","2, 12542","1","8","","16","4","15","3","","6","7","5","37","3","","26","16","2","27","5","40","51","128","57","199","","","7","","","2","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3740,3972,3500,43,"1","1","","","1","","","","3","","1","","2","3","5","","","14","2, 12542","7","2","","12","2","7","3","","11","5","8","31","9","9","49","15","4","63","48","42","73","89","51","179","","","6","","11","","3","","","","","","","","16","","","","","","","","","","","","","2","3","9","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3861,4085,3630,44,"","1","","1","1","","3","","","3","1","","3","2","","","","17","2, 12542","8","22","","12","2","3","3","","3","19","5","30","10","8","28","14","8","46","45","82","46","88","32","244","","5","4","","2","","","","","","","","1","","3","","","","","","4","","","1","","","","","1","","1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
3982,4199,3759,45,"","","","","1","","","","","","","3","4","","2","","","18","2, 12542","10","","","12","2","4","3","4","","14","3","23","11","2","43","19","4","26","59","56","56","94","95","229","","4","2","2","2","","","","","","","","","","2","","","","","","","","","","","","","","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4103,4313,3888,46,"2","","","","1","","","","","3","1","","2","2","","","","11","2, 12542","4","1","","23","1","4","11","","6","6","2","16","4","8","11","11","8","26","16","33","57","54","180","201","","","","","1","","","","","","","","3","","1","","","","","","11","","","","","","","","4","3","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4224,4427,4015,47,"1","","","2","","","1","","","1","","","3","1","","","","2","2, 12542","19","4","","20","1","3","1","","","11","","21","2","9","26","8","17","38","40","67","55","46","98","164","","","5","1","1","","1","","","","","3","","2","7","","","","","","2","1","","","3","","","","","","","","","1","1","1","1","1","1","2","2","2","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4345,4542,4142,48,"1","1","","2","2","","","","1","3","2","2","4","3","4","1","1","4","2, 12542","19","2","","11","3","6","1","3","6","16","2","22","11","11","44","","17","26","36","82","64","39","154","133","","","3","","2","","","","","1","","5","6","","6","","","","","","1","3","","2","4","","1","","4","","1","1","","","","","","","","","2","","2","1","1","2","6","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4466,4656,4266,49,"","","1","2","1","1","","","2","4","1","","6","4","","","","8","2, 12542","10","1","","16","2","16","5","","8","25","3","22","10","14","29","4","31","31","40","79","44","67","174","174","","7","14","","1","1","9","","","3","","4","","4","8","","1","","","","","","","2","","3","","","","5","2","1","","","","","","","","","","","","","","1","","1","1","1","2","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4587,4771,4391,50,"","","5","","3","16","17","","","5","","","7","1","3","","","2","2, 12542","8","2","","37","2","4","","6","","13","","29","10","21","33","","35","26","39","161","27","88","158","256","","4","13","4","11","","","","","8","","4","4","","27","","","","4","","2","","","","3","1","8","","","15","","1","1","","","","","","","","","","3","1","","1","1","","","","","","","1","1","1","1","2","8","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4708,4886,4514,51,"1","1","1","13","","1","1","1","1","2","","2","5","2","7","","2","3","2, 12542","46","12","","37","2","1","6","17","13","45","16","11","7","13","44","13","90","84","88","128","30","56","144","71","","1","20","21","","","14","","1","1","","4","1","1","29","","","","1","","1","","","","2","","","","10","","","","","","1","","1","","","2","3","","1","","1","1","1","1","","1","","","","","","","","","","1","1","1","1","1","1","1","1","2","3","3","11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4829,5002,4638,52,"1","","","5","","2","21","","5","","","","2","","4","1","","3","2, 12542","31","1","","41","1","1","2","1","31","27","1","18","","16","20","10","21","16","152","127","24","99","174","46","","3","8","4","","","1","","1","1","","9","","6","26","","","","1","","","","","","4","","1","1","8","","","1","","","","","1","","2","","","1","","1","","","","","","","","","","","","","","1","","3","","","","","","","","","","","","1","1","1","1","1","1","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
4949,5118,4760,53,"2","","","2","","1","1","","3","1","","1","2","3","2","1","1","4","2, 12542","10","3","","16","1","10","5","2","15","14","8","18","5","14","37","14","19","36","29","85","39","102","81","34","","","1","2","2","","8","","1","2","","2","2","","11","","","","3","","","1","","","1","3","2","","","1","","1","","","","","","","","","1","","","2","","","","2","","","","","","","","1","2","1","","1","","","","","","","","","","","","","","1","1","1","","1","1","1","1","1","1","1","1","1","1","1","3","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5070,5235,4883,54,"1","1","","7","2","5","1","","1","","1","","1","5","","","","2","2, 12542","11","5","1","36","2","4","","10","1","25","11","21","5","2","27","16","32","37","20","107","43","94","120","69","","1","4","15","","","","","","1","","2","","1","13","","","","","","","","","1","1","","","","","","","1","1","","1","","","","","","2","","3","","","1","2","","","","","3","","","1","1","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","1","1","","1","","1","1","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5191,5357,5010,55,"2","","1","17","1","","5","","3","","","","","","4","","","3","2, 12542","19","4","1","18","","1","4","9","16","47","10","16","","4","53","19","66","65","30","112","36","51","159","41","","3","7","21","3","1","2","","","1","","6","","","19","","","","","","1","","","","","2","2","","","","","3","","","","","1","","","2","1","","2","","","1","","","","","","4","","","","","","","","","","","","","","","6","","","","","","","","","","","","","","","","","","","","","","","1","","","3","1","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5312,5479,5135,56,"2","","2","6","","3","5","","","","","","2","","","","","1","2, 12542","23","2","1","16","","3","9","1","3","25","1","13","1","1","41","3","12","17","10","91","12","61","139","68","","1","5","13","","","1","","","1","","4","1","","12","","","","","","","","","","5","","","","5","","","1","","","1","","","","","","2","","1","","","","","1","","","","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","1","1","1","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5433,5602,5260,57,"3","","2","2","2","1","1","","","","","","2","1","","","2","2","2, 12542","21","12","2","19","1","1","5","5","","24","1","16","6","5","34","3","47","71","24","63","27","17","111","66","","","10","26","3","1","","1","","1","","12","3","3","21","2","","","","","1","1","","","","","","","3","","","4","","","","","","","1","1","","","2","","","3","3","","","","","","","","","","","2","3","2","","","","","","","","","","","","","","","1","","1","","","","","","","","","1","","","","","","1","3","","1","","","","","","","1","1","1","1","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
