"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Apiaceae","Vitis","Acer","Liliaceae","Lamiaceae","Rosaceae","Lysimachia","Persicaria maculosa-type","Galium-type","Buxus","Phillyrea","Artemisia vulgaris-type","Centaurea solstitialis-type","Matricaria-type","Paliurus","Ranunculus repens-type","Nymphaea","Typha latifolia","Potamogeton","Plantaginaceae","Vicia-type","Olea","Scrophularia/Verbascum","Thymus/Mentha","Poterium sanguisorba","Polypodium","Corylus","Cichorioideae","Lythrum","Fabaceae","Juglans","Plantago lanceolata-type","Rumex acetosa-type","Humulus/Cannabis","Poaceae (Cerealia-type)","Fraxinus ornus","Fagus","Brassica-type","Lotus-type","Polygonum aviculare-type","Salix","Quercus coccifera-type","Cladium mariscus","Pteridium","Platanus","Artemisia herba-alba-type","Amaranthaceae","Juniperus","Ostrya/Carpinus orientalis","Sparganium-type","Dryopteris-type","Pinus","Quercus robur-type","Castanea","Poaceae","Cyperaceae","Betula","Boraginaceae","Potentilla-type","Lemna","Helianthemum","Convolvulus","Hedera","Capsella-type","Solanum dulcamara","Ranunculus sect. Batrachium-type","Equisetum","Pediastrum duplex","Caryophyllaceae","Ericaceae","Carpinus betulus","Plantago coronopus-type","Pistacia","Urtica dioica-type","Hypericum perforatum-type","Pseudopediastrum boryanum","Asteroideae","Myriophyllum spicatum/M. verticillatum","Alnus","Campanula-type","Filipendula","Clematis-type","Fraxinus excelsior","Trifolium-type","Rumex acetosella","Ulmus","Caltha","Polygonaceae","Xanthium","Menyanthes trifoliata","Thalictrum","Rumex hydrolapathum","Bupleurum-type","Centaurea cyanus-type","Plantago media-type","Picea","Verbena","Papaver","Centaurea scabiosa-type","Helleborus","Matthiola","Rhinanthus-type","Plantago maritima-type","Ophioglossum","Rhamnaceae","Tilia","Valeriana","Theligonum","Sambucus nigra-type","Celtis","Fagopyrum","Scrophulariaceae","Populus","Myriophyllum alterniflorum","Artemisia","Euphorbia","Ranunculaceae","Anemone","Teucrium","Valerianella","Alisma","Loranthus","Stachys-type","Linum","Knautia","Aconitum-type","Lomelosia rotata-type","Cousinia","Dipsacoideae","Ephedra fragilis-type","Noaea-type","Oleaceae","Isoëtes","Viburnum-type","Allium","Brassicaceae","Asphodelus","Taxus","Cornus sanguinea","Geranium","Centaurea","Iris","Cirsium/Gundelia","Ephedra distachya-type"
7070,7172,6970,430,20,1,1,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,1,2,NA,NA,10,5,NA,NA,1,NA,NA,28,1,NA,1,NA,5,121,33,3,169,166,NA,55,47,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,4,NA,NA,5,NA,NA,NA,4,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA
7408,7512,7278,460,59,NA,6,NA,NA,NA,3,NA,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,2,NA,61,2,NA,NA,NA,2,8,NA,1,34,1,NA,NA,3,7,NA,78,NA,NA,NA,5,86,56,3,2,314,520,NA,35,6,5,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,9,NA,NA,6,2,1,16,NA,NA,NA,11,NA,NA,15,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,1,NA,NA,NA,NA,NA,21,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8041,8171,7902,480,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,22,NA,NA,NA,NA,1,3,NA,1,7,NA,NA,NA,NA,2,NA,14,NA,NA,NA,NA,4,10,2,1,185,115,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,9,NA,NA,10,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
8833,9051,8583,505,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,NA,1608,NA,NA,NA,NA,NA,NA,NA,46,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,1,NA,NA,NA,46,6,25,5,128,210,NA,78,8,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,NA,NA,NA,7,NA,4,1,NA,26,NA,136,13,NA,NA,NA,14,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,11,NA,NA,NA,NA,NA,NA,2,NA,17,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9271,9463,9057,530,2,9,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42,NA,21,1,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,8,7,8,1,8,10,21,253,NA,61,6,3,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,25,NA,NA,1,NA,NA,10,NA,NA,NA,2,NA,NA,8,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9430,9614,9235,540,2,4,1,1,NA,NA,1,NA,NA,3,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,NA,2,3,NA,4,NA,1,3,NA,3,2,NA,NA,NA,NA,NA,NA,2,NA,NA,2,1,2,1,3,6,25,235,NA,67,15,3,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,1,NA,23,NA,NA,NA,5,NA,3,NA,NA,NA,1,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9748,9926,9577,560,1,NA,2,NA,NA,NA,NA,NA,NA,4,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,4,NA,NA,NA,NA,NA,5,NA,3,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,3,1,NA,NA,1,9,122,NA,51,8,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,1,NA,1,NA,2,NA,NA,NA,3,NA,NA,9,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
10067,10319,9902,580,1,4,1,1,NA,NA,NA,NA,NA,10,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,12,NA,4,2,NA,1,NA,NA,13,NA,1,2,NA,1,NA,NA,3,NA,56,NA,NA,5,1,2,1,4,1,26,239,NA,99,18,5,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,3,1,3,NA,NA,NA,3,NA,NA,9,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10465,10817,10290,605,NA,3,3,1,NA,NA,5,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,11,5,NA,3,2,1,2,NA,NA,13,NA,NA,NA,NA,1,NA,NA,2,1,20,NA,NA,NA,12,7,1,5,16,45,265,NA,133,49,3,NA,NA,NA,NA,NA,1,NA,NA,NA,9,NA,1,NA,1,NA,NA,1,NA,NA,8,NA,1,1,NA,NA,1,NA,NA,11,NA,NA,12,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,13,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
10697,11069,10486,620,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,2,1,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,2,NA,13,NA,NA,1,5,1,NA,5,3,14,152,NA,79,45,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,4,NA,NA,NA,2,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10962,11136,10863,640,NA,2,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,3,1,NA,13,400,24,75,NA,26,13,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,7,NA,1,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11330,11389,11270,660,1,2,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,4,1,NA,NA,NA,NA,1,NA,NA,NA,2,NA,2,7,NA,2,NA,NA,14,4,4,NA,3,2,22,52,NA,112,19,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12418,12613,12127,680,1,3,NA,NA,1,NA,NA,4,NA,10,NA,NA,NA,NA,1,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,183,9,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,NA,13,NA,22,23,NA,50,95,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA
13479,13849,12933,700,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,NA,NA,NA,6,30,4,NA,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,32,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,17
