Depth cm,EPD chron cal BP,orig chron uncal BP,Turner et al chron cal BP,Cedrus,Juniperus-type,Pinus,Acer campestre-type,Alnus,Betula,Castanea,Corylus,Fraxinus excelsior-type,Platanus,Populus,Quercus robur-type,Salix,Ulmus,Quercus ilex-type,Pistacia,Calligonum/Pteropyrum,Crataegus-type,Ephedra distachya-type,Ephedra fragilis-type,Hippophae rhamnoides,Nitraria,Olea europaea,Ostrya/Carpinus orientalis,Paliurus spina-christi,Periploca,Prunus-type,Rhamnus-type,Rosaceae,Sambucus nigra-type,Solanum nigrum-type,Tamarix,Ulex-type,Vitis,Zygophyllum,Cuscuta,Hedera,Lonicera,Artemisia,Artemisia,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae,Chenopodiaceae/Amaranthaceae,Cerealia-type,Gramineae,Aellenia-type,Allium-type,Ambrosia-type,Anagallis-type,Androsace,Anisosciadium,Anthemis-type,Asphodeline,Asphodelus,Aster-type,Aster-type,Aster-type,Aster-type,Asteraceae,Butomus umbellatus,Caltha-type,Campanula-type,Carduus-type,Carthamus-type,Caryophyllaceae,Centaurea montana-type,Centaurea nigra-type,Centaurea nigra-type,Centaurea scabiosa-type,Cichorium-type,Cirsium-type,Colchicum-type,Compositae subf. Asteroideae,Compositae subf. Cichorioideae,Consolida ambigua-type,Convolvulus,Crassulaceae,Cruciferae,Cruciferae,Cruciferae,Cruciferae,Cyperaceae,Datisca cannabina,Dipsacaceae,Dipsacaceae,Echinops,Eryngium,Euphorbia,Filipendula,Geranium,Helianthemum,Heliotropium-type,Humulus/Cannabis,Hypericum perforatum-type,Knautia,Leguminosae,Leguminosae,Leontice leontopetalum,Liliaceae-type,Liliaceae-type,Lilium martagon-type,Linum,Lysimachia,Lythrum,Malabaila,Malvaceae,Matthiola,Mentha-type,Mercurialis,Nigella,Oenothera,Onagraceae,Papaver,Pimpinella major-type,Plantaginaceae,Plantago,Plantago lanceolata-type,Plantago major/P. media,Plantago maritima-type,Plantago tenuiflora,Plumbaginaceae,Polycnemum/Paronychia,Polygonum aviculare-type,Polygonum persicaria-type,Potentilla-type,Ranunculaceae,Ranunculus acris-type,Ranunculus acris-type,Ranunculus asiaticus,Rheum,Rhinanthus-type,Rubiaceae,Rumex acetosa-type,Rumex aquaticus/R. hydrolapathum,Salvinia,Sanguisorba officinalis,Scabiosa,Scilla-type,Scrophularia-type,Scrophulariaceae,Serratula-type,Serratula-type,Sisyrinchium,Solanum dulcamara,Stachys sylvatica-type,Thalictrum,Theligonum cynocrambe,Thesium,Trifolium-type,Umbelliferae,Umbelliferae,Umbelliferae,Umbelliferae,Umbelliferae,Umbelliferae,Urtica dioica-type,Urtica pilulifera-type,Veronica,Viola,Loranthus europaeus,Viscum album,Thymelaeaceae,Dryopteris-type,Indeterminable: unknown,Isoetes,Ophioglossum,Pteridium aquilinum,Sphagnum,Varia,Cladium mariscus,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nuphar,Nymphaea,Pediastrum boryanum,Pediastrum clathratum,Pediastrum simplex,Potamogeton-type,Ranunculus flammula-type,Sagittaria,Sparganium-type,Typha latifolia-type,TLP
1010,,9275,,0,0,0,0,0,0,0,0,1,6,1,84,0,1,24,3,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,3,0,2,0,0,0,0,0,4,20,3,0,2,19,127,0,1,0,0,0,1,12,0,0,3,5,0,0,0,0,1,0,1,3,0,0,0,2,0,0,0,0,6,2,2,1,0,0,0,3,0,9,1,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,4,0,0,2,1,13,0,0,0,0,1,1,0,0,0,0,2,1,0,4,0,0,0,2,2,1,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,2,10,1,0,7,0,0,0,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,5,27,2176,27,0,0,0,11,0,432
1205,7721,11222,9206.5,1,0,1,0,1,0,0,0,1,1,0,208,2,0,20,13,0,0,0,0,0,0,19,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,2,15,0,0,0,15,128,0,0,0,0,0,1,5,0,0,0,3,2,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,2,12,0,0,0,0,0,3,2,11,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,12,0,0,0,2,10,0,0,0,0,4,0,2,1,1,1,1,0,0,1,1,1,0,0,0,0,0,1,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,3,2,0,0,0,0,0,0,0,0,4,5,0,0,0,0,0,1,0,3,2,11,608,2538,0,2,2,1,4,4,542
1210,7765,11268,9253,1,1,5,0,0,2,0,1,0,3,0,352,2,0,21,15,0,1,0,2,0,0,12,1,0,0,0,0,3,0,0,0,0,5,0,0,0,0,0,8,30,0,0,2,24,133,0,0,0,0,0,0,6,0,1,0,2,0,0,1,0,1,1,3,1,5,0,1,5,0,0,0,0,2,12,2,1,0,0,0,4,1,15,0,0,0,0,3,0,2,0,2,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,27,0,0,1,0,2,0,0,0,3,0,0,0,0,2,3,0,1,0,0,3,0,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,16,1,6,0,0,0,0,0,0,0,0,0,14,7,0,0,0,0,1,1,0,1,0,19,1104,2277,0,1,2,0,6,0,786
1215,7809,11314,9299.5,0,1,0,0,1,0,0,0,0,1,0,375,5,0,9,22,0,0,0,4,0,0,0,0,0,0,0,0,3,0,0,1,1,8,0,0,0,1,0,13,27,1,0,0,22,265,0,1,0,0,0,0,3,0,1,0,2,0,0,0,0,2,0,0,2,10,0,0,3,0,0,0,0,1,6,2,0,0,0,0,7,0,22,0,0,0,0,0,1,1,0,0,0,1,0,0,2,0,1,0,0,0,0,0,21,0,0,1,0,26,0,0,0,0,2,1,1,0,1,1,0,0,0,0,2,1,0,2,1,1,1,0,1,12,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,16,1,7,0,0,0,0,0,0,0,0,0,12,11,0,0,0,0,0,4,0,0,1,8,417,656,79,0,0,0,8,5,936
1220,7853,11361,9346,2,0,0,0,1,0,0,0,0,1,0,247,0,0,9,17,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,0,0,7,10,0,0,0,6,83,0,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,0,2,1,0,1,0,0,0,0,1,5,0,0,0,0,0,5,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,9,0,0,0,0,6,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,10,0,4,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,1,0,0,0,5,18,752,0,0,0,0,2,1,450
1225,7897,11407,9392.5,2,1,6,0,0,1,0,0,0,1,0,207,1,0,28,8,0,0,0,1,0,0,34,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,15,2,0,0,19,122,0,0,0,0,1,0,4,0,0,1,0,1,0,0,0,2,0,1,1,2,0,0,5,0,0,0,0,0,8,0,0,0,0,0,7,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,8,0,0,0,0,0,0,1,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,10,0,2,0,0,0,0,0,0,0,0,0,4,4,1,0,0,0,1,1,0,2,0,4,431,8337,1,1,0,0,6,1,558
1230,7941,11453,9439,3,1,2,0,0,0,0,0,1,1,0,357,1,0,22,5,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,7,12,0,0,0,11,107,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,0,1,0,0,3,1,0,0,0,0,9,0,0,0,0,0,3,0,7,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4,0,0,0,2,2,1,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,1,4,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,1,1,1,1,0,0,0,0,4,9999,0,0,1,0,3,3,621
1235,7985,11499,9485.5,0,0,0,0,0,0,0,0,0,0,0,135,0,0,5,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,3,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,19,1349,10,0,0,0,0,1,190
1250,8118,11697,9625,0,0,1,0,0,0,0,0,1,3,0,308,15,0,15,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,5,0,0,0,0,0,21,32,0,0,0,2,155,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,1,5,0,0,2,1,0,1,0,3,1,1,0,0,0,0,1,1,16,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,1,0,0,3,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,17,0,3,0,0,0,0,0,0,0,0,0,6,7,1,0,0,0,0,0,0,2,0,1,48,1560,576,0,3,0,6,0,649
1265,8250,11920,9764.5,1,0,0,0,0,1,0,0,6,7,0,394,10,0,9,9,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,0,22,23,1,1,5,9,159,0,1,0,0,0,1,4,0,0,1,1,0,0,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,4,3,21,2,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,1,1,1,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,2,0,0,0,0,0,0,0,0,0,7,11,0,0,0,0,0,0,1,1,0,5,265,1144,371,0,3,0,14,0,733
