"age_NA","ageolder_BP","ageyounger_BP","depth","Ulmus","Ranunculaceae","Juglans","Lysimachia","Sanguisorba-type","Papaver","Carpinus betulus","Brassica-type","Plantago media-type","Centaurea solstitialis-type","Fraxinus ornus","Scrophularia/Verbascum","Pteridium","Caryophyllaceae","Castanea","Epilobium","Fabaceae","Rumex acetosa-type","Juniperus","Quercus ilex-type","Unknown","Corylus","Apiaceae","Plantago lanceolata-type","Artemisia herba-alba-type","Matricaria-type","Lythrum","Amaranthaceae","Galium-type","Artemisia vulgaris-type","Ostrya/Carpinus orientalis","Symphytum-type","Fagus","Sparganium-type","Poaceae (Cerealia-type)","Pinus","Asteroideae","Typha latifolia","Dryopteris-type","Quercus robur-type","Poaceae","Cyperaceae","Monactinus simplex","Boraginaceae","Cichorioideae","Plantago undiff.","Platanus","Vitis","Trifolium-type","Plantago coronopus-type","Pseudopediastrum boryanum","Abies","Salix","Alnus","Xanthium","Pistacia","Malva","Capsella-type","Hypericum perforatum-type","Alisma","Potamogeton","Polygonum aviculare-type","Betula","Ericaceae","Nymphaea","Liliaceae","Humulus/Cannabis","Olea","Rhinanthus-type","Ranunculus sect. Batrachium-type","Rumex hydrolapathum","Ophioglossum","Vicia-type","Bupleurum-type","Buxus","Thymus/Mentha","Phillyrea","Centaurea cyanus-type","Ononis-type","Potentilla-type","Thalictrum","Rosaceae","Ranunculus repens-type","Fallopia convolvulus-type","Polypodium","Plantago maritima-type"
NA,NA,NA,110,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,4,4,5,8,9,11,12,20,23,26,28,155,202,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,70,2,NA,1,NA,NA,NA,3,4,2,NA,NA,NA,1,1,1,NA,NA,3,5,1,2,3,2,6,13,NA,1,4,1,NA,10,2,40,100,16,15,2,57,7,49,309,110,1,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,130,1,NA,3,1,NA,NA,NA,4,NA,NA,2,1,2,1,2,NA,NA,5,4,2,2,2,4,3,9,1,2,16,1,8,2,2,5,18,10,20,7,NA,9,33,127,943,NA,NA,NA,1,3,1,NA,NA,NA,1,NA,2,1,1,1,1,1,2,2,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,100,NA,NA,3,NA,NA,NA,NA,4,NA,1,3,NA,5,1,NA,1,10,4,10,1,7,1,1,2,11,6,1,28,4,2,2,10,10,30,5,31,13,10,16,46,155,880,NA,NA,3,4,2,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,2,NA,10,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,120,NA,NA,3,4,1,NA,1,2,3,2,5,1,2,1,1,NA,NA,8,9,3,7,2,2,9,35,2,3,7,24,3,10,23,14,28,5,15,15,23,12,36,379,2610,NA,NA,3,4,3,3,2,NA,3,1,1,2,NA,1,NA,NA,NA,NA,NA,6,2,NA,NA,NA,5,NA,NA,NA,NA,NA,1,1,1,1,2,2,5,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,80,2,NA,3,NA,5,NA,3,4,5,3,1,NA,2,NA,1,NA,NA,4,9,4,5,6,4,9,2,4,3,2,1,16,11,1,31,762,24,43,7,777,27,81,830,638,NA,NA,2,NA,2,NA,NA,1,7,NA,5,7,NA,NA,NA,NA,1,NA,1,3,1,1,1,NA,1,1,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,1,1,1,1,1,1,2
