Depth,Site name,"Pollen sum (from Grandi, Lippi & Mercuri 1998)",Trees,shrubs,herbs,Acacia,Rhus,Anacardiaceae undiff.,Acanthaceae,Araliaceae,Artemisia,Cheno-Amaranthaceae,Asclepiadaceae,Celtis,Calligonum,Capparis,Maerua,Capparaceae undiff.,Ficus,Ephedra,Cistaceae,Cassia,Caesalpiniaceae undiff.,Fabaceae undiff.,Moltkiopsis,Rhamnaceae,Salvadora persica,Tamarix,Vitaceae,Zilla cf.,Brassicaceae undiff.,Fagonia,Ziziphus,Myrtus,Cupressus type,Pinus,Quercus deciduous,Quercus ilex,Olea,Pistacia,Fraxinus,Ulmus,Populus,Other woody plants,Ricinus ,Euphorbiaceae undiff.,Paronychia,Caryophyllaceae undiff.,Pulicaria,Cichorieae undiff. ,Asteraceae undiff.,Echium,Trichodesma,Boraginaceae undiff.,Cucurbitaceae,Cyperaceae,Poaceae undiff.,Panicum type,> 40 micron,Hypericum,Lamiaceae,Liliaceae,Lotus,Plantago,Rumex,Zygophyllum,Tribulus,Umbelliferae,Urticaceae,Typha,Potamogeton,Lemna,Juncus,Other herb plants,Concentration (p/g)
TH120-1,TH120-1,351,35,63,253,13,0,0,0,0,18,3,0,0,0,11,0,0,1,15,0,0,1,10,10,0,0,20,0,1,15,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,9,2,33,2,12,45,1,1,0,16,13,47,6,1,0,2,5,3,0,0,0,2,4,0,0,0,0,29,49473
TH120-2,TH120-2,340,20,31,289,0,0,4,0,0,3,4,0,0,0,1,0,0,0,1,5,0,0,3,6,0,1,16,0,0,10,0,4,0,0,0,1,1,0,0,0,0,2,0,0,0,0,2,30,2,3,1,0,0,0,149,7,11,0,0,0,0,0,0,45,0,6,0,0,1,0,0,0,25,15681
