"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Ericaceae","Saxifragaceae","Ulmus","Valeriana","Alnus","Acer","Liliaceae","Helianthemum","Thymelaeaceae","Spergula arvensis-type","Sedum-type","Myrtus communis","Humulus lupulus-type","Corylus avellana-type","Artemisia","Salix","Fabaceae","Brassicaceae","Stachys-type","Papaveraceae","Rumex acetosa-type","Ranunculus acris-type","Scabiosa","Boraginaceae","Plantago lanceolata-type","Juniperus","Poaceae (Cerealia-type)","Sanguisorba minor-type","Ostrya/Carpinus-type","Quercus robur-type","Caryophyllaceae","Abies","Geranium","Poaceae","Asteroideae","Cichorioideae","Pinus","Cornus sanguinea","Fraxinus ornus","Pistacia terebinthus","Crataegus monogyna-type","Fagus","Juglans","Convolvulus","Amaranthaceae","Urtica dioica","Rhamnus cathartica-type","Rhinanthus-type","Euphorbia","Rutaceae","Linum","Viola","Solanum","Hypericum perforatum-type","Alchemilla","Campanula","Dryopteris","Mentha-type","Malva-type","Berberis vulgaris-type","Ephedra fragilis-type","Sambucus nigra-type","Tilia","Galium-type","Primula vulgaris-type","Hippophaë"
25,133,-19,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,5,7,7,13,17,34,142,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
163,306,95,6,3,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,1,NA,NA,3,NA,NA,NA,3,NA,NA,NA,2,12,3,3,9,17,5,NA,30,16,22,198,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,482,207,10,1,NA,NA,NA,2,1,NA,1,NA,6,3,NA,NA,2,NA,1,2,2,2,NA,5,3,4,NA,NA,3,5,17,5,13,5,7,1,14,7,41,121,1,1,NA,NA,NA,5,NA,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
440,661,316,14,NA,NA,1,1,1,3,NA,NA,NA,7,8,NA,2,1,NA,NA,NA,14,1,1,1,2,NA,NA,5,7,9,NA,5,31,NA,3,NA,67,NA,37,67,NA,NA,2,NA,8,NA,NA,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
544,796,398,17,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,NA,1,NA,1,NA,3,1,NA,8,3,2,NA,3,NA,1,NA,9,34,7,1,NA,45,1,11,86,NA,NA,1,NA,12,NA,23,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
649,930,476,20,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,27,1,NA,NA,NA,NA,NA,13,1,NA,1,2,14,7,3,NA,103,4,29,41,NA,NA,NA,NA,NA,6,NA,29,13,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
897,1251,674,27,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,NA,1,1,5,1,NA,NA,3,NA,NA,3,1,9,6,5,11,8,NA,1,156,8,9,46,NA,5,1,NA,NA,NA,NA,3,NA,3,2,NA,1,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1005,1389,767,30,NA,NA,4,NA,NA,NA,NA,NA,NA,3,5,1,NA,2,1,NA,1,NA,1,3,3,3,NA,NA,1,NA,4,16,3,21,3,9,NA,49,7,37,107,NA,NA,NA,NA,NA,NA,NA,4,2,NA,NA,NA,NA,NA,2,2,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1151,1571,892,34,NA,NA,2,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,5,NA,2,3,NA,1,6,3,2,NA,1,NA,11,3,1,6,13,1,NA,21,3,31,152,NA,NA,NA,1,2,2,6,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA
1261,1707,986,37,NA,NA,NA,NA,NA,NA,NA,1,1,NA,2,NA,NA,NA,1,NA,1,1,1,NA,5,35,1,1,2,1,7,28,2,NA,12,3,NA,51,4,36,89,NA,NA,NA,NA,NA,NA,1,4,1,NA,1,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1373,1842,1076,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,5,NA,1,2,NA,NA,1,1,5,21,1,NA,13,1,NA,14,8,65,145,NA,NA,NA,NA,4,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1486,1976,1168,43,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,5,2,NA,2,1,NA,8,5,1,12,6,1.5,1,27,2,148,56,NA,NA,NA,NA,3,3,NA,2,3,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA
1600,2109,1262,46,1,1,1,1,NA,NA,NA,1,NA,NA,2,NA,1,NA,NA,1,1,4,1,1,NA,2,1,NA,NA,NA,13,4,NA,8,12,1,NA,68,4,31,101,NA,NA,NA,NA,3,9,1,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA
1716,2242,1360,49,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,2,1,NA,2,3,1,NA,1,NA,8,5,3,5,5,3,NA,112,8,17,78,1,NA,1,NA,3,16,3,5,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,NA
1834,2374,1461,52,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,1,NA,1,2,NA,NA,NA,11,5,2,NA,3,NA,5,6,1,6,6,4,2,47,8,62,98,NA,NA,1,NA,1,10,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,1,NA,NA,NA,1,1,NA,NA
1953,2505,1574,55,NA,NA,NA,NA,NA,1,NA,2,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,NA,4,1,1,NA,1,NA,16,7,NA,17,4,4,1,67,5,47,86,NA,NA,NA,NA,16,5,NA,5,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
2116,2679,1731,59,NA,2,1,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,3,1,NA,4,2,NA,NA,1,NA,13,2,6,7,7,1,NA,79,3,10,83,1,NA,NA,NA,37,19,NA,4,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2282,2850,1885,63,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,9,NA,NA,NA,2,NA,NA,NA,NA,9,5,1,58,8,NA,NA,168,NA,4,9,1,NA,NA,NA,8,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA
2452,3019,2042,67,1,NA,2,1,2,NA,1,NA,1,1,NA,NA,NA,1,NA,1,1,NA,NA,3,2,1,1,NA,1,NA,15,11,8,30,1,1,NA,133,2,7,41,1,NA,1,1,17,7,NA,2,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1
2626,3187,2204,71,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,1,NA,NA,NA,NA,17,NA,1,37,8,2,NA,169,4,3,22,NA,NA,NA,NA,19,8,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA
2804,3360,2373,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,1,NA,NA,NA,2,1,NA,NA,2,NA,NA,1,1,7,3,5,9,5,3,NA,152,7,9,58,NA,2,NA,NA,25,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3033,3573,2599,80,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,2,2,NA,NA,1,2,1,2,NA,1,NA,NA,1,NA,6,2,1,31,1,NA,2,189,8,2,17,NA,NA,NA,1,19,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
3219,3741,2777,84,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,2,1,NA,1,NA,13,1,7,27,5,1,1,140,11,9,41,NA,NA,NA,1,24,4,NA,2,NA,NA,NA,3,NA,NA,NA,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA
3596,4066,3147,92,1,NA,1,NA,1,NA,NA,2,NA,NA,NA,NA,2,1,1,NA,2,4,1,1,5,NA,1,NA,1,1,22,2,7,37,NA,4,NA,155,11,NA,31,NA,NA,NA,1,1,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA
3876,4302,3425,98,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,1,1,NA,NA,NA,1,NA,NA,1,4,1,NA,1,1,7,3,8,31,2,NA,NA,170,2,5,32,NA,NA,NA,1,10,5,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4193,4569,3737,105,1,NA,1,NA,NA,1,NA,NA,NA,NA,2,NA,NA,2,2,NA,NA,6,1,NA,1,3,NA,NA,NA,3,8,1,11,82,2,7,NA,27,3,3,81,1,1,NA,NA,41,5,NA,2,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
4494,4829,4045,112,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,1,1,NA,NA,NA,1,NA,NA,6,NA,NA,NA,NA,NA,10,3,8,109,3,7,NA,35,3,7,74,NA,NA,NA,1,22,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2,1
