"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Cistaceae","Malvaceae","Plantago undiff.","Liliaceae","Lysimachia","Butomus umbellatus","Pterocarya","Hedera","Centaurea solstitialis-type","Ephedra fragilis-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Pistacia","Thymus/Mentha","Cheilanthes","Poaceae (Cerealia-type)","Knautia","Pinus","Helianthemum","Scorzonera-type","Quercus coccifera-type","Dryopteris-type","Lycopodium","Asteroideae","Fabaceae","Pteris","Polypodium","Asphodelus","Poaceae","Unknown","Apiaceae","Ophioglossum","Quercus robur-type","Cichorioideae","Cyperaceae","Amaranthaceae","Betula","Carya","Sambucus","Scrophulariaceae","Ulmus","Rosaceae","Solanaceae","Plantago lanceolata-type","Artemisia herba-alba-type","Capsella-type","Centaurea scabiosa-type","Matricaria-type","Filago-type","Osmunda regalis","Platanus","Eucalyptus","Hyoscyamus","Olea","Alnus","Stachys-type","Isoëtes","Plantago maritima-type","Arctium/Jurinea","Carduus-type","Senecio-type","Ericaceae","Rhus","Salix","Rumex acetosa-type","Fraxinus excelsior","Vitis","Quercus cerris-type","Polygonum aviculare-type","Thalictrum","Geraniaceae","Dipsacus","Loranthus","Bunium-type","Scabiosa columbaria-type","Scilla-type","Tilia","Juniperus","Galium-type","Pteridium","Abies","Vicia-type","Trifolium-type","Brassica-type","Ranunculus undiff.","Scrophularia/Verbascum","Ceratonia","Ephedra distachya-type","Ranunculus sceleratus-type","Sanguisorba-type","Delphinium-type","Sparganium-type","Fagopyrum","Linum","Clematis-type","Cotinus coggygria","Ranunculus sect. Batrachium-type","Lomelosia rotata-type","Bupleurum-type","Euphorbia","Fagus","Filipendula","Plantago media-type","Acanthus","Artemisia vulgaris-type","Mercurialis annua","Cirsium/Gundelia","Phillyrea","Ranunculaceae","Ranunculus acris","Hymenophyllum flabellatum","Corylus","Ranunculus asiaticus-type","Apium-type","Centaurea jacea-type","Convolvulus","Myriophyllum spicatum/M. verticillatum","Datisca","Equisetum","Allium","Lythrum","Persicaria maculosa-type","Cladium mariscus","Valeriana","Arbutus","Alisma","Campanula-type","Hypericum perforatum-type","Botrychium","Anthoceros laevis-type","Calystegia","Succisa"
5205,5446,4957,1450,"1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","3","3","4","4","5","6","6","6","9","10","10","12","16","24","25","26","28","34","62","76","160","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5493,5719,5255,1530,"2","","","3","","","","","","1","","","","","2","1","2","1","7","3","","6","12","2","8","2","9","5","7","16","18","9","33","17","34","6","3","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","4","6","10","115","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
5636,5857,5405,1570,"","","","","","","","","","1","","","","","","","","1","1","2","","7","","1","","5","2","3","4","37","27","9","5","20","20","2","1","","2","","","2","","","3","","","","","","","","","","3","","","17","1","2","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7073,7255,6888,1970,"12","","","","1","","","","7","4","1","","","","","1","","10","14","","","51","1","1","11","2","8","34","15","19","53","13","8","","30","","","","","","","","","","2","","","4","3","","","","","","","","","17","","","","","1","1","1","1","1","5","223","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7145,7325,6961,1990,"","1","","","","2","","","4","1","","","","1","","","","","8","","","6","","","14","5","","3","13","19","43","26","5","133","48","2","","1","","","","2","","","1","1","","3","","","","","","","","","","17","","","","5","","","","","","1","","1","1","1","1","1","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7396,7572,7218,2060,"2","","","","","","","","1","2","","","","","","6","1","7","23","","","11","1","","9","","9","14","16","14","7, 29","3","14","","28","10","3","","1","","","","","","","","","2","","","","","","","","1","","69","","","2","","","","","","","","51","","","","","","","","","1","1","1","1","2","2","3","3","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7683,7857,7511,2140,"4","2","","","4","","","","9","5","8","","1","3","","3","2","","12","","","46","1","","34","8","8","12","24","23","10, 107","47","5","281","134","3","5","","","","","1","","","3","","","4","","","","1","","","","","","32","","","4","","","","","","","4","","","","1","","","","2","","","","2","","","1","","","1","1","1","3","3","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7755,7928,7584,2160,"5","","","","1","","","","1","7","3","","","1","","","2","4","21","","","40","1","","22","1","21","12","26","14","10","19","8","","16","2","2","","","","","","","","8","","","7","5","","","","","","","","","26","","","3","","","1","","1","","2","107","","","","","","","","","","","","","","","","","","","","","","1","1","4","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
7881,8052,7711,2195,"22","","","","1","","","","3","2","1","","","2","1","","2","8","16","","","69","1","","12","","8","11","28","20","3, 32","36","7","193","21","4","2","","","","","1","","1","2","1","1","8","6","","","","","","","","","66","","2","2","1","","","","","1","3","","","","1","","","","","","","","2","","","1","4","","","","","3","8","4","","","1","1","1","1","1","1","5","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
8079,8250,7912,2250,"6","","","","","","","","1","3","","","","","","1","","3","3","","","8","1","","6","1","7","6","1","5","3, 11","47","12","","","1","2","","","","","","1","","2","1","","5","","","","1","","","","","","76","","1","","","","","","","","14","79","","","","","","","","","","","1","","","","2","","","","","","2","","","5","","","","","","","","1","1","1","1","1","3","3","7","","","","","","","","","","","","","","","","","","","","","","","","",""
8222,8395,8058,2290,"5","","","","6","","","","2","4","","","","3","","1","1","2","12","","","20","1","3","19","4","19","5","40","19","33","64","21","","48","4","2","","","","","1","","","11","","2","5","","2","","","","1","","","","250","","","","","2","1","","","","","129","","","","","","","","","","","","1","","","","1","","","","","","","","","","","","","","","","","","","","","1","3","","1","2","2","16","","","","","","","","","","","","","","","","","","","","",""
8348,8520,8184,2325,"3","","","","11","1","","","1","6","1","","5","2","","2","6","1","24","1","9","6","4","","22","6","26","5","30","69","62","97","54","","84","8","2","","","","","","1","","15","1","1","11","","","","1","","","","2","","248","","2","7","3","","","","1","","1","59","","","","","","","","","","","","","","","","","","3","","","","","","","","","","","","","","","","","5","","","4","","","","","18","1","1","","","","","","","","","","","","","","","","","","",""
8438,8611,8275,2350,"1","","","","","","","","","4","1","","","","","","","8","27","","3","4","","4","11","","15","17","49","15","40","106","20","","38","4","","","","","","","2","","3","1","","","","","","","","","","","","175","","","","","","2","","","","","48","","","4","","","","","","","","","","","","","","","","","","","1","","","","","","","1","","","","","1","","","","","1","","1","","18","","","2","9","","","","","","","","","","","","","","","","",""
8510,8683,8347,2370,"5","","","2","1","","","","2","","","","4","","","","","2","8","","","12","3","3","9","","15","26","19","43","34","43","14","","25","","","","","","","","2","","3","","","10","","","","","","","","","","36","","","1","1","","","","","","4","114","","","","2","","","","","","","","","","","1","","","","","","","","","","","","","","","","","","","","","","","12","","","","","14","","","","","","","","","","","","","","","","","","","","",""
8689,8865,8527,2420,"2","","","1","2","","","","23","1","","","","6","","6","3","5","14","","","52","1","","13","4","18","43","16","46","112","53","11","239","59","11","1","1","","","","","1","","9","3","","","3","","","4","","","","1","","92","","","8","4","1","","1","","","14","","","","","","","","","","","1","","","","","","1","","1","","","8","","","","","","","","","","","","","1","","","","6","","","","","","1","","","22","","","","","","","","","","","","","","","","",""
8905,9083,8741,2480,"","","","","1","","","","","2","","","","","","1","5","1","8","","","8","1","","1","1","1","5","11","22","7","8","1","","13","1","","","","","","","","","1","","","3","","","","","","","","","","1","","","2","3","","","","","","","23","","","","","","","","","","","","","","","","","","","","","","","","5","","","","","","","","","","","","","","19","","","","","1","","","","","1","1","","","","","","","","","","","","","","",""
9048,9230,8883,2520,"","","","","","","","","3","","","1","","1","1","1","1","","110","","","22","4","","2","3","5","15","5","141","20","12","11","","3","4","5","1","","","","","","","","1","","2","","","","","","","","","1","3","","","","3","","","","1","","5","99","","","","","","","","","","","","","","","","2","","1","","","","","","96","","","","","","","","","","","","","","4","","1","","","5","","","","","","","2","6","","","","","","","","","","","","",""
9246,9432,9077,2575,"1","","","","2","","","","3","1","","","","1","","2","5","3","77","1","","17","1","","2","1","7","30","14","28","1, 23","7","8","","5","177","4","","","","","","","","","1","","","","","","","","","","","","7","","","1","2","","","","","","2","45","","","","","","","","","","","1","","","","","","","1","","","2","","","4","","","","","","","","1","","","","","","1","","","3","","15","","","","4","1","1","","","1","1","6","","","","","","","","","",""
9316,9503,9144,2595,"","","","","","","","","","4","1","","","3","","","2","","16","","","15","2","","2","1","","3","6","77","8, 15","21","","48","5","18","1","","","","","1","1","","1","1","","","","","","","","","","","","2","","","","3","","","1","","","2","","2","","","","","","","","","","","","","1","","","","1","","","1","","","2","","","","","","1","","","","","","","","1","","","","","","","","","","","7","","","","","5","1","","","","","","","","",""
10160,10374,9957,2830,"5","3","","","2","","","","1","9","2","","","","","1","","9","17","2","","130","28","","19","3","19","5","34","19","7, 59","49","45","211","30","3","2","","","","","","","","2","","","60","","","","","","","","","","81","","1","","","1","","","","","7","","","1","","","","","","","","","","","","","2","","","","","","3","4","","3","","","","","","","","1","","","","","","","3","","1","","","2","","","","","","","","","","","","2","","","","","","","",""
