"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caryophyllaceae","Lilium","Olea","Delphinium-type","Artemisia vulgaris-type","Ranunculus repens-type","Platanus","Juniperus","Centaurea solstitialis-type","Quercus coccifera-type","Quercus cerris-type","Brassica-type","Cedrus","Amaranthaceae","Artemisia herba-alba-type","Sparganium-type","Cyperaceae","Poaceae","Pinus","Pseudopediastrum boryanum","Pseudopediastrum kawraiskyi","Betula","Fagus","Polygonum aviculare-type","Thalictrum","Juglans","Plantago lanceolata-type","Rumex acetosa-type","Sanguisorba-type","Centaurea cyanus-type","Mercurialis annua","Scorzonera-type","Anisosciadium-type","Unknown","Fabaceae","Trifolium-type","Cirsium/Gundelia","Matricaria-type","Apiaceae","Equisetum","Lemna","Galium-type","Cladium mariscus","Castanea","Cichorioideae","Picea","Prunus-type","Salix","Capsella-type","Echium-type","Dryopteris-type","Pteridium","Pediastrum","Potamogeton","Abies","Eryngium-type","Hippophaë","Noaea-type","Poaceae (Cerealia-type)","Caltha","Crassulaceae","Typha latifolia","Alnus","Pistacia","Alisma","Helianthemum","Plantago media-type","Phillyrea","Fraxinus ornus","Apium-type","Bunium-type","Filago-type","Hippuris","Ulmus","Lotus-type","Vitis","Knautia","Ostrya/Carpinus orientalis","Plantago maritima-type","Sambucus nigra-type","Thymus/Mentha","Armeria/Limonium","Isoëtes","Corylus","Myriophyllum spicatum/M. verticillatum","Lomelosia rotata-type","Senecio-type","Anagallis","Epilobium","Euphorbia","Humulus/Cannabis","Onopordum-type","Geranium","Lysimachia","Tribulus","Scilla-type","Cerinthe-type","Ranunculus peltatus-type","Rhus","Ephedra fragilis-type","Dipsacus-type","Daphne","Ranunculus sceleratus-type","Carthamus","Tilia","Valerianella","Centaurea scabiosa-type","Matthiola","Plantago coronopus-type","Onobrychis-type","Lycopodium","Botrychium","Campanula-type","Vicia-type","Turgenia-type","Centranthus","Haplophyllum","Asteroideae","Carduus-type","Cousinia","Linum","Plantago major-type","Plantago arenaria","Linaria","Taxus","Sphagnum","Ophioglossum","Ephedra distachya-type","Verbena","Prosopis","Heliotropium-type","Lythrum","Rumex hydrolapathum","Ranunculus asiaticus-type","Ranunculus sect. Batrachium-type","Inula-type"
609,886,333,45,1,1,1,1,1,1,2,2,3,3,3,4,6,7,8,23,39,92,246,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
878,1062,691,65,1,NA,NA,NA,1,NA,NA,5,3,19,19,1,NA,74,16,44,1332,265,209,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,4,4,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1080,1217,937,80,NA,NA,NA,NA,5,1,1,2,4,16,13,NA,1,14,21,99,192,86,180,2,1,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,1,NA,NA,NA,NA,1,4,2,7,1,4,8,1,1,1,1,1,1,1,1,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1214,1337,1078,90,NA,NA,1,NA,1,NA,1,7,NA,18,19,NA,2,8,10,222,116,552,151,1,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,4,NA,1,64,NA,1,NA,1,NA,NA,NA,NA,NA,NA,1,1,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1434,1564,1294,100,5,NA,5,NA,NA,NA,3,NA,4,63,35,2,3,6,11,454,1685,1016,250,NA,NA,NA,1,NA,1,2,2,1,2,NA,NA,NA,NA,NA,1,NA,NA,2,2,NA,11,5,4,1,1,NA,NA,NA,NA,NA,3,NA,NA,1,NA,NA,12,NA,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2042,2236,1844,120,NA,NA,12,NA,4,NA,NA,5,19,23,29,12,16,42,34,268,1049,52,116,1,NA,NA,NA,2,NA,3,1,NA,2,1,NA,NA,1,2,NA,1,3,11,8,7,1,6,4,NA,7,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,4,NA,1,NA,NA,NA,4,1,NA,NA,14,NA,1,1,1,1,1,1,1,1,1,2,2,2,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2346,2582,2094,130,1,NA,14,NA,NA,NA,NA,1,12,26,20,5,4,27,20,180,809,110,95,1,NA,1,NA,2,1,4,4,NA,5,2,NA,NA,NA,2,NA,NA,1,7,11,6,2,4,10,NA,11,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,2,1,NA,NA,NA,1,1,3,NA,NA,24,2,NA,1,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2650,2936,2342,140,5,NA,10,NA,NA,NA,NA,NA,20,14,14,12,7,22,18,144,311,40,123,NA,NA,NA,NA,1,1,5,1,1,1,NA,NA,NA,1,NA,NA,2,2,11,6,5,2,1,6,3,10,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,2,3,NA,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2955,3297,2588,150,2,NA,4,1,NA,NA,NA,NA,20,6,11,7,9,36,16,272,257,21,160,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,1,NA,NA,NA,21,5,NA,NA,1,2,NA,26,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,NA,NA,NA,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3259,3658,2829,160,2,NA,NA,NA,NA,NA,NA,NA,14,NA,2,10,28,28,9,68,155,7,377,NA,NA,NA,NA,3,NA,5,NA,NA,NA,2,NA,NA,NA,NA,NA,2,8,8,1,1,NA,1,NA,NA,29,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
