"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Cistaceae","Alnus","Acer","Solanaceae","Scabiosa","Monoletes","Triletes","Urticaceae","Centaurea","Pistacia","Brassicaceae","Rosaceae","Vitis","cf. Juniperus","Tamarix","Sparganium-type","Myriophyllum","Fabaceae","Asteroideae","Quercus (deciduous)","Cichorioideae","Erica","Poaceae (Cerealia-type)","Artemisia","Plantago","Cyperaceae","Quercus (evergreen)","Poaceae","Olea/Phillyrea","Pinus","Amaranthaceae","Limonium","Coriaria","Cedrus","Apiaceae","Lygeum","Ephedra fragilis-type","Chamaerops","Ruppia","Rhamnus","Rumex","Potamogeton","Ephedra distachya-type","Caryophyllaceae","Buxus","Juglans","Corylus","Thymelaeaceae","Lamiaceae","Plumbaginaceae","Armeria","Fagus","Fraxinus","Polygala","Glaucium","Salix","Ulmus","Viburnum","Echium","Malvaceae","Polypodium","Euphorbia","Mercurialis","Papaveraceae","Poterium sanguisorba","Hypecoum","Borago","Fumaria","Typha latifolia-type","Sambucus","Geraniaceae","Persicaria amphibia","Ranunculaceae","Tilia","Abies","Asphodelus"
1773,NA,NA,50,NA,NA,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,7,NA,NA,NA,NA,1,NA,3,5,NA,22,5,6,24,17,3,205,21,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,55,2,4,1,NA,NA,NA,1,NA,NA,NA,1,1,NA,NA,13,1,NA,NA,1,6,7,4,8,2,72,12,16,67,60,13,550,94,NA,NA,NA,3,2,NA,NA,3,NA,2,NA,2,NA,2,NA,4,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2083,NA,NA,60,NA,NA,2,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,11,NA,NA,NA,NA,6,2,3,5,2,16,3,2,47,14,7,223,17,NA,NA,5,NA,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2237,NA,NA,65,NA,5,3,NA,NA,NA,NA,1,1,NA,3,1,NA,NA,3,NA,1,1,1,1,7,NA,18,3,74,6,8,90,29,17,278,37,NA,NA,NA,1,1,NA,NA,NA,NA,3,NA,1,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2392,NA,NA,70,NA,1,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,5,NA,NA,NA,NA,3,7,1,19,NA,56,4,8,63,22,8,135,25,NA,NA,NA,1,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2547,NA,NA,75,1,6,2,NA,NA,NA,NA,NA,NA,NA,4,1,NA,NA,6,2,2,NA,NA,2,16,2,24,NA,123,4,9,94,47,7,191,90,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2702,NA,NA,80,NA,4,3,NA,NA,NA,NA,NA,4,1,NA,1,NA,5,7,NA,NA,NA,1,6,5,NA,16,NA,64,2,6,59,43,4,143,50,NA,NA,NA,1,1,7,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2795,NA,NA,83,NA,10,1,NA,NA,NA,NA,NA,1,NA,NA,3,3,2,4,NA,4,NA,1,7,14,6,21,1,63,6,7,108,56,11,128,39,NA,NA,NA,3,1,7,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2857,NA,NA,85,NA,6,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,1,18,7,6,12,1,60,4,1,58,40,5,138,65,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2950,NA,NA,88,1,8,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,2,5,NA,5,NA,NA,4,6,3,22,NA,76,4,10,113,50,5,211,163,NA,NA,NA,3,NA,3,NA,NA,NA,NA,NA,1,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
