"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Betula","Cistaceae","Alnus","Acer","Solanaceae","Scabiosa","Monoletes","Triletes","Urticaceae","Centaurea","Pistacia","Brassicaceae","Rosaceae","Vitis","cf. Juniperus","Tamarix","Sparganium-type","Myriophyllum","Fabaceae","Asteroideae","Quercus (deciduous)","Cichorioideae","Erica","Poaceae (Cerealia-type)","Artemisia","Plantago","Cyperaceae","Quercus (evergreen)","Poaceae","Olea/Phillyrea","Pinus","Amaranthaceae","Limonium","Coriaria","Cedrus","Apiaceae","Lygeum","Ephedra fragilis-type","Chamaerops","Ruppia","Rhamnus","Rumex","Potamogeton","Ephedra distachya-type","Caryophyllaceae","Buxus","Juglans","Corylus","Thymelaeaceae","Lamiaceae","Plumbaginaceae","Armeria","Fagus","Fraxinus","Polygala","Glaucium","Salix","Ulmus","Viburnum","Echium","Malvaceae","Polypodium","Euphorbia","Mercurialis","Papaveraceae","Poterium sanguisorba","Hypecoum","Borago","Fumaria","Typha latifolia-type","Sambucus","Geraniaceae","Persicaria amphibia","Ranunculaceae","Tilia","Abies","Asphodelus"
9716,NA,NA,310,3,3,NA,NA,NA,NA,1,NA,3,NA,8,NA,NA,1,30,NA,3,NA,NA,2,50,5,NA,NA,18,NA,3,80,76,3,56,33,NA,NA,NA,4,NA,4,NA,1,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9757,NA,NA,320,4,4,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,32,NA,4,NA,NA,4,34,2,NA,NA,39,NA,NA,57,47,1,39,36,NA,NA,NA,NA,5,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9789,NA,NA,328,1,2,NA,NA,NA,NA,NA,NA,1,NA,3,NA,NA,1,48,NA,2,NA,NA,4,45,2,NA,NA,29,NA,4,46,59,NA,46,61,NA,NA,NA,2,3,7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9805,NA,NA,332,2,2,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,3,29,NA,2,NA,NA,NA,11,1,NA,NA,14,NA,2,24,41,NA,20,19,NA,NA,NA,1,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9838,NA,NA,340,NA,3,NA,NA,1,NA,NA,NA,7,NA,3,NA,2,3,30,NA,4,NA,2,2,12,1,NA,2,25,7,4,40,51,2,30,32,NA,NA,1,1,1,2,NA,NA,1,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
9876,NA,NA,345,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,26,1,1,NA,NA,7,8,NA,NA,1,25,1,7,30,35,1,29,30,1,NA,NA,1,9,NA,NA,4,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10073,NA,NA,354,1,6,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,1,44,NA,2,NA,NA,4,10,1,NA,NA,31,19,12,69,41,NA,35,24,NA,NA,NA,2,4,1,NA,NA,NA,11,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10205,NA,NA,360,5,5,NA,NA,NA,NA,NA,8,NA,NA,3,NA,NA,1,21,NA,1,NA,1,NA,24,NA,NA,6,10,8,13,79,47,1,23,18,NA,NA,NA,3,7,NA,NA,NA,NA,14,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10293,NA,NA,364,6,2,1,NA,NA,NA,NA,NA,2,1,12,NA,NA,1,18,1,2,NA,NA,NA,37,NA,NA,NA,21,25,2,69,65,NA,52,40,NA,NA,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10424,NA,NA,370,3,11,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,12,NA,NA,NA,NA,5,29,1,NA,NA,17,3,8,50,36,NA,39,30,NA,NA,NA,NA,2,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10490,NA,NA,373,4,1,NA,NA,NA,NA,NA,1,2,NA,5,NA,NA,NA,49,NA,NA,NA,NA,2,39,2,NA,NA,61,NA,4,51,50,1,30,53,NA,NA,NA,1,1,2,NA,NA,NA,2,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10556,NA,NA,376,3,3,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,50,1,1,NA,NA,1,39,NA,NA,NA,43,1,8,41,47,NA,37,54,NA,NA,NA,1,3,8,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10644,NA,NA,380,1,2,NA,NA,2,NA,NA,NA,NA,NA,4,1,NA,1,29,3,NA,NA,NA,NA,25,NA,NA,NA,25,NA,2,37,61,NA,43,10,NA,NA,NA,1,5,5,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10754,NA,NA,385,1,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,78,1,NA,NA,NA,3,15,3,1,3,73,2,6,21,70,2,43,50,NA,NA,NA,1,4,6,NA,NA,NA,NA,NA,3,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
10863,NA,NA,390,3,1,1,NA,1,NA,NA,NA,1,NA,2,NA,NA,NA,47,NA,3,NA,1,NA,18,NA,NA,NA,26,NA,5,31,62,NA,53,39,NA,NA,NA,1,15,7,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10973,NA,NA,395,2,2,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,84,2,NA,NA,1,5,13,2,NA,6,56,2,11,32,84,4,22,49,NA,NA,NA,1,7,1,NA,NA,NA,NA,NA,3,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA
11083,NA,NA,400,4,2,NA,NA,1,NA,NA,NA,2,NA,3,NA,NA,2,79,NA,1,NA,NA,4,34,NA,NA,NA,46,1,4,57,76,1,26,30,NA,NA,NA,2,8,10,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11193,NA,NA,405,5,3,NA,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,61,3,NA,NA,1,20,11,1,NA,2,52,3,9,40,76,3,40,66,NA,NA,NA,1,3,2,NA,NA,NA,1,NA,6,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
11302,NA,NA,410,4,4,1,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,40,NA,NA,NA,1,3,24,NA,1,NA,47,NA,4,52,48,NA,36,31,NA,NA,NA,1,6,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11522,NA,NA,420,NA,2,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,35,NA,1,NA,NA,1,18,NA,1,NA,19,1,5,14,57,NA,30,20,NA,NA,NA,NA,5,6,NA,NA,NA,1,NA,1,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11632,NA,NA,425,3,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,90,1,NA,NA,NA,7,20,NA,1,2,97,NA,7,28,77,1,60,61,NA,NA,NA,NA,1,2,NA,NA,NA,NA,1,6,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11741,NA,NA,430,1,7,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,1,35,2,NA,NA,NA,12,14,4,NA,NA,104,1,1,37,51,1,53,63,NA,NA,NA,1,1,14,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11841,NA,NA,435,NA,5,NA,4,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,28,1,1,NA,1,17,3,1,1,NA,97,NA,10,46,33,NA,68,114,4,NA,NA,3,NA,5,1,NA,NA,NA,NA,8,NA,NA,NA,NA,1,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11940,NA,NA,440,4,4,NA,NA,NA,NA,2,NA,3,NA,1,NA,NA,3,54,4,3,NA,NA,8,10,4,NA,NA,99,NA,4,40,36,1,90,110,1,NA,NA,NA,4,9,NA,1,1,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12039,NA,NA,445,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,2,NA,NA,7,1,2,NA,NA,87,NA,2,21,23,3,73,68,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12138,NA,NA,450,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,3,40,1,NA,NA,NA,8,10,NA,NA,NA,50,2,NA,29,51,NA,59,42,NA,NA,NA,NA,1,8,NA,2,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12238,NA,NA,455,3,10,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,2,1,NA,NA,19,10,1,1,NA,229,NA,13,52,79,5,168,278,NA,NA,NA,3,1,9,1,2,NA,NA,NA,16,NA,NA,NA,NA,14,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA
12337,NA,NA,460,1,6,NA,NA,NA,NA,1,NA,NA,NA,1,NA,1,NA,39,3,2,NA,2,15,15,NA,NA,NA,218,NA,8,51,61,2,111,260,NA,NA,NA,1,1,8,1,2,NA,2,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12436,NA,NA,465,1,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,51,1,4,NA,NA,15,17,NA,1,NA,200,1,12,71,65,1,119,240,NA,NA,NA,NA,3,4,2,1,NA,NA,NA,16,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
12535,NA,NA,470,7,7,NA,NA,NA,NA,NA,NA,2,NA,2,NA,NA,1,43,1,NA,NA,NA,17,14,NA,NA,NA,169,1,9,52,75,2,146,198,NA,NA,NA,4,4,15,4,3,NA,5,NA,6,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12575,NA,NA,472,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,14,NA,NA,NA,1,13,6,NA,2,NA,127,NA,7,53,49,NA,158,367,NA,NA,NA,1,2,3,NA,1,NA,NA,NA,7,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
12635,NA,NA,475,1,9,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,14,1,1,NA,1,8,11,1,1,NA,125,NA,16,70,50,6,148,350,NA,NA,NA,2,4,4,NA,2,NA,NA,NA,11,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
12674,NA,NA,477,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,14,1,NA,NA,NA,4,NA,NA,NA,3,45,NA,4,18,18,1,50,139,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12734,NA,NA,480,5,3,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,51,4,NA,NA,1,11,5,3,NA,NA,138,NA,5,28,40,3,86,251,NA,NA,NA,2,1,12,NA,2,NA,2,NA,5,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12833,NA,NA,485,NA,9,NA,NA,NA,1,NA,NA,NA,1,NA,2,NA,NA,21,1,2,NA,NA,9,NA,NA,NA,NA,154,2,8,45,33,1,108,185,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,14,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12933,NA,NA,490,NA,10,NA,NA,NA,NA,NA,NA,NA,2,NA,1,NA,2,21,2,NA,NA,1,21,2,NA,NA,NA,151,NA,9,33,31,2,151,512,NA,NA,NA,2,1,4,NA,NA,NA,1,NA,10,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13032,NA,NA,495,NA,4,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,21,2,NA,NA,NA,9,2,2,NA,2,85,1,9,20,29,1,104,197,3,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,5,NA,NA,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA
13131,NA,NA,500,NA,28,1,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,3,38,2,NA,NA,NA,29,4,2,NA,NA,356,1,27,81,47,13,182,157,NA,NA,NA,NA,NA,16,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13230,NA,NA,505,1,4,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,NA,NA,1,5,3,1,1,1,127,NA,6,24,19,NA,51,158,NA,NA,NA,1,NA,2,NA,NA,NA,NA,1,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13330,NA,NA,510,1,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,23,1,NA,NA,NA,4,2,2,NA,NA,161,1,11,24,32,1,95,230,NA,NA,1,1,NA,1,NA,NA,1,NA,NA,18,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA
13429,NA,NA,515,4,9,NA,NA,NA,1,NA,NA,NA,NA,NA,2,NA,NA,104,7,NA,NA,3,32,9,1,NA,NA,446,1,8,102,47,9,170,605,NA,NA,NA,1,1,17,NA,NA,NA,NA,NA,30,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13528,NA,NA,520,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17,1,NA,NA,NA,6,6,NA,NA,NA,131,NA,NA,28,15,1,52,154,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13627,NA,NA,525,1,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,NA,NA,NA,NA,7,NA,NA,2,NA,160,NA,6,41,34,4,188,195,1,NA,NA,NA,1,8,NA,NA,NA,NA,NA,32,NA,NA,NA,1,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13727,NA,NA,530,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,18,NA,NA,NA,NA,6,3,1,NA,NA,92,NA,1,10,28,1,93,182,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13826,NA,NA,535,NA,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,7,1,2,NA,NA,101,NA,5,20,25,5,99,210,NA,NA,NA,1,NA,4,NA,NA,NA,NA,NA,15,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13925,NA,NA,540,1,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,1,10,3,1,3,NA,259,1,6,29,31,NA,176,270,NA,NA,NA,1,4,9,NA,NA,NA,NA,NA,22,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14124,NA,NA,550,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,9,NA,1,NA,NA,1,12,2,2,NA,86,1,3,21,19,1,95,104,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,5,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
