"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Lycopodium tablets","Ephedra","Olea","Arbutus","Pteridium aquilinum","Zygnemataceae","Centaurea","Berberis","Quercus (deciduous)","Juglans","Caryophyllaceae","Quercus (evergreen)","Pinus pinaster","Genista-type","Polygonum aviculare-type","Rhamnus","Cistaceae","Plantago","Asteraceae","Amaranthaceae","Indeterminable (unknown)","Lamiaceae","Spermatophyta undiff. (trees/shrubs)","Riccia","Artemisia","Poaceae","Juniperus","Pinus","Cyperaceae","Pseudoschizaea","Fungi","Lycopodium spike","Ulmus","Acer","Corylus","Typha","Pistacia","Phillyrea","Fraxinus","Betula","Salix","Ilex","Potamogeton","Myriophyllum","Ericaceae","Taxus","Buxus","Thymelaeaceae"
1182,NA,NA,1,"12542, 2","1","1","2","2","3","3","3","3","4","5","5","5","7","8","9","11","12","13","14","14","17","19","22","32","32","36","65","70","79","86","139","","","","","","","","","","","","","","","",""
1214,NA,NA,3,"12542, 2","2","2","","3","5","2","4","5","5","6","4","3","4","8","10","12","13","11","13","12","21","18","35","25","26","34","76","58","62","55","150","2","","","","","","","","","","","","","","",""
1245.9,NA,NA,5,"12542, 2","1","2","1","","3","","3","4","7","1","7","3","5","2","7","10","14","21","9","10","15","15","28","28","22","29","98","49","64","59","138","","1","","","","","","","","","","","","","",""
1276.6,NA,NA,7,"12542, 2","3","1","2","3","7","2","3","6","","7","7","","5","10","8","9","12","12","15","19","16","16","23","29","35","29","108","53","62","56","144","","","1","3","","","","","","","","","","","",""
1307.9,NA,NA,9,"12542, 2","2","","","","","3","4","4","4","8","9","6","4","","12","16","10","14","13","2","8","20","12","22","20","26","118","44","43","93","155","2","","","","","","","","","","","","","","",""
1323.7,NA,NA,10,"12542, 2","2","1","","","6","4","1","4","3","9","10","5","3","2","13","14","15","15","13","10","19","17","20","30","12","31","113","69","46","39","162","","","","","1","","","","","","","","","","",""
1339.7,NA,NA,11,"12542, 2","5","2","","2","9","5","2","5","4","3","13","","","6","9","11","12","18","5","4","10","11","16","19","32","30","130","35","39","79","144","2","","","","","2","","","","","","","","","",""
1355.5,NA,NA,12,"12542, 2","2","","1","","13","6","6","6","5","4","16","","2","","8","12","19","21","14","7","11","16","15","12","17","32","158","57","31","70","129","1","1","","","","","","","","","","","","","",""
1371.3,NA,NA,13,"12542, 2","3","","","","8","","3","6","4","","19","4","","","","15","15","15","10","4","15","3","23","31","33","27","180","40","27","81","160","3","","","4","","","","","","","","","","","",""
1387.4,NA,NA,14,"12542, 2","2","","","","39","2","","10","3","1","16","10","2","","3","13","6","4","6","6","11","5","10","9","36","16","279","26","12","29","150","","","","","","","","","","","","","","","",""
1403.5,NA,NA,15,"12542, 2","4","","","","35","1","","14","3","2","26","12","","","5","8","7","8","6","8","5","5","4","7","15","8","301","15","17","36","152","2","","1","","","","","","","","","","","","",""
1420.6,NA,NA,16,"12542, 2","1","5","1","","58","","1","7","2","","23","7","","","","4","5","11","8","2","4","1","13","11","16","14","289","12","11","29","149","","","","","","","","","","","","","","","",""
1438,NA,NA,17,"12542, 2","2","","2","","60","","1","12","","","25","13","","","2","5","3","4","8","10","9","3","","5","23","21","326","28","5","59","158","1","","2","","","","3","5","","","","","","","",""
1455.2,NA,NA,18,"12542, 2","3","2","","","39","","","16","","1","19","10","3","","","6","","3","8","5","12","3","11","16","26","10","295","16","7","25","171","","","","6","","","","","","","","","","","",""
1472,NA,NA,19,"12542, 2","2","3","1","","41","","","9","1","","23","3","2","","1","3","5","7","5","17","10","3","","22","26","21","337","17","11","13","158","","","1","6","3","","","","","","","","","","",""
1488.8,NA,NA,20,"12542, 2","6","2","3","","70","","","13","2","","28","10","","","2","5","5","6","3","12","8","2","","21","25","20","364","12","12","29","154","","","","5","","","","5","","","","","","","",""
1506,NA,NA,21,"12542, 2","5","","","","23","","","12","","","30","9","","","","4","","4","4","11","4","","3","19","31","18","309","21","6","30","154","2","","2","","","","3","","","","","","","","",""
1523,NA,NA,22,"12542, 2","4","","","","38","","","14","1","","28","3","2","","","10","4","5","12","10","3","2","","11","33","14","292","19","11","15","150","1","","","3","","","","1","2","","","","","","",""
1539.8,NA,NA,23,"12542, 2","3","","1","","69","","","9","","","27","7","","","","3","","5","8","4","11","","2","21","38","26","347","14","20","18","150","","1","2","4","","","5","1","","1","","","","","",""
1556.1,NA,NA,24,"12542, 2","","1","","","55","1","1","10","1","","40","8","","","","5","5","3","8","13","9","1","1","7","18","15","383","18","7","9","150","2","2","","8","","","","","","","","","","","",""
1572.5,NA,NA,25,"12542, 2","1","","","","80","2","2","15","2","2","22","10","","","1","2","","4","2","8","5","3","3","6","19","21","338","9","9","10","139","1","3","1","9","2","","","3","2","","2","","","","",""
1589.9,NA,NA,26,"12542, 2","1","1","","","58","","","10","","","32","16","","","","4","","10","1","9","7","","","16","32","16","300","16","11","15","145","","","","4","","","","","2","","4","","","","",""
1607.4,NA,NA,27,"12542, 2","1","1","","","55","","","16","","","21","9","2","","","5","","9","2","12","7","2","","11","11","17","342","14","10","15","156","2","","2","8","","","","2","1","","","","","","",""
1624.9,NA,NA,28,"12542, 2","5","1","1","","63","","","13","","","31","15","","","","9","","5","1","13","4","","3","11","21","15","344","12","5","23","157","1","2","","6","","","","","2","","","","","","",""
1642.4,NA,NA,29,"12542, 2","9","2","2","","33","","","9","","","21","15","","","","2","","5","","10","8","","","13","32","9","333","9","11","30","147","","","","4","","2","5","","2","","","","","","",""
1659.9,NA,NA,30,"12542, 2","2","1","2","","45","","","15","1","","22","7","","","","8","4","8","9","11","4","","","12","31","10","307","11","21","28","150","","","1","5","","2","","3","1","","","","","","",""
1677,NA,NA,31,"12542, 2","4","","1","","55","","","12","","","16","17","1","","","7","3","4","6","7","9","1","3","4","40","13","360","12","6","31","151","","","","4","1","","","","","","4","","","","",""
1694.1,NA,NA,32,"12542, 2","3","","1","","43","","","12","","","27","8","","","","3","4","9","6","9","3","","2","13","21","11","350","16","","15","151","","1","1","8","","","","2","2","","5","","","","",""
1728.8,NA,NA,34,"12542, 2","1","","","","29","3","1","7","","","26","7","","","","2","1","5","4","3","9","1","","17","20","12","366","15","12","13","153","2","","1","6","","","","","1","","","","","","",""
1746,NA,NA,35,"12542, 2","2","","","","38","","","14","","","25","14","","","","5","2","9","6","5","7","","","10","9","14","332","10","","17","144","3","","","4","","","3","","1","","","","","","",""
1762.9,NA,NA,36,"12542, 2","2","","","","39","","","11","","","25","8","","","2","6","","5","3","13","4","2","","17","19","14","358","11","5","21","170","2","","2","4","","","","","2","","5","1","","","",""
1780.1,NA,NA,37,"12542, 2","3","","","","75","","","7","","","22","9","","","","7","","4","6","9","5","","","14","10","13","321","21","16","31","155","","","","3","","","","3","","","5","","","","",""
1797,NA,NA,38,"12542, 2","3","","","","48","","","12","","","18","7","","","","7","","3","5","6","4","","","5","33","21","354","20","2","12","160","","","1","5","2","","","","1","","6","","","","",""
1813.9,NA,NA,39,"12542, 2","2","1","1","","38","","","5","4","","27","11","","","","4","","3","4","7","3","","","17","35","10","323","13","12","11","161","1","","1","6","1","","2","3","2","","4","","","","",""
1830.4,NA,NA,40,"12542, 2","2","2","2","","44","","","16","","","25","13","","","","3","3","9","4","15","6","","","18","36","17","375","9","10","30","166","","","2","4","","","2","","1","","","","","","",""
1847.4,NA,NA,41,"12542, 2","3","","2","","41","","2","8","3","","20","7","","","","8","2","12","5","3","6","2","","7","27","10","309","8","10","20","146","2","","","4","","","","","1","","","","","","",""
1881.6,NA,NA,43,"12542, 2","3","","","","59","","","8","","","27","16","","","","11","4","7","2","9","7","","1","12","21","13","377","17","9","32","167","","2","","3","","","","3","","","","","","","",""
1915.6,NA,NA,45,"12542, 2","2","","","","58","","","13","","","21","5","","","","5","5","5","5","7","6","","","12","25","14","328","21","20","23","150","","1","2","5","","","2","","","","","","","","",""
1969,NA,NA,48,"12542, 2","1","","","","44","","1","13","","","26","13","","","","4","","3","4","8","5","1","","14","22","15","380","30","21","24","163","","1","","4","","1","","","1","","3","3","","","",""
2003.3,NA,NA,50,"12542, 2","2","1","1","","28","","","12","","","19","14","","","","5","2","6","3","11","5","","","15","40","13","363","28","7","18","139","","","","2","","","","2","2","","","","","","",""
2038,NA,NA,52,"12542, 2","5","","","","31","","","18","","","13","5","","","","4","3","5","4","11","5","","","8","41","12","346","17","","17","150","1","","2","8","","2","","1","1","","","","","","",""
2072.8,NA,NA,54,"12542, 2","4","","1","","33","","","15","","","25","12","","","","5","4","4","4","10","4","","","10","24","32","361","16","3","22","150","","2","","9","","1","","","3","","3","","","","",""
2107.4,NA,NA,56,"12542, 2","1","","","","46","","","9","","","21","4","","","","9","5","3","11","3","5","","2","19","27","10","339","15","4","11","150","2","","","5","","1","2","3","4","","3","","","","",""
2141.6,NA,NA,58,"12542, 2","2","1","","","77","","","12","1","2","19","13","","","","8","6","12","10","4","4","","","15","28","18","337","11","12","13","150","","","2","9","","","","","1","1","2","","","","",""
2176.1,NA,NA,60,"12542, 2","3","1","1","","67","","1","18","1","2","28","8","","","","12","3","11","1","17","3","1","","14","31","19","332","12","15","21","162","3","","","9","","","","1","1","","4","4","","","",""
2209.7,NA,NA,62,"12542, 2","3","1","2","","64","","","10","2","","18","14","","","","3","4","4","12","5","3","","","16","33","10","342","16","11","17","166","","","","","","3","2","2","2","","3","","","","",""
2243.7,NA,NA,64,"12542, 2","3","2","","","71","","","7","","","27","8","","","","14","","5","5","8","4","","","21","45","17","379","21","","13","163","","","2","","","1","","1","1","","5","","","","",""
2277.8,NA,NA,66,"12542, 2","2","1","","","38","","","13","","","23","8","","","","5","","11","10","9","3","","","13","31","5","306","9","12","14","160","","","","2","","2","","1","1","","4","","","","",""
2312.6,NA,NA,68,"12542, 2","3","","","","34","","","11","","","23","10","","","","9","","10","3","10","2","","","15","35","13","354","17","15","12","148","","","","3","","","","","","","6","","","","",""
2347.5,NA,NA,70,"12542, 2","2","4","","","45","","","10","","","21","11","","","","11","3","8","7","12","9","","","9","22","12","322","28","","11","155","","","3","4","","","","1","","","9","","","","",""
2364.6,NA,NA,71,"12542, 2","3","1","2","","59","","","15","","","21","11","","","","8","4","9","5","13","5","","","13","37","15","309","18","","30","150","2","","","3","","","2","","1","","4","","","","",""
2381.9,NA,NA,72,"12542, 2","6","","3","","37","","","19","1","","25","12","","","","8","5","9","4","10","8","","","11","31","14","355","15","","28","150","","1","","5","4","","","2","1","","10","","","","",""
2399.3,NA,NA,73,"12542, 2","5","","2","","61","","","13","1","","19","10","","","","4","3","7","12","12","7","","","15","27","21","342","25","12","27","150","","","","4","3","","","","","","2","","","","",""
2416.6,NA,NA,74,"12542, 2","3","2","","","66","","","12","","","26","16","","","","9","3","6","10","11","2","","","16","22","13","360","20","11","31","153","","","1","6","3","","","2","1","","12","","","","",""
2433.5,NA,NA,75,"12542, 2","4","1","","","48","","","18","","","21","7","","","","9","4","3","5","9","9","","","11","33","16","399","10","4","22","150","","","","7","2","2","","","1","","4","","","","",""
2450.8,NA,NA,76,"12542, 2","3","","","","51","","","12","","","24","9","","","","7","9","4","5","9","7","","","11","37","19","321","11","5","23","149","2","","","9","1","","2","1","","","4","","","","",""
2468.1,NA,NA,77,"12542, 2","6","","2","","61","","","12","","","13","10","","","","6","","4","3","16","2","","","10","42","5","347","19","3","31","150","1","","1","3","","","","","","","3","","","","",""
