sample_name,depth,Acacia,Cruciferae,Nitraria,Fagonia,Cornulaca,Euphorbiaceae,Cyperaceae,Nucularia,Cassia,Oleaceae,Nyctaginaceae,Maerua,Balanites,Compositae tubu,Chrozophora,Ophioglossum,Caryophyllaceae,Salvadoraceae,Capparidaceae,Spore monolete,Tribulus,Zygophyllum,Papilionaceae,Pinus,Umbelliferae,varia unbestimmbar,Plantago,Chenopodiaceae,Alnus,Gramineae,Compositae ligu,Erica,Varia,Polypodiaceae,Tamarix,Artemisia,Typha
277.5,,0,0,0,0,350,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,4,0,0,0,0,0,0,0
267.5,,0,0,0,0,14,0,0,0,0,0,0,0,0,14,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,10,4,0,0,0,0,0,0
249.5,,7,0,0,0,380,0,0,0,0,0,0,0,0,6,0,6,0,0,0,3,0,0,2,0,0,0,0,8,0,15,0,0,0,0,0,0,0
240.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
229.0,,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,6,0,0,0,6,0,0,0
208.5,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
197.0,,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,2,0,0,0,0,0,0,0
181.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
171.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162.0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143.5,,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
131.0,,0,0,0,1,37,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,2,1,0
120.5,,0,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,5,0,0,0,8,1,0,0,0,0,0,0
98.0,,0,1,0,0,33,1,1,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,2,0,1,0,0,0,0,0,0,0
86.0,,2,13,0,1,1036,0,4,16,16,0,1,6,2,5,1,0,1,1,5,0,0,0,4,1,0,13,1,18,0,49,6,0,9,0,16,1,4
76.0,,0,0,0,0,83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0
56.0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
46.0,,1,0,0,0,63,0,2,7,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,11,0,0,0,0,0,1
37.5,,1,7,0,5,1181,0,15,0,0,1,0,0,0,3,0,0,0,0,8,0,0,1,11,1,0,0,0,2,0,45,4,1,1,1,2,2,0
26.0,,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,2,1,0,0,0,0,1,0
17.5,,0,1,0,0,655,3,0,30,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,3,0,0,0,0,5,0,1
4.5,,0,0,0,0,485,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,2,0,0
