Depth (cm),Acacia/Parkia,Alchornea,Alnus,Amaranthaceae/Chenopodiaceae,Ambrosia-type,Artemisia,Betula,Bignoniaceae,Borreria,Boscia-type,Calligonum,Cassia-type,Celtis,Centaurea perrottettii-type,Combretaceae/Melastomataceae,Commiphora,Compositae Liguliflorae,Compositae Tubuliflorae,Corylus,Cyperaceae,Elaeis guineensis,Ephedra distachya-type,Ephedra fragilis-type,Euphorbia,Euphorbiaceae,Fern spores,Gramineae,Jatropha,Lannea,Maerua-type,Manilkara,Meliaceae,Mitracarpus,Nyctaginaceae,Oleaceae,Papilionoideae,Phyllanthus,Pinus,Polycarpon,Rhizophora,Rhus,Rubiaceae,Solanum,Tamarix,Tarenna,Tilia,Tribulus,Typha angustifolia-type,Umbelliferae,Zygophyllum,indeterminata/varia,monolete spores,trilete spores
35.5,,1,,10,,1,1,2,1,,,,,,2,,,2,,8,1,,4,,,2,17,,,,,1,,,1,1,,4,,6,1,,,,,,,5,,,,2,
56.5,,3,,22,,2,,1,2,,,,3,,1,,4,5,,32,1,,5,3,,7,41,1,1,,2,1,5,,1,2,2,5,,31,1,3,,,,,1,4,,,7,6,1
65,,4,,37,2,2,,4,,,,2,8,,,2,4,9,,41,,,17,,2,5,86,,,1,3,1,14,,1,3,,3,,43,,1,,,,,,11,,,2,5,
116.800003,3,,1,102,,16,,,,,5,,,3,2,,12,10,,8,,3,100,,2,4,100,,,1,,,,1,,,,31,,1,2,,,1,,1,,2,1,1,4,,4
128.800003,3,1,,161,,12,,,,1,1,,,3,1,,9,12,,3,,,40,,,1,64,,,,,1,,1,,2,,19,1,1,2,,,,,,,3,,,4,,1
139.300003,1,,,95,,20,1,,,,4,,,,3,,12,6,2,39,,,72,1,1,1,115,,,,,1,,,,,,33,,,,,1,,1,,,1,,,4,1,
