"age_Calendar_years_BP","ageolder_BP","ageyounger_BP","depth","Eucalyptus tablets","Sample quantity","Caryophyllaceae","Corylus","Potentilla-type","Tilia","Urtica-type","Acer","Potamogeton","Mentha-type","Ephedra distachya","Ephedra fragilis-type","Myriophyllum cf. M. spicatum","Anemone nemorosa-type","Poterium sanguisorba subsp. sanguisorba","Salix","Ranunculus","Typha angustifolia","Ulmaceae","Helianthemum","Anthemis-type","Unknown","Sambucus","Rosaceae","Cirsium","Cichorioideae","Alnus","Solidago-type","Thalictrum","Brassicaceae","Galium-type","Hippophaë","Rumex","Ostrya","Indeterminable","Fagus","Cyperaceae","Cupressaceae-type","Amaranthaceae","Apiaceae","Betula","Quercus (deciduous)","Pinus","Artemisia","Poaceae","Eucalyptus spike","Ericaceae","Pinus subg. Strobus","Typha latifolia","Vitis","Populus","Oxyria digyna-type","Scutellaria-type","Filipendula","Scilla-type","Fraxinus excelsior-type","Menyanthes trifoliata-type","Abies","Mercurialis-type","Scrophulariaceae","Equisetum","Plantago","Armeria","Botrychium","Vicia-type","Olea","Asphodelaceae","Fabaceae undiff.","Dipsacoideae","Marrubium","Polypodiophyta (monolete) undiff.","Bupleurum","Centaurea solstitialis-type","Primulaceae","Myriophyllum cf. M. verticillatum","Castanea"
35478,NA,NA,48.35,"42500, 1","1.2","1","1","1","1","1","1","1","1","1","1","1","1","1","2","2","2","2","2","2","2","3","3","3","4","4","4","5","5","6","7","8","8","10","11","15","15","16","22","42","80","83","92","199","636","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
35494,NA,NA,49.15,"42500, 1","0.8","14","3","","","2","2","","","2","3","","","2","2","2","","6","4","1","","4","","2","2","5","5","4","15","21","3","15","3","18","35","16","33","22","10","28","79","147","105","399","933","1","1","1","1","1","1","1","1","1","1","1","2","4","5","5","8","","","","","","","","","","","","","",""
35502,NA,NA,49.55,"42500, 1","1","4","","","","","","","","","","","","","","1","1","1","","1","","","","","2","","","","","2","","","","10","2","3","2","1","","4","18","19","8","33","300","","","","","1","","","","","","","1","","1","","","1","1","","","","","","","","","","","",""
35510,NA,NA,49.95,"42500, 1","0.7","5","1","1","","","","","","","","","","","","1","","2","1","1","","","","","19","3","2","3","1","","","","2","25","2","5","4","9","3","6","17","22","24","159","1089","","","","","","1","","2","","","","","","","","1","","","1","1","9","","","","","","","","",""
35514,NA,NA,50.15,"42500, 1","0.7","11","","1","","","","1","","","2","","","","","1","","1","","","","","","1","11","1","1","","3","4","","","","24","","","6","6","3","1","9","13","17","72","850","","","","","","1","","2","1","","","","","","","","","","","","","1","1","1","1","","","","",""
35516,NA,NA,50.25,"42500, 1","0.8","9","","","","","","","1","1","","","","","","","","","2","","","","","1","13","","7","","1","3","","","","21","","","3","7","","2","14","13","13","107","962","","","","","","","","","1","","","","","","","2","","","","","","1","","","","","","","",""
35518,NA,NA,50.35,"42500, 1","1","6","1","","","","","","1","","","","","","","","","","","","","","","1","12","1","1","1","1","5","","1","","16","","1","3","8","1","","15","18","1","73","802","","","","","","","3","","3","","","","","","","","","","","","","","","","","1","","","",""
35520,NA,NA,50.45,"42500, 1","0.9","7","","","","","","","1","","","","","","","","","","","1","1","","","1","10","","","","","4","","","1","13","2","2","","1","1","","3","11","12","62","822","","","","","","","","","1","","","1","","","","","","","","","","","","","1","","1","","",""
35522,NA,NA,50.55,"42500, 1","0.8","6","","","","","","","","","1","","","","","","","","","","","","","","4","2","5","1","","1","","","1","20","","","1","1","1","3","1","5","6","39","468","","","","","","","","","","","","1","","","2","","","","","","","","","","","","1","","",""
35524,NA,NA,50.65,"42500, 1","0.9","8","","","","","","","3","","","","","","","1","","","","1","","","1","","15","","1","","","6","","","","15","2","","1","4","1","2","16","13","14","103","652","","","","","","","","","1","","","1","","","","2","","","","","","","","","","","","","",""
35526,NA,NA,50.75,"42500, 1","1","5","","","","","","","","2","","","","","","","","","","1","","","","","15","","4","1","","4","","2","1","12","","1","2","8","2","6","6","13","16","83","776","","","","","","","","","1","1","","","","2","1","1","","","","1","","","","","","","","1","1",""
35528,NA,NA,50.85,"42500, 1","0.7","4","","","","","","","3","","","","","1","","","","1","","","1","1","","","2","","2","","3","9","1","1","2","22","4","4","5","13","1","2","22","16","13","143","845","","","","","","","","2","","","","","","","","2","","","","","","","1","","","","","","","1"
35536.7,NA,NA,55,"96000, 1","1","4","","","","","","","","","","","","","","","2","2","","5","1","","","3","","2","1","4","","2","3","","6","1","5","11","28","13","4","2","26","57","41","126","31","","","","","","","","1","1","","","","","","","6","","","","","","","","","","","","","",""
