"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Caltha","Castanea","Euphorbia","Tilia","Vitis","Zea mays","Fabaceae","Stachys-type","Papaver","Carpinus betulus","Oleaceae","Buxus","Ephedra fragilis-type","Plantago maritima-type","Thymus/Mentha","Ophioglossum","Asplenium","Abies","Ericaceae","Salix","Typha latifolia","Ulmus","Apiaceae","Alnus","Rosaceae","Galium-type","Brassica-type","Plantago media-type","Phillyrea latifolia","Thelypteris palustris","Plantago undiff.","Pistacia","Urtica","Centaurea cyanus-type","Ranunculus sceleratus-type","Poterium sanguisorba","Dryopteris-type","Humulus/Cannabis","Capsella-type","Centaurea solstitialis-type","Fraxinus ornus","Corylus","Asteroideae","Matricaria-type","Sparganium-type","Juglans","Olea","Caryophyllaceae","Cichorioideae","Xanthium","Plantago lanceolata-type","Quercus coccifera-type","Platanus","Cyperaceae","Rumex acetosa-type","Polygonum aviculare-type","Fagus","Unknown","Pteridium","Amaranthaceae","Ostrya/Carpinus orientalis","Poaceae (Cerealia-type)","Quercus cerris-type","Artemisia herba-alba-type","Juniperus","Pinus","Poaceae","Betula","Nymphaea","Potamogeton","Senecio-type","Myriophyllum spicatum/M. verticillatum","Viburnum-type","Bunium-type","Solanum nigrum","Isoëtes","Cedrus","Mercurialis annua","Ranunculus asiaticus-type","Asperula-type","Scrophularia/Verbascum","Artemisia vulgaris-type","Allium","Cuscuta","Potentilla-type","Liliaceae","Lysimachia","Vicia-type","Ranunculus acris","Rhinanthus-type","Spergularia-type","Cirsium/Gundelia","Fraxinus excelsior","Matthiola","Paliurus","Solanum dulcamara","Lomelosia rotata-type","Polypodium","Thalictrum","Ranunculaceae","Turgenia-type","Sambucus nigra-type","Equisetum","Malva","Trifolium-type","Persicaria maculosa-type","Helianthemum","Tamarix","Plantago coronopus-type","Rumex hydrolapathum","Sanicula","Aquilegia-type","Carthamus","Arceuthobium oxycedri","Geranium","Carduus-type","Scorzonera-type","Nigella","Clematis-type","Rhamnaceae","Acer","Linum","Prunella-type","Anemone","Theligonum","Delphinium-type","Asphodelus","Centaurea scabiosa-type","Ephedra distachya-type","Crocus","Convolvulus","Gentiana","Heliotropium-type","Tribulus terrestris","Pseudopediastrum boryanum","Picea","Alisma","Lotus-type","Arctium/Jurinea","Urtica pilulifera-type","Malabaila","Campanula-type","Filipendula","Hypericum perforatum-type","Noaea-type","Cheilanthes","Taxus","Persicaria amphibia","Valeriana","Populus","Pimpinella-type","Haplophyllum","Brassicaceae","Echinops","Ranunculus arvensis-type","Cornus mas","Eryngium-type","Hydrocotyle","Plantago major-type","Symphytum-type","Rhus","Ranunculus sect. Batrachium-type","Salvinia","Prunus-type","Centaurea","Cladium mariscus","Hypericum hirtellum var. assyriacum-type","Valerianella","Echium-type","Filago-type","Anchusa/Pulmonaria","Primulaceae","Osmunda regalis","Anagallis","Pediastrum duplex","Sanguisorba officinalis","Dipsacoideae","Erodium","Hedera","Quercus ilex-type","Pseudopediastrum brevicorne","Myriophyllum alterniflorum","Teucrium","Monactinus simplex","Scrophulariaceae"
62,263,-185,30,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,4,5,5,5,6,6,6,8,8,8,9,13,14,15,17,18,19,19,19,24,26,35,52,55,69,102,126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
98,292,-179,50,NA,3,1,NA,4,NA,1,NA,NA,NA,NA,5,1,NA,NA,NA,NA,2,3,2,NA,NA,2,5,NA,1,4,5,2,NA,2,NA,NA,NA,3,1,NA,2,2,3,6,12,2,5,7,3,2,6,8,NA,16,17,16,37,11,31,27,37,16,18,41,18,117,42,43,95,163,1,1,1,1,1,1,1,1,1,2,2,2,2,3,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
167,350,-56,80,NA,6,NA,NA,8,NA,5,NA,NA,6,NA,3,NA,3,1,NA,2,1,4,4,2,3,1,6,2,3,1,7,NA,3,3,3,1,1,3,9,5,15,3,6,2,17,9,10,3,5,2,12,17,NA,28,11,14,35,13,88,25,27,13,27,60,29,89,82,28,59,197,3,NA,2,NA,NA,1,NA,NA,NA,NA,1,NA,2,2,7,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
227,407,47,100,NA,3,1,NA,7,NA,3,NA,NA,2,NA,3,NA,1,2,2,1,NA,2,1,NA,1,1,2,2,3,3,1,NA,1,3,1,1,NA,2,5,3,9,NA,11,6,9,2,4,3,1,1,5,5,NA,25,9,8,29,18,66,16,17,24,15,36,16,57,70,16,33,135,4,NA,NA,NA,NA,NA,1,1,NA,1,2,NA,NA,NA,13,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1,NA,NA,2,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,481,148,120,NA,2,NA,NA,5,NA,3,NA,5,7,NA,NA,NA,14,3,1,NA,NA,1,2,1,NA,8,6,1,2,NA,NA,NA,NA,NA,5,1,1,2,5,3,9,6,6,12,3,10,4,3,8,2,6,13,1,20,8,3,16,20,59,34,24,19,23,44,37,56,55,19,70,118,1,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,2,1,1,NA,NA,NA,NA,NA,NA,NA,1,3,NA,NA,2,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
391,569,254,140,NA,2,NA,1,5,NA,1,NA,NA,1,NA,3,NA,2,NA,1,NA,2,2,2,1,2,1,9,NA,3,2,1,1,1,NA,3,NA,NA,1,5,2,19,1,3,6,6,4,6,NA,7,1,5,16,1,23,3,7,16,11,45,19,15,30,12,35,38,58,22,10,138,103,NA,NA,1,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,2,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
502,672,371,160,NA,NA,NA,1,1,NA,NA,NA,1,3,NA,NA,NA,2,1,3,NA,6,2,1,NA,1,2,20,1,2,3,4,NA,NA,1,2,1,NA,1,5,2,23,6,4,2,8,7,7,1,6,3,3,17,NA,15,4,5,15,14,38,39,21,41,8,35,25,130,42,5,176,122,NA,NA,1,1,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,3,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
635,799,506,180,NA,NA,NA,2,2,NA,1,NA,1,5,NA,1,NA,2,2,NA,NA,1,2,3,NA,NA,NA,7,NA,NA,NA,NA,1,NA,NA,2,NA,NA,NA,NA,3,6,4,2,5,1,2,4,4,7,1,5,8,NA,10,4,9,23,4,9,32,13,19,10,28,8,244,17,8,111,85,3,NA,NA,NA,2,NA,1,NA,NA,1,NA,NA,NA,NA,7,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
760,909,629,196,NA,NA,NA,4,1,NA,1,NA,NA,8,NA,NA,NA,NA,NA,1,NA,29,4,2,1,7,1,4,NA,NA,NA,NA,NA,1,NA,3,NA,NA,NA,1,12,NA,NA,NA,2,16,1,1,3,NA,NA,NA,6,NA,NA,NA,NA,21,3,2,1,6,16,2,54,1,294,3,9,344,49,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
794,940,663,200,NA,1,NA,1,NA,NA,4,NA,NA,4,NA,NA,NA,3,NA,NA,NA,4,1,5,NA,3,1,14,NA,1,NA,NA,NA,NA,2,3,2,NA,1,1,8,1,1,6,6,6,1,4,7,2,2,NA,9,NA,2,8,2,22,3,4,50,8,17,8,37,18,183,17,4,75,120,1,NA,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,1,6,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
