"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Sample quantity","Scrophulariaceae","Liliaceae","Ranunculaceae","Fraxinus","Poaceae (Cerealia)","Lamiaceae","Rosaceae","Plantago lanceolata-type","Rumex acetosa-type","Helianthemum","Pinus sylvestris","Rhamnus-type","Plantago coronopus-type","Urtica dioica-type","Daphne gnidium-type","Paeonia","Pinus halepensis/P. pinea-type","Polypodiophyta (monolete)","Coniochaeta ligniaria (type 172, HdV)","Apiaceae","Populus","Aster-type","Cichorioideae","Olea europaea","Pinus pinaster","Plantago major/P. media-type","Polypodiophyta (trilete)","Hymenophyllum","Quercus (evergreen)","Fabaceae","Calluna vulgaris","Tilletia sphagni (type 27, HdV)","Indeterminable (unknown)","Fungi (type 18, HdV)","Cistus ladanifer-type","Pteridium aquilinum","Cyperaceae","Betula","Poaceae","Quercus (deciduous)","Corylus","Erica-type","Lycopodium tablets","Lycopodium spike","Chrysophyceae","Castanea","Salix","Quercus suber","Sordaria-type (type 55A, HdV)","Alnus","Typha angustifolia-type","Ustulina deusta (type 44, HdV)","Polygonum aviculare","Humulus/Cannabis-type","Ulex/Cytisus-type","Neurospora crassa (type 55C, HdV)","Caryophyllaceae","Podospora-type (type 368, HdV)","Rumex acetosella-type","Byssothecium circinans (type 16C, HdV)","Riccia cf. R. sorocarpa (type 165, HdV)","Artemisia","Gelasinospora (type 1, HdV)","Botryococcus (type 901, HdV)","Spirogyra","Zygnema-type","Pseudoschizaea","cf. Persiciospora (type 124, HdV)","Boraginaceae","Arbutus","Asphodelus albus-type","Byssothecium circinans (type 16, HdV)","Sporormiella (type 113, HdV)","Rhabdocoela (type 353, HdV)","Brassicaceae","Glomus cf. G. fasciculatum (type 207, HdV)","Erodium","Dinoflagellata","Amaranthaceae","Bryophyta","Entorrhiza sp. (type HdV-527)","Cardueae","Invertebrata (type 88, HdV)","Oribatida (type 36, HdV)","Phillyrea","Potamogetonaceae","Rhytidospora cf. R. tetraspora (type 171, HdV)","Zopfiella-type/Apiosordaria verruculosa (type 169, HdV)","Chaetomium sp. (type 7A, HdV)","Rubiaceae","Asplenium-type","Copepoda (type 28, HdV)","Centaurea nigra-type","Sanguisorba minor-type","Alona rustica (type 72, HdV)","Typha latifolia-type","Asphodelus fistulosus-type","Cercophora-type/Cercophora sp. (type 112, HdV)","Campanulaceae","Juniperus","cf. Richonia variospora (type 140, HdV)","Viburnum"
55,NA,NA,24,"1.29999995231628","1","1","1","","","","2","","","","2","1","","1","","","","2","5","2","","1","4","6","1","1","6","2","1","3","10","","5","8","17","25","19","33","65","82","162","110","1","12, 10679","2","","","","5","1","","","","1","","","1","1","","","","1","","","","","1","","","","","","3","","1","1","","2","","","2","2","1","5","2","","","","2","","","3","","","","","","","","","",""
66,NA,NA,26,"1.27999997138977","","2","1","1","","","","","","1","1","1","","2","2","","","4","2","","","","","4","10","","6","4","","1","12","","5","3","14","32","25","25","66","57","178","160","1","9, 10679","","2","","","3","1","","","","","1","1","2","1","","","","","1","","","","","","","","","","","","1","2","","","2","","1","1","1","4","","","","","","2","4","1","","1","","","","","","","",""
77,NA,NA,28,"1.30999994277954","2","","3","","","","1","1","","","1","","","","2","","","3","2","","","","1","2","","","3","","2","3","14","","7","4","17","31","19","31","54","43","232","134","1","13, 10679","1","1","","","4","2","","","","1","4","","","2","","","","","","","","","2","","","","1","","","","","1","1","","1","","","2","1","1","","","","1","1","","","","","","1","1","1","1","","","",""
123,NA,NA,30,"1.83000004291534","2","2","1","","","1","","7","","3","","2","1","","","","1","","","3","","2","1","","","","","1","5","5","5","1","8","8","5","58","43","70","46","30","180","119","1","4, 10679","","1","1","","","","","","","","","","","","","","","2","1","","","","1","","","","","3","","","1","","","","","","","","","","","","","","","2","","","","","","","","","1","1","",""
204,NA,NA,32,"1.8400000333786","","","","","","2","1","","","2","","","1","5","","","1","1","","4","","1","2","2","1","","2","4","6","13","4","","6","4","2","23","68","53","34","41","170","151","1","5, 10679","2","","","","1","1","","","","1","1","","","","","","","2","","","1","","","","","","","","1","","1","1","","","","","","","","1","2","","","","","","","","","","","","","","","","1",""
285,NA,NA,34,"1.80999994277954","","","","1","","","","2","4","1","1","","1","2","3","","2","","","4","","","4","2","","1","6","4","1","8","6","","5","","12","29","37","123","30","30","118","151","1","4, 10679","","","","","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","","","","","1","","1","","","","","1","","","","1","","","","","","","","",""
366,NA,NA,36,"1.80999994277954","1","5","","","","","","","","","1","","5","","3","","5","","","3","","","","","1","","2","4","3","9","6","","9","2","7","32","48","101","34","30","120","147","1","2, 10679","2","","5","","","","","","","1","","","2","","","","","2","","","","","","","1","","1","","","","7","","","","","","","","","6","","","","","","","","","","","","","","","","","",""
447,NA,NA,38,"1.71000003814697","1","","","2","1","","1","","2","1","1","","1","","1","","2","","","4","","","","1","","","4","8","","5","7","","13","6","6","50","71","119","16","24","132","169","1","3, 10679","3","","1","","","","","","","1","","","","","","1","","","","","","","","","","","","","","","4","","","","","","","","","4","","","","","","1","","","1","","","","","","","","",""
528,NA,NA,40,"1.78999996185303","2","1","","","","","","","","","2","","","","1","","4","","","1","1","","1","","","","5","7","3","10","14","","10","4","24","54","81","57","22","25","88","232","1","7, 10679","4","1","3","","","","4","","","2","","","","","","","","","","","","1","1","","","","2","","","","","","","","","","","","","4","","","","","1","","","","","","","","","","","","",""
1102,NA,NA,42,"1.80999994277954","2","4","","1","1","","","","","","3","","1","","2","","2","2","","5","","3","","","1","1","5","10","5","7","11","","7","5","10","75","79","73","44","27","69","222","1","4, 10679","1","","","","","","","","","","","","","","","","","1","","","","","","","","","","","","","3","","","","","","","1","","3","","","","","","","","","","","","","","","","","",""
1676,NA,NA,44,"1.75","3","3","2","","","1","","1","","","1","","","","1","","1","","","1","","","","","3","","6","18","3","8","19","","11","2","16","176","89","74","42","16","45","252","1","9, 10679","3","","4","","","1","","","","","","","","","","8","","1","","","","","","","","","1","","","","2","","","","","1","","","","4","","2","","","","","","","","","","","","","","","","1"
2249,NA,NA,46,"1.70000004768372","","2","","1","","1","","1","","1","","","","","1","1","4","","","4","","","","1","","2","4","21","6","2","18","","7","1","6","36","142","44","75","35","68","213","1","11, 10679","2","2","","","","1","","","","","","","","","","","","1","","","","","","","","","2","","","","","","1","","1","","","","","4","1","2","","","","2","","","2","","","","","","","","",""
2823,NA,NA,48,"1.70000004768372","2","2","","","","1","","1","","2","2","","","3","4","","1","","","","","","","","","","6","31","3","11","13","","12","27","11","33","90","36","34","21","26","316","1","18, 10679","6","","1","","","","","","","","","","","","","","","","","","1","","","","","","1","","","","1","","","","","1","","","","2","","","","","","","","","","","","","","","","","",""
3397,NA,NA,50,"1.79999995231628","3","4","1","","","2","","2","5","44","","","","2","2","1","1","1","","3","","9","2","","","1","13","23","5","7","10","","11","1","49","50","86","34","27","19","20","270","1","15, 10679","6","1","","","","1","","","","","1","","","","","5","","","","","","","","","2","1","27","","","","","","","","","1","","2","","1","1","1","","","","","","","","","","","","","","","",""
