"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Castanea","Geranium","Tilia","Asteroideae","Anemone","Galium-type","Cistus","Fraxinus ornus","Myriophyllum spicatum/M. verticillatum","Plantago coronopus-type","Ranunculus repens-type","Rumex hydrolapathum","Spartium","Caryophyllaceae","Salix","Thalictrum","Rumex acetosa-type","Artemisia vulgaris-type","Fraxinus excelsior","Bunium-type","Juglans","Rosaceae","Capsella-type","Ephedra fragilis-type","Matricaria-type","Vitis","Olea","Centaurea solstitialis","Platanus","Polygonum aviculare-type","Apiaceae","Juniperus","Scrophularia/Verbascum","Dryopteris-type","Isoëtes","Poterium sanguisorba","Plantago maritima-type","Artemisia herba-alba","Carpinus betulus","Cichorioideae","Pistacia","Poaceae (Cerealia-type)","Ericaceae","Amaranthaceae","Fagus","Unknown","Corylus","Plantago lanceolata-type","Ulmus","Phillyrea","Pteridium","Alnus","Sparganium-type","Brassica-type","Abies","Oleaceae","Cyperaceae","Pinus","Ostrya/Carpinus orientalis","Quercus coccifera-type","Poaceae","Quercus robur-type","Pseudopediastrum boryanum","Nymphaea","Typha latifolia","Fabaceae","Ranunculus sceleratus-type","Ferula-type","Asperula-type","Acer","Betula","Centaurea","Plantago major-type","Hedera","Rhinanthus-type","Teucrium","Plantago media-type","Ephedra distachya-type","Datisca cannabina","Hypericum perforatum","Malabaila","Carduus-type","Mercurialis-type","Potentilla-type","Senecio-type","Clematis-type","Ranunculus sect. Batrachium-type","cf. Ceratonia","Plantaginaceae","Aesculus","Picea","Liliaceae","Thymus/Mentha","Heliotropium-type","Loranthus europaeus","Filago-type","Euphorbia","Campanula-type","Humulus/Cannabis","Delphinium-type","Sanicula","Lomelosia rotata-type","Filipendula","Pediastrum duplex","Pseudopediastrum kawraiskyi","Bupleurum-type","Centaurea scabiosa-type","Solanum dulcamara","Pimpinella-type","Potamogeton","Theligonum","Calligonum","Thelypteris palustris-type","Monactinus simplex","Dipsacoideae","Cladium mariscus","Phyteuma-type","Asplenium","Caltha","Dianthus-type","Urtica dioica-type","Polypodium","Cornus","Cirsium/Gundelia","Helleborus","Gentiana","Vicia-type","Aquilegia-type","Papaver","Centaurea cyanus-type","Knautia","Sphagnum","Ophioglossum","Equisetum","Nigella","Ranunculaceae","Stachys-type","Noaea-type","Lycopodium","Persicaria amphibia","Helianthemum","Cedrus","Arctium/Jurinea","Asphodeline","Valerianella","Taxus","Echinops","Sambucus nigra-type","Fagopyrum","Plantago ovata-type","Cousinia","Dipsacus-type","Allium","Alisma","Hippophaë","Iris pseudacorus","Lythrum","Lemna","Butomus umbellatus","Trifolium-type","Menyanthes trifoliata","Lysimachia","Malva","Scabiosa","Erodium","Linum","Convolvulus","Crassulaceae","Populus","Spergularia-type","Persicaria maculosa-type","Myrica","Valeriana","Lythrum portula-type","Leontice leontopetalum","Halothamnus-type","Melampyrum","Nuphar","Astragalus-type","Inula-type","Symphytum-type","Pediastrum undulatum","Sanguisorba officinalis","Matthiola","Hydrocharitaceae","Polygonaceae","Epilobium","Boraginaceae","Armeria/Limonium","Plumbaginaceae","Hedysarum/Ebenus","Onobrychis-type","cf. Campanulaceae","Juniperus sabina","Scabiosa columbaria-type","Fagopyrum tataricum","Laurus","Viburnum-type","Buxus","Thymelaeaceae","Ranunculus asiaticus-type","cf. Hypericum","cf. Sambucus","Malvaceae","Onagraceae","Ornithogalum-type","Xanthium","Anchusa/Pulmonaria","Saxifraga","Lamiaceae","Colchicum"
539,1021,79,0,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3,3,3,3,4,4,4,5,5,5,5,5,5,5,6,7,7,8,9,9,9,12,13,14,14,16,16,17,17,21,23,27,28,36,38,51,67,117,138,155,721,4559,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1255,1716,811,10,2,NA,NA,1,NA,3,1,3,1,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,1,3,1,4,NA,13,1,NA,6,NA,2,2,3,NA,3,NA,3,2,2,2,8,5,8,5,10,20,3,9,NA,9,3,12,24,14,NA,27,51,51,76,48,250,1958,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2685,3108,2275,30,NA,NA,2,3,NA,1,1,NA,2,NA,3,NA,NA,1,1,1,5,3,1,2,NA,NA,3,NA,2,NA,1,3,NA,6,2,1,NA,6,3,7,NA,5,7,5,1,5,8,9,5,13,10,6,4,1,11,8,10,5,13,NA,30,58,66,62,103,255,2780,2,1,1,1,NA,NA,NA,1,1,1,1,1,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4115,4498,3737,50,NA,NA,7,NA,NA,1,NA,NA,1,NA,2,1,NA,1,NA,NA,3,2,NA,NA,NA,1,NA,1,NA,1,1,2,NA,NA,1,1,NA,44,1,13,8,1,9,NA,NA,5,6,3,4,1,22,8,3,NA,12,13,8,1,57,NA,25,100,75,13,103,352,11,3,2,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5759,6104,5420,73,NA,1,2,6,NA,3,NA,1,5,NA,4,1,NA,NA,NA,1,1,NA,1,1,2,NA,2,NA,3,3,1,8,NA,18,11,2,2,5,1,11,NA,2,6,14,3,4,7,43,NA,20,13,14,1,NA,5,12,14,7,33,NA,31,65,66,44,95,311,NA,2,1,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,2,NA,NA,1,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6260,6594,5932,80,NA,NA,3,NA,NA,NA,NA,5,5,NA,1,1,NA,NA,NA,NA,2,NA,NA,1,NA,NA,NA,NA,NA,1,NA,2,NA,2,NA,NA,NA,9,NA,7,1,1,4,NA,1,4,15,3,NA,2,23,5,10,NA,2,10,6,2,23,NA,21,66,86,42,74,417,13,1,NA,NA,NA,NA,NA,2,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6975,7294,6662,90,NA,NA,9,NA,NA,3,4,22,NA,NA,1,1,NA,2,1,1,6,2,5,2,NA,1,1,1,2,7,NA,2,NA,4,1,4,NA,14,NA,16,2,7,8,NA,8,3,12,7,1,3,47,7,22,NA,11,12,7,3,38,NA,17,82,88,30,113,445,181,8,NA,NA,NA,NA,NA,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,3,1,1,1,1,1,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7690,7996,7392,100,NA,NA,5,NA,NA,1,NA,8,NA,NA,NA,NA,NA,NA,1,NA,6,2,6,3,NA,1,NA,1,NA,1,NA,NA,NA,1,3,16,NA,4,NA,14,2,2,2,2,6,2,NA,3,1,NA,30,2,7,2,3,5,6,1,19,NA,14,52,54,12,88,233,431,4,1,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,1,1,3,333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8405,8700,8120,110,NA,NA,10,NA,NA,3,NA,28,NA,NA,3,NA,NA,1,NA,NA,9,6,8,4,NA,NA,2,NA,4,6,NA,1,NA,2,5,NA,NA,3,1,25,2,11,NA,4,28,13,NA,7,2,4,87,5,25,6,2,14,3,3,41,NA,28,66,72,16,257,451,570,9,3,NA,NA,NA,NA,2,2,NA,NA,1,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,3,1,NA,NA,NA,2,NA,NA,3,NA,NA,NA,1,NA,NA,3,30,NA,NA,NA,2,NA,NA,NA,NA,NA,660,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9835,10113,9569,130,NA,NA,6,NA,NA,4,NA,19,1,NA,4,NA,NA,NA,NA,NA,7,5,5,NA,NA,1,NA,NA,1,NA,NA,2,1,NA,3,6,1,8,NA,43,1,4,1,7,12,12,NA,4,1,4,92,6,11,3,1,17,6,NA,35,NA,22,60,51,8,221,393,460,3,2,1,NA,NA,NA,1,1,NA,NA,1,NA,NA,2,1,NA,NA,2,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,78,NA,NA,NA,NA,1,NA,NA,NA,NA,37,NA,3,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
