"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Cichorioideae","Rumex acetosa-type","Galium-type","Aster-type","Urtica dioica","Unknown (trilete)","Fungi (type 65, HdV)","Lasiosphaeria sp. (type 63C, HdV)","Microthyrium sp.? (Type 8B)","Alternaria","Chaetomium sp. (type 7A, HdV)","Apiaceae","Ranunculaceae","Glomus cf. G. fasciculatum (type 207, HdV)","Corylus","Liliaceae undiff.","Sambucus","Scrophulariaceae","Pinus pinaster-type","Pinus pinea-type","Cercophora-type/Cercophora sp. (type 112, HdV)","Pleospora sp. (type 3B, HdV)","Prunus-type","Salix","Amaranthaceae","Anthemis-type","Plantago lanceolata-type","Quercus suber-type","Cistus-type","Betula","Fraxinus","Alnus","Brassicaceae","Quercus ilex-type","Rosaceae undiff.","Rumex acetosella-type","Pteridium","Trichocladium opacum (type 10A, HdV)","Fungi (type 305, HdV)","Sordaria-type (type 55A, HdV)","Castanea","Fungi (type 18, HdV)","Cyperaceae","Fabaceae undiff.","Erica arborea-type","Olea","Cytisus-type","Poaceae","Quercus pyrenaica-type","Lycopodium clavatum","Pinus sylvestris-type","Cardueae","Poaceae (Cerealia)","Fungi (type 92, HdV)","Gelasinospora (type 1, HdV)","Armeria-type","Copepoda (type 28, HdV)","Amphisphaerella dispersella (type 310, HdV)","Juglans","Podospora-type (type 368, HdV)","Tardigrada (type 902, HdV)","Caryophyllaceae","Fagus","Vitis","Sporormiella (type 113, HdV)","Fungi (type 123, HdV)","Fungi (type 495, HdV)","Algae? (type 229, HdV)","Pseudoschizaea circula","Calluna vulgaris","Fungi (type 351, HdV)","Zygnema-type (type 314, HdV)","Spirogyra","Viburnum","Artemisia-type","Plantago coronopus-type","Ilex","Taxus","Byssothecium circinans (type 16C, HdV)","Secale cereale","Drosera-type","Cryptogramma crispa","Plantago major/P. media-type","Epilobium","Arbutus unedo","Lamiaceae","Campanula","Polygonum aviculare","Callitriche","Juniperus","cf. Richonia variospora (type 140, HdV)","Geranium","Unknown (type 708, HdV)","Erodium","Gelasinospora cf. G. retispora (type 2, HdV)","Asphodelus albus-type","Acer","Brachysporium obovatum/B. bloxami/Bactrodesmium betulicola (type 359, HdV)","Fungi (type 461, HdV)","Unknown (monolete)","Fungi (type 20, HdV)","Fungi (type 19, HdV)","Bryophyta","Fungi (type 90, HdV)","Centaurea cyanus","Sphagnum","Ulmus","Neurospora crassa (type 55C, HdV)","Frangula","Riccia cf. R. sorocarpa (type 165, HdV)","cf. Persiciospora (type 124, HdV)","Botryococcus","Potamogeton","Malva"
107,NA,NA,0,1,1,1,1,1,1,1,1,1,2,2,2,2,3,3,3,3,3,4,4,4,4,5,5,5,5,6,6,6,7,7,8,8,9,12,12,12,12,15,18,19,20,24,27,28,40,47,65,72,84,90,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
112,NA,NA,4,3,2,NA,4,NA,NA,NA,NA,1,1,NA,2,1,7,2,2,1,6,12,6,5,5,5,3,7,4,8,4,4,4,5,6,7,8,14,18,20,9,6,23,14,37,31,23,32,47,42,111,48,190,93,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
118,NA,NA,8,4,6,NA,8,2,NA,NA,3,NA,NA,NA,1,1,20,3,3,1,8,8,3,3,8,6,1,6,3,11,5,5,3,6,9,6,10,8,22,18,10,NA,41,18,7,50,21,30,38,47,136,50,155,56,NA,4,3,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
123,NA,NA,12,8,1,NA,6,1,NA,NA,21,NA,NA,NA,NA,1,8,4,2,2,8,14,8,1,21,3,2,2,4,8,3,4,1,5,10,14,8,4,21,29,3,NA,14,15,5,33,23,32,55,42,128,57,153,32,NA,5,NA,NA,NA,NA,NA,2,1,1,1,1,1,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
128,NA,NA,16,7,1,NA,6,NA,NA,NA,18,NA,NA,5,NA,2,15,3,6,1,8,2,2,NA,1,3,1,2,NA,15,3,3,10,NA,13,7,9,2,26,27,7,NA,24,16,8,93,38,27,40,32,157,58,227,21,3,11,2,NA,NA,NA,NA,3,NA,1,NA,2,NA,1,NA,NA,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
133,NA,NA,20,3,5,NA,5,NA,NA,NA,75,NA,1,NA,2,1,21,3,4,1,7,NA,NA,3,31,2,4,NA,3,10,7,4,2,4,8,3,9,9,22,30,33,NA,29,23,3,47,23,63,34,42,130,55,333,29,NA,10,NA,1,NA,NA,NA,1,NA,15,2,1,NA,2,NA,NA,3,NA,NA,NA,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
138,NA,NA,24,7,2,NA,3,1,NA,NA,39,NA,NA,NA,2,1,14,7,3,2,9,1,NA,1,22,4,1,1,2,14,8,2,1,3,9,2,7,8,21,26,34,NA,23,14,1,32,26,51,36,33,149,63,274,11,NA,5,3,NA,NA,NA,NA,2,NA,2,3,NA,NA,3,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
143,NA,NA,28,6,2,NA,4,1,NA,NA,39,NA,NA,NA,1,NA,8,9,3,NA,6,NA,NA,NA,16,8,3,2,2,12,9,3,NA,4,7,4,7,11,23,43,3,NA,18,21,NA,40,23,53,17,63,158,85,210,7,NA,4,12,NA,NA,NA,NA,2,NA,NA,4,NA,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
207,NA,NA,32,9,5,NA,5,1,NA,NA,51,2,NA,NA,2,NA,15,5,5,NA,4,NA,NA,NA,23,6,NA,1,1,11,10,2,NA,3,4,6,10,10,11,35,6,2,21,17,1,53,18,42,10,54,168,78,127,11,NA,3,22,NA,NA,NA,NA,1,3,NA,1,NA,NA,6,5,NA,NA,NA,1,NA,NA,NA,NA,NA,4,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
269,NA,NA,34,16,3,NA,9,NA,NA,NA,31,5,NA,NA,1,NA,18,5,5,1,2,NA,NA,8,40,4,2,1,2,13,5,NA,1,3,4,8,11,13,11,37,8,NA,31,24,NA,44,19,23,16,37,196,65,144,13,NA,5,8,NA,NA,NA,NA,1,5,NA,5,NA,NA,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,NA,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
