"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Abies","Cichorioideae","Polygonum aviculare-type","Thalictrum","Apiaceae","Asteroideae","Brassica-type","Olea","Carduus-type","Cirsium/Gundelia","Matricaria-type","Glaux","Dryopteris-type","Cyperaceae","Centaurea solstitialis-type","Quercus coccifera-type","Cedrus","Cladium mariscus","Sparganium-type","Quercus cerris-type","Unknown","Amaranthaceae","Poaceae","Artemisia herba-alba-type","Pinus","Castanea","Plantago lanceolata-type","Juniperus","Scorzonera-type","Poaceae (Cerealia-type)","Euphorbia","Geranium","Potentilla-type","Acer","Fabaceae","Delphinium-type","Artemisia vulgaris-type","Capsella-type","Thymus/Mentha","Apium-type","Centaurea cyanus-type","Matthiola","Caryophyllaceae","Beta","Noaea-type","Corylus","Typha latifolia","Alnus","Sanguisorba-type","Carpinus betulus","Armeria/Limonium","Ostrya/Carpinus orientalis","Plantago coronopus-type","Plantago maritima-type","Utricularia","Equisetum","Brassicaceae","Filipendula","Phillyrea","Galium-type","Spergularia-type","Pseudopediastrum boryanum","Paronychia-type","Plantago undiff.","Ranunculaceae","Malva","Scrophularia/Verbascum","Ranunculus sect. Batrachium-type","Nymphaea","Stachys-type","Senecio-type","Tilia","Centaurea jacea-type","Rosaceae","Ophioglossum","Cousinia","Picea","Ephedra distachya-type","Rumex hydrolapathum","Myriophyllum spicatum/M. verticillatum","Allium","Fagus","Vitis","Lythrum","Plumbaginaceae","Ephedra fragilis-type","Bunium-type","Betula","Theligonum","Filago-type","Sanicula-type","Turgenia-type","Rumex subg. Emex","Ulmus","Calystegia","Valerianella","Halothamnus-type","Ferula-type","Berberidaceae","Psylliostachys spicata","Pistacia","Ranunculus sceleratus-type","Pediastrum duplex","Nuphar","Anemone","Nigella","Salix","Hippophaë","Convolvulus","Rumex patientia-type","Pimpinella-type","Rhamnaceae","Tamarix","Ericaceae","Asperula-type","Malabaila","Datisca","Arctium/Jurinea","Leontice leontopetalum","Sphagnum","Helianthemum","Eryngium-type","Rumex cyprius-type","Sanguisorba officinalis","Centaurea scabiosa-type","Nitraria","Alisma","Teucrium","Urtica","Frankenia hirsuta-type","Butomus umbellatus","Vicia-type","Lotus-type","Linum","Scabiosa","Ranunculus asiaticus-type","Aquilegia-type","Halogeton","Hammada-type","Buxus","Rumex acetosa-type","Atraphaxis","Chenopodium/Thalictrum","Solanum nigrum","Viola","Plantago cf. P. crassifolia","Echinops","Clematis-type","Echium-type","Polygonaceae","Plantago ovata-type"
166,266,74,5,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,4,4,6,7,8,17,152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1802,1916,1693,45,NA,5,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,4,NA,NA,2,NA,3,5,8,5,89,5,45,1,1,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4749,4979,4539,117,NA,8,1,NA,NA,36,7,NA,NA,NA,8,NA,NA,2,13,NA,1,NA,NA,2,122,54,18,183,87,NA,NA,1,NA,2,1,1,1,1,1,1,1,1,1,1,3,4,5,6,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5199,5451,4972,128,2,2,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,46,NA,1,19,NA,NA,18,NA,39,43,19,187,NA,3,NA,NA,2,NA,NA,NA,NA,NA,NA,2,NA,1,NA,NA,NA,NA,1,NA,1,1,1,1,1,1,2,2,2,4,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5485,5751,5247,135,1,10,1,NA,NA,4,NA,NA,NA,NA,1,NA,NA,342,NA,5,6,NA,7,11,34,80,84,89,120,NA,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,1,NA,2,3,2,NA,NA,1,1,1,2,2,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6508,6823,6227,160,1,2,NA,NA,1,1,NA,NA,1,NA,1,NA,NA,3,3,3,5,NA,70,27,37,61,28,34,125,NA,3,2,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,7,1,NA,NA,NA,NA,NA,1,1,1,1,1,9,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6917,7252,6619,170,NA,1,NA,NA,NA,5,NA,NA,1,1,1,NA,NA,23,NA,1,7,NA,66,11,19,43,26,22,79,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,20,1,NA,NA,NA,NA,2,NA,1,NA,NA,NA,8,14,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7327,7682,7011,180,1,NA,NA,NA,2,5,2,NA,NA,NA,2,NA,NA,3,1,2,7,5,18,24,6,36,25,13,66,NA,NA,6,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,1,NA,NA,NA,NA,2,NA,NA,NA,2,NA,NA,NA,115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8022,8411,7676,197,NA,2,NA,NA,3,2,NA,NA,NA,1,20,NA,NA,2,4,2,15,NA,6,45,20,25,22,157,66,NA,NA,10,NA,2,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8554,8970,8185,210,NA,NA,NA,NA,NA,2,3,NA,NA,1,1,NA,NA,7,1,4,15,NA,141,32,11,11,58,13,107,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,NA,1,NA,NA,NA,NA,NA,1,1,1,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
