"age_Calibrated_radiocarbon_years_BP","ageolder_BP","ageyounger_BP","depth","Plantago lanceolata-type","Galium-type","Convolvulus","Brassica-type","Myriophyllum spicatum/M. verticillatum","Caryophyllaceae","Butomus umbellatus","Artemisia","Poaceae","Quercus cerris-type","Juniperus","Centaurea solstitialis-type","Cichorioideae","Ranunculus peltatus-type","Asteroideae","Cedrus","Cyperaceae","Amaranthaceae","Sparganium-type","Pinus","Thalictrum","Poaceae (Cerealia-type)","Matricaria-type","Ostrya/Carpinus orientalis","Ranunculus repens-type","Nymphaea","Quercus coccifera-type","Polygonum aviculare-type","Apiaceae","Fabaceae","Centaurea cyanus-type","Cirsium/Gundelia","Urtica dioica-type","Dryopteris-type","Betula","Thymus/Mentha","Viburnum-type","Asphodeline","Isoëtes","Taxus","Poterium sanguisorba","Lomelosia rotata-type","Sphagnum","Abies","Corylus","Picea","Potentilla-type","Alnus","Persicaria maculosa-type","Delphinium-type","Centaurea scabiosa-type","Loranthus","Haplophyllum","Onopordum-type","Turgenia-type","Pteridium","Juglans","Ericaceae","Typha latifolia","Rumex acetosa-type","Senecio-type","Valerianella","Ranunculus arvensis-type","Malabaila","Cladium mariscus","Dipsacus-type","Scorzonera-type","Salix","Carya","Geranium","Humulus/Cannabis","Cousinia","Arctium/Jurinea","Vitis","Malva","Ephedra distachya-type","Datisca","Pteris","Ephedra fragilis-type","Tilia","Acer","Olea","Ulmus","Botrychium","Lycopodium","Pseudopediastrum boryanum","Anemone","Antirrhinum/Linaria","Euphorbia","Allium","Lythrum","Vicia-type","Cheilanthes","Oleaceae","Scrophulariaceae","Carpinus betulus","Theligonum","Cistus","Fraxinus excelsior","Pimpinella-type","Ferula-type","Menyanthes trifoliata","Liliaceae","Ononis-type","Teucrium","Aesculus","Stachys-type","Potamogeton","Noaea-type","Fraxinus ornus","Xanthium","Bupleurum-type","Sambucus nigra-type","Bunium-type","Polypodium","Alisma","Filipendula","Fagus","Castanea","Halothamnus-type","Arceuthobium oxycedri","Fagopyrum","Chrysosplenium","Lemna","Rhinanthus-type","Plantago media-type","Hippuris","Rubus","Campanula-type","Crataegus-type","Nigella","Pterocarya","Armeria/Limonium","Calligonum","Lomelosia olivieri","Mercurialis annua","Plantaginaceae","Hypericum hirtellum var. assyriacum-type","Capsella-type","Hippophaë","Prosopis","Rosaceae","Helianthemum","Caltha","Hypericum perforatum-type","Asparagus-type","Scilla-type","Ranunculus sceleratus-type"
68,571,-443,5,1,1,1,1,1,2,2,3,3,3,4,4,5,6,8,8,13,13,41,441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
210,690,-276,15,1,NA,NA,2,NA,1,NA,3,22,3,6,7,15,12,10,16,12,24,53,443,1,1,1,1,1,2,2,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
352,808,-109,25,NA,NA,NA,1,1,NA,NA,4,4,3,1,11,5,NA,12,26,28,NA,28,470,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
494,926,57,35,NA,NA,NA,NA,NA,1,NA,2,2,NA,1,7,5,2,16,12,23,2,8,364,NA,NA,2,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
637,1045,223,45,1,NA,NA,NA,1,3,NA,2,3,2,NA,21,38,NA,21,32,21,2,12,494,NA,2,1,NA,NA,NA,NA,NA,1,NA,NA,12,NA,1,1,NA,NA,NA,NA,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
779,1164,390,55,8,1,NA,NA,2,2,NA,7,11,3,1,41,96,8,39,21,101,1,27,664,NA,6,3,1,NA,NA,2,4,2,11,1,15,NA,1,2,NA,NA,NA,NA,NA,NA,2,NA,1,1,1,1,1,1,1,1,1,1,2,2,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
921,1283,556,65,2,1,1,1,3,1,NA,7,9,4,2,49,65,NA,32,15,83,NA,30,501,NA,5,1,NA,NA,NA,2,7,1,2,2,5,NA,1,6,NA,NA,NA,NA,NA,1,2,1,NA,2,NA,NA,3,NA,NA,1,NA,1,1,NA,NA,NA,1,1,1,1,1,1,1,2,2,2,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1063,1402,722,75,2,1,NA,3,NA,1,NA,7,2,3,1,59,26,NA,22,28,45,6,18,569,NA,6,2,NA,NA,NA,3,10,1,1,NA,3,NA,1,4,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,3,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,1,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1205,1520,887,85,19,2,NA,3,NA,1,1,8,11,6,1,33,30,5,23,15,97,7,41,651,NA,3,1,NA,2,NA,4,8,2,4,NA,11,NA,2,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1348,1638,1052,95,18,1,NA,2,NA,4,1,13,22,7,4,35,41,8,11,20,150,10,43,577,1,2,2,NA,2,NA,NA,NA,1,7,NA,7,NA,1,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,4,NA,1,NA,NA,1,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
