Depth,C14 BP,CAL BP,Abies,Alnus,Amaranthaceae,Apiaceae,Arbutus,Artemisia,Asphodelus,Asteroideae,Betula,Brassicaceae,Calluna,Campanulaceae,Caryophyllaceae,Cedrus,Cichorioideae,Cistaceae,Corylus,Cyperaceae,Damasonium,Dipsacoideae,Ephedra,Epilobium,Erica,Fabaceae,Fraxinus,Hedera,Hypericum,Ilex,Iris,Isoetes (spore),Juniperus,Lamiaceae,Liliaceae,Linum,Lythrum,Myriophyllum,Myrtus,Nymphaea,Olea,Osmunda (spore),Phillyrea,Pinus,Pistacia,Plantago coronopus,Plantago pro parte,Poaceae,Polygonum,Polypodium (spore),Quercus coccifera,Quercus faginea,Quercus ilex,Quercus suber,Ranunculaceae,Rosaceae,Rubiaceae,Rumex,Salix,Thalictrum,Thymelaeaceae,Typha,Ulmus,Unknown (monolete) (spore),Unknown (trilete) (spore),Vitis
0,0,100,,1,,6,,2,,11,,2,,,5,,3,,,13,,,,,4,3,1,3,3,,,4,1,1,2,,1,,,,,4,,2,,18,,101,,,3,6,,1,,2,1,1,,,,,,1,2,3
5,78,162,,,15,6,,65,,3,,,,,6,,1,,,21,1,,,,7,1,,1,3,,,6,3,1,2,,,,,,,8,,4,,13,,81,,,,11,,,,2,,,,1,,,,,6,1
10,157,225,,1,3,13,,11,,64,,1,,,6,,17,,,64,2,1,,,11,1,2,2,12,,,18,5,1,7,,,,,,1,15,1,4,2,55,,109,,1,6,46,6,7,,10,2,9,1,,,,1,13,5,1
15,235,287,,1,2,20,,18,1,72,1,1,,,6,,15,,,62,2,,1,,15,16,4,4,10,1,,18,6,,11,,1,,,,1,19,,5,,32,6,153,1,,5,55,3,,2,6,4,10,2,,,,1,4,13,2
20,313,350,,,1,15,,14,2,40,,,,,14,,4,1,,18,1,1,,,17,3,3,1,4,,,16,6,,6,,1,,1,,,4,,1,1,31,,60,1,,,25,6,2,2,6,4,15,,2,,,2,2,1,4
25,392,412,,,1,10,,12,,88,,1,,,10,,2,,,7,3,,,,9,7,1,1,3,,,24,3,1,1,,,,1,,4,1,,4,1,48,4,79,,,2,28,2,3,3,2,2,10,4,,,,1,,,3
30,470,475,,1,1,5,,15,,171,,1,,,17,1,6,3,,24,2,,,,15,4,11,2,10,,,10,4,1,,,,,,,5,2,1,4,3,22,6,80,1,,14,39,2,1,3,13,2,6,1,2,,,2,,2,3
35,548,538,,2,1,3,,3,,8,,,,,8,,1,,,2,2,,,,12,,3,1,,,,3,4,,,,,,,,,,,,1,4,,22,,,1,11,3,3,1,4,3,1,,,,,,,,
40,627,600,,,4,13,,10,,41,,,,,10,1,8,1,,44,2,,1,,16,4,1,4,13,1,,4,9,,3,,,,2,,9,,,1,3,22,,78,,,2,46,2,4,2,7,7,9,3,,,,1,2,,1
45,705,663,,,1,6,,6,,2,,,,1,3,,1,1,,8,1,,,,22,1,3,,3,,,2,6,,,1,,,,,1,,,,1,6,,54,2,1,,16,6,1,3,3,2,1,,,,,,,1,
50,783,725,,1,3,12,,10,1,16,,,,,7,1,5,1,,86,,,,,53,10,1,1,9,,,5,3,2,2,,1,,,,4,9,,3,,22,,134,1,,2,31,5,2,,8,5,5,2,1,,,,3,4,2
55,862,788,,,5,44,,6,,19,,1,,,3,,11,,,125,2,,,,15,13,3,7,13,,,4,2,4,1,,,,,,,6,,2,,29,,155,,,8,24,,4,2,9,7,2,7,,,,,4,3,4
60,940,850,,3,1,21,,117,,3,1,,,2,16,,12,,,181,4,2,1,,34,36,3,3,,1,,7,3,4,6,,,,,,4,6,,4,,8,1,11,,,,31,1,3,1,4,7,3,10,,,4,,15,6,1
65,1053,971,,2,1,9,,5,1,9,,,,1,5,,4,,,60,1,,,,52,7,2,6,35,4,,4,1,1,,1,,,1,,4,1,,,,9,,55,,1,6,22,4,2,1,2,4,3,2,,,,,8,4,1
70,1166,1091,,,,8,,4,,12,,2,,,,,2,,,45,2,,,,130,,,5,41,,,,,,4,1,,,,,1,1,,2,,19,,68,,2,3,12,2,1,1,2,2,7,,1,,,,8,1,2
75,1279,1212,,4,3,12,,7,3,31,2,9,,,1,1,7,2,,,55,,,,229,1,2,23,92,1,,104,1,9,12,,1,2,,,5,1,,3,,23,,176,,,6,25,3,1,1,8,4,4,3,,5,,,,1,3
80,1392,1333,,1,1,4,,5,1,42,,3,,,2,,1,,,68,2,,1,,119,23,2,,144,,,4,1,,,,3,,1,,11,1,,5,,13,,105,,,6,34,3,,1,2,3,9,4,,,,2,50,10,8
85,1505,1453,,1,9,3,,7,,39,,2,,,1,,2,1,,47,1,,,,64,5,1,7,39,,,2,2,,2,,2,,,,6,2,5,2,2,20,,67,1,2,,65,13,,3,1,2,9,,,,,,54,6,2
90,1618,1574,,,1,3,,7,2,13,1,6,,1,1,,2,,,33,2,,,,20,1,1,3,16,,,2,1,,2,,8,,1,,5,1,,1,1,9,,42,,1,5,145,10,6,,14,1,3,1,,,,,146,4,
95,1731,1695,,1,1,7,,2,,5,,1,,,,,,,,9,,,,,5,2,1,,,,,2,6,,,,2,,,,1,,,,,1,,22,,3,1,101,4,4,,8,1,,,1,,,,242,4,
100,1844,1815,,,,7,,26,1,3,1,,,4,,,3,,,87,1,7,11,,122,9,5,7,41,1,,3,6,3,10,,3,,,,3,3,,1,,,1,5,,2,117,77,8,2,,7,,,3,1,,,,163,6,1
105,1957,1936,,,3,9,,3,1,16,,4,,,2,1,5,,1,45,4,,,,47,3,2,6,24,2,,4,8,4,8,,2,,1,,3,1,,2,1,24,,89,,2,3,107,7,2,2,5,2,6,3,2,,1,,301,4,1
110,2070,2056,,1,4,7,,7,,9,,1,,,2,,3,,,22,2,,,,14,4,2,2,8,,,8,,,,,5,,,,2,1,,1,,15,,43,,,3,76,19,,1,8,3,6,4,,,,,565,9,1
115,2194,2204,,2,3,3,,4,,8,,3,,,1,1,,,1,12,1,,1,,21,,12,,2,,,7,3,,1,,3,,,,5,1,1,2,,10,,36,,,3,76,20,,,7,,2,4,,,1,3,499,8,
120,2318,2352,,,,4,,23,,,,,,1,6,,5,,,10,1,,1,,6,,,1,,,,2,7,,,,,,,,4,,,1,,4,,,,3,,118,3,1,,3,,,1,2,,,,415,2,
125,2441,2499,,2,1,7,,1,,7,,1,,,1,,1,1,,14,2,,,,9,2,,3,3,2,,,2,1,7,,,,,,1,,,1,,4,1,19,,,4,121,12,1,1,3,,3,4,,,,,457,3,
130,2565,2647,,,1,7,,4,,4,,1,,,,2,2,,1,16,,,,,8,4,1,3,1,1,,7,8,,,,,,,,,1,,3,,3,1,66,,,13,182,11,,1,,3,6,1,1,,,,156,4,
135,2689,2795,,2,2,11,1,7,,10,,1,10,,,1,2,2,,16,,,,,,7,1,2,15,,,4,,1,,,1,,,,,,,2,,13,,52,,1,13,177,5,3,1,5,10,10,1,,,,,53,6,1
140,2812,2942,,3,5,13,,5,,13,,5,,,3,2,5,,,26,3,,1,,12,8,1,,7,1,,10,3,4,3,,1,,,,3,,,4,,10,,76,,3,14,185,14,2,1,5,8,7,2,,,,1,23,4,1
145,2936,3090,,4,6,8,,2,,18,,5,,,4,2,6,,1,16,2,,1,,3,5,6,1,9,,,20,4,,1,,,,,,3,,,3,,23,,119,,3,25,139,23,5,2,9,1,17,3,2,,,,11,2,
150,3060,3238,,3,2,16,,1,,31,,8,,,6,6,10,,1,17,,2,,,3,11,2,2,,,,16,4,4,,,,,,,4,,,2,,18,3,126,,7,46,238,6,5,8,4,3,17,4,3,,,2,26,3,2
155,3165,3374,,5,7,4,,1,1,21,,8,,,5,4,6,,2,15,2,,,1,3,8,6,2,4,,,17,4,3,2,,,,1,,4,,,3,,36,,88,,3,27,187,17,6,7,10,5,21,5,1,,,1,22,3,4
160,3270,3510,,4,5,9,,1,1,25,,5,,,3,3,21,2,,12,,1,,,5,8,2,1,1,,,21,3,1,1,,1,,1,,8,,,6,,19,6,79,,4,28,154,9,5,1,2,5,17,,,,,3,6,7,3
165,3375,3647,,3,4,12,,1,,40,1,6,,1,2,4,7,,1,7,1,1,,,13,6,1,2,3,,,42,2,,3,,2,,,,6,1,,1,,21,,129,,3,10,147,61,7,3,14,2,18,2,2,,,,13,5,2
170,3480,3783,,4,1,9,,1,1,13,,4,1,,3,6,5,,,12,1,1,,1,4,3,1,1,2,,,42,1,1,3,,1,,,,1,1,,8,,13,3,65,,6,26,168,2,8,2,,3,30,1,2,,,,16,8,1
175,3585,3919,,2,4,7,,,2,21,,6,,,4,1,7,,2,13,1,,,,5,5,1,,1,,,43,1,1,1,1,1,,,,2,1,,4,1,26,,81,,5,19,152,10,4,1,7,3,9,3,1,,,,7,,2
180,3690,4056,,,3,3,,1,,3,,1,,,1,,,,,2,1,,,,3,1,1,1,,,,3,,,,,3,,,,,,,2,,,1,31,,2,13,72,7,2,,,1,3,3,,,,,3,2,
185,3795,4192,,1,1,4,,2,,12,,1,,2,1,4,3,,1,6,,,1,2,6,4,3,,1,,,4,3,3,2,,,,,,3,1,1,5,,1,1,47,,4,8,251,6,3,2,4,1,6,1,1,,,1,13,6,
190,3900,4328,,2,4,7,,8,,7,,,2,6,2,16,1,,,11,,,,,15,3,1,1,3,,1,6,3,3,,1,,,,,,11,,10,2,7,,42,,11,4,415,15,7,4,,,17,,,,,1,18,3,1
195,4050,4528,,3,3,7,,4,,7,,,,,1,8,,,,3,,,1,1,6,4,1,,1,1,,2,1,,,,1,,,,1,4,,3,,6,,68,,7,7,257,13,5,,7,,8,3,1,,,,4,3,
200,4200,4728,,2,3,6,,7,1,15,,2,4,,2,9,1,1,1,13,1,1,1,,8,9,4,,3,1,,27,2,,2,,12,,1,,5,3,2,6,,17,,86,,7,31,321,9,5,4,6,5,11,6,2,,,1,2,5,3
205,4350,4928,,4,5,5,,1,,37,,2,,,3,4,11,2,,4,1,1,,,9,5,3,,4,,,28,3,2,3,1,8,,,,6,2,,6,1,13,,83,,7,20,202,16,6,3,5,2,14,1,6,,,,9,5,1
210,4500,5128,,3,1,6,,2,,9,,4,,1,1,5,1,,,11,,2,1,,3,6,1,1,2,,,3,3,,1,,4,,,,2,4,,2,,8,1,86,,4,10,206,23,4,1,6,3,8,,1,,,,16,9,
215,4650,5328,,1,3,11,,9,,22,,1,,2,3,14,12,1,,18,,,1,,6,8,1,1,,,,12,2,4,8,,,,,,1,15,,8,,3,2,70,,13,13,401,2,9,5,5,2,1,2,1,,,5,24,9,
220,4800,5527,1,3,,8,,1,1,12,1,1,1,3,3,5,9,,,13,,,,,4,4,1,2,,,,10,2,,1,1,3,,,,2,4,,6,,4,1,72,,5,10,328,10,2,5,2,1,12,1,,,,,7,2,1
225,4950,5727,1,1,2,8,,5,,6,,1,1,3,2,8,4,,1,8,,2,,,4,,2,,,1,,6,1,1,2,,1,,,,,2,,2,,4,,60,,4,16,306,8,8,1,1,,8,1,1,,,,8,1,
230,5100,5927,2,1,2,14,,3,,18,,2,1,4,5,15,4,,,4,,,1,,7,4,1,1,,3,,3,9,,2,,,,,,1,9,,15,,3,,47,,11,17,565,5,6,,,,7,1,,,,,8,2,
235,5250,6127,,1,4,11,,2,1,24,,3,,5,1,8,5,1,,5,1,,1,,2,8,,2,1,,,5,3,,,,1,,,,1,6,,5,,,3,62,,2,11,328,8,12,3,5,1,6,5,,,,1,7,5,4
240,5400,6327,,2,7,13,,3,,27,,2,,2,3,11,,2,1,9,,2,,,5,,5,,,,,8,2,,,,4,,,,2,8,1,4,,8,,52,,10,16,383,16,4,3,4,2,5,,,,,,17,4,
245,5550,6527,2,,4,3,,4,,4,,1,5,2,1,30,3,1,1,9,,1,,,6,,,1,,1,,2,6,,2,,3,,,,2,5,,11,1,3,3,86,,5,20,292,6,6,,1,,1,5,,,,1,7,3,
250,5700,6726,,,3,8,,5,,10,,2,2,,1,5,2,,,4,,,,1,4,4,3,,,1,,1,1,,,,5,,,1,2,3,,14,,6,,43,,2,6,138,4,3,,1,,8,2,,,,1,,1,
