"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
359303,Carbon-14,Radiocarbon years BP,12.5,5,115,30,30,false,,GrN-19388,Dry, crumbling gyttja,Dry, crumbling gyttja.
359304,Carbon-14,Radiocarbon years BP,27.5,5,950,55,55,false,,GrN-19465,Dry, crumbling gyttja,
359305,Carbon-14,Radiocarbon years BP,37.5,5,1410,35,35,false,,GrN-18343,Dry, crumbling gyttja,
359306,Carbon-14,Radiocarbon years BP,57.5,7,1415,50,50,false,,GrN-15785,Dry, crumbling gyttja,
359307,Carbon-14,Radiocarbon years BP,90,10,1650,30,30,false,,GrN-16758,Dry, crumbling gyttja,
359308,Carbon-14,Radiocarbon years BP,107.5,5,2170,50,50,false,,GrN-19390,Dry, crumbling gyttja,
359309,Carbon-14,Radiocarbon years BP,125,10,2525,20,20,false,,GrN-16759,Dry, crumbling gyttja,
359310,Carbon-14,Radiocarbon years BP,145,5,2640,50,50,false,,GrN-19466,Dry, crumbling gyttja,
359311,Carbon-14,Radiocarbon years BP,180,10,3325,20,20,false,,GrN-16760,Gyttja,
359312,Carbon-14,Radiocarbon years BP,247.5,5,3985,60,60,false,,GrN-19463,Gyttja,
359313,Carbon-14,Radiocarbon years BP,290,10,4305,40,40,false,,GrN-16761,Gyttja,
359314,Carbon-14,Radiocarbon years BP,350,10,4605,40,40,false,,GrN-16762,Gyttja,
359315,Carbon-14,Radiocarbon years BP,385,10,5100,45,45,false,,GrN-19393,Gyttja,
359316,Carbon-14,Radiocarbon years BP,430,10,5730,100,100,false,,GrN-15786,Gyttja,
359317,Carbon-14,Radiocarbon years BP,460,10,6185,35,35,false,,GrN-19392,Gyttja,
359318,Carbon-14,Radiocarbon years BP,535,10,6630,45,45,false,,GrN-19391,Gyttja,
359319,Carbon-14,Radiocarbon years BP,565.5,9,7005,45,45,false,,GrN-19389,Gyttja,
359320,Carbon-14,Radiocarbon years BP,625,10,7790,50,50,false,,GrN-16763,Gyttja,
359321,Carbon-14,Radiocarbon years BP,680,10,6990,320,320,false,,GrN-15787,Gyttja,
359322,Carbon-14,Radiocarbon years BP,690,10,8445,65,65,false,,GrN-19464,Gyttja,
359323,Carbon-14,Radiocarbon years BP,729.75,9,8660,50,50,false,,GrN-16764,Gyttja,
359324,Carbon-14,Radiocarbon years BP,792.5,5,9390,50,50,false,,GrN-16770,Gyttja,
359325,Carbon-14,Radiocarbon years BP,845,10,9450,60,60,false,,GrN-16765,Gyttja,
359326,Carbon-14,Radiocarbon years BP,945,10,10190,60,60,false,,GrN-16766,Gyttja,
359327,Carbon-14,Radiocarbon years BP,1015,4,10040,120,120,false,,GrN-16767,Gyttja with silt,
359328,Carbon-14,Radiocarbon years BP,1045,10,11100,70,70,false,,GrN-16768,Gyttja with silt,
359329,Carbon-14,Radiocarbon years BP,1105,4,11370,70,70,false,,GrN-16769,Gyttja with silt,
359330,Carbon-14,Radiocarbon years BP,1140,4,12060,100,100,false,,UtC-4049,Seeds + wood (no Betula),
359331,Carbon-14,Radiocarbon years BP,1162.5,9,11730,110,110,false,,UtC-4050,Cytisus purgans and Betula branchlets,
359332,Carbon-14,Radiocarbon years BP,1195,10,11910,160,160,false,,UtC-4051,cf. Betula branchlets,
