labID,age,error,depth,cc
GrN-19388,115,30,12.5,1
GrN-19465,950,55,27.5,1
GrN-18343,1410,35,37.5,1
GrN-15785,1415,50,57.5,1
GrN-16758,1650,30,90,1
GrN-19390,2170,50,107.5,1
GrN-16759,2525,20,125,1
GrN-19466,2640,50,145,1
GrN-16760,3325,20,180,1
GrN-19463,3985,60,247.5,1
GrN-16761,4305,40,290,1
GrN-16762,4605,40,350,1
GrN-19393,5100,45,385,1
GrN-15786,5730,100,430,1
GrN-19392,6185,35,460,1
GrN-19391,6630,45,535,1
GrN-19389,7005,45,565.5,1
GrN-16763,7790,50,625,1
GrN-15787,6990,320,680,1
GrN-19464,8445,65,690,1
GrN-16764,8660,50,729.75,1
GrN-16770,9390,50,792.5,1
GrN-16765,9450,60,845,1
GrN-16766,10190,60,945,1
GrN-16767,10040,120,1015,1
GrN-16768,11100,70,1045,1
GrN-16769,11370,70,1105,1
UtC-4049,12060,100,1140,1
UtC-4050,11730,110,1162.5,1
UtC-4051,11910,160,1195,1
