,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,80.5,,2185.0,2230.0,2140.0,uncorrected radiocarbon date
,135.5,,3640.0,3690.0,3590.0,uncorrected radiocarbon date
,174.5,,4845.0,4900.0,4790.0,uncorrected radiocarbon date
,294.0,,9630.0,9700.0,9560.0,uncorrected radiocarbon date
