labID,"	age","	error","	depth","	cc",delta.R,delta.STD
KIA 12848,1263,68,380,1,-24.34,0.29
KIA 12849,1872,35,424.5,1,-19.23,0.13
KIA 17104,1585,30,425,1,-0.98,0.13
KIA 9503,803,92,455,1,-35.91,0.14
KIA 17099,1875,25,464,1,-0.7,0.13
KIA 8941,2056,128,504,1,-30.77,0.15
KIA 17103,2245,25,528,1,-3.84,0.07
KIA 9527,4663,48,528,1,-24.95,0.11
KIA 9914,1919,150,552,1,-30.16,0.17
KIA 17100,2515,25,576,1,-3.33,0.15
KIA 12850,2746,35,589,1,-21.07,0.13
KIA 17101,2565,25,617.5,1,-1.65,0.14
KIA 12851,2475,51,624,1,-19.32,0.18
KIA 17102,2650,25,644,1,-5.5,0.04
KIA 10322,2784,39,667,1,-13.3,0.07
KIA 12852,3197,50,692,1,-28.92,0.14
KIA 12853,4693,38,820,1,-29.76,0.26
KIA 9336,4415,53,844,1,-31.64,0.11
KIA 12854,6146,66,942.5,1,-32.62,0.13
KIA 12855,7440,51,1000,1,-26.67,0.15
KIA 12856,9318,54,1060.5,1,-30.04,0.08
KIA 12857,8806,46,1100,1,-30.97,0.17
