,"Depth (cm) [cm]","Sample age (cal yr BP) [cal yr BP]"
,0.0,4207
,15.0,9752
,25.0,9623
,25.0,9599
,53.0,9642
,115.0,9923
,115.0,9852
,125.0,9966
,160.0,10559
,,
