labID,"	age","	error","	depth",cc
Beta-102170,3160,100,40,1
Beta-105203,6290,90,61,1
Beta-102171,5930,80,68,1
Pta-7438,6310,70,69,1
Pta-7204,6820,45,82,1
Beta-1052021,9360,50,103,1
Beta-102172,10340,50,106,1
GrA-9008,11680,60,123,1
Beta-105205,12010,40,135,1
Pta-7442,25500,630,166,1
Beta-102173,27890,250,193,1
Pta-7205,26600,350,197,1
Beta-102174,30210,180,230,1
Pta-7207,30900,530,249,1
