,"depthcm [cm]","thickness [cm]","age [undefined]","ageup [years]","agelo [years]","rationale [undefined]"
,360.0,8.0,6800.0,6980.0,6620.0,uncorrected radiocarbon date
,570.0,8.0,8300.0,8400.0,8200.0,uncorrected radiocarbon date
