14C age (yr BP) [undefined],error [undefined],Depth (cm) [cm],Sample age (cal yr BP) [cal yr BP],name [undefined],preparedby [undefined],dateprepared [undefined],model [undefined],notes [undefined]
,,350,7590.452,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
6800,180,360,,,,,,
,,380,7821.595,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,400,7975.69,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,410,8052.738,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,430,8206.833,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,450,8360.929,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,460,8437.977,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,490,8669.119,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,500,8746.167,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,510,8823.214,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,520,8900.262,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,530,8977.31,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,540,9054.357,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
,,550,9131.404,Calendar Chron,Lewden D.,18/11/2005,Linear interpolation with calibrated ages (Calib 5.0.1),Precision: 1 sigma
8300,100,570,,,,,,
,,580,0,,,,,
,,590,0,,,,,
,,600,0,,,,,
,,630,0,,,,,
,,640,0,,,,,
,,650,0,,,,,
,,660,0,,,,,
,,670,0,,,,,
,,680,0,,,,,
,,700,0,,,,,
,,710,0,,,,,
,,720,0,,,,,
,,730,0,,,,,
,,740,0,,,,,
,,750,0,,,,,
