Depth,Calendar years BP,Foraminiferatest,Lycopodium spikecounted,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acacia,Acer,Achillea-type,Alisma,Allium,Alnus,Amaranthaceae,Anogramma leptophyllaspore,Anthoceros laevisspore,Anthoceros punctatusspore,Apiaceae undiff.,Apium,Arbutus,Arceuthobium oxycedri,Arctium,Artemisia,Asparagus,Asphodelus albus-type,Asplenium-typespore,Aster-type,Astragalus-type,Betula,Borago,Botryococcuscolony,Brassicaceae,Buxus,Callitriche,Campanula-type,Cannabis,Carduus-type,Carlina,Carpinus betulus,Carthamus-type,Caryophyllaceae undiff.,Castanea,Celtis,Centaurea cyanus-type,Centaurea nigra-type,Centaurium,Centranthus,Cerastium-type,Ceratonia,Ceratophyllumspine,Cercophora-typespore,Chaerophyllum temulum-type,Chamaerops,Cheilanthesspore,Cichorioideae,Cistus,Citrus,Cladium mariscus,Coelastrum reticulatumpalynomorph,Colchicum,Coniochaetaspore,Convolvulus-type,Cornus sanguinea,Corrigiola litoralis,Corydalis,Corylus,Crocus,Cuscuta,Cyclamen hederifolium,Cynoglossum officinale-type,Cyperaceae,Cyperus-type,Daucus,Delitschiaspore,Dinoflagellatacyst,Dioscorea,Dryopteris filix-mas-typespore,Echium,Ephedra,Equisetumspore,Erica-type,Eryngium,Eucalyptus,Euphorbia,Euphrasia,Fabaceae undiff.,Fagus,Falcaria-type,Ficus carica,Filago-type,Filipendula,Fraxinus angustifolia subsp. oxycarpa-type,Fraxinus ornus-type,Fumaria,Galium-type,Gelasinosporaspore,Genista-type,Gentianaceae,Geranium,Glaucium,Glomusspore,Hedera helix,Helianthemum,Herniaria,Hippophaë,Humulus,Hypericum,Iris pseudacorus-type,Isoëtesspore,Juglans,Juncaceae,Juniperus-type,Knautia,Lamiaceae,Lavandula-type,Lavatera,Liliaceae undiff.,Limonium,Linaria,Linum,Linum catharticum-type,Listera-type,Lotus,Lygeum spartum,Lysimachia vulgaris-type,Lythrum,Lythrum portula,Malva-type,Matthiola-type,Mentha-type,Mercurialis annua,Morus,Mougeotiapalynomorph,Myriophyllum alterniflorum,Myriophyllum spicatum,Myrtus,Neurosporaspore,Nymphaea,Nymphaeahair,Odontites-type,Oenanthe,Olea,Ophioglossum lusitanicumspore,Orlaya,Ornithogalum-type,Ornithopus,Osmundaspore,Ostrya/Carpinus orientalis-type,Papaver,Paronychia-type,Pediastrumcolony,Persicaria maculosa-type,Peucedanum-type,Phillyrea,Phlomis,Picea,Pimpinella major-type,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polypodiumspore,Polystichumspore,Populus,Potamogeton-type,Potentilla-type,Primula clusiana-type,Prunus-type,Pseudoschizaeapalynomorph,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Pteridophyta (trilete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Radiola linoides,Ranunculus acris-type,Ranunculus aquatilis,Reseda,Ricciaspore,Rosa,Rosaceae,Rubus,Rumex acetosa-type,Rumex acetosella-type,Ruppia,Salix,Salsola-type,Sambucus,Sanguisorba minor-type,Saxifraga rotundifolia,Scabiosa,Scilla-type,Scrophulariaceae,Scutellaria-type,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Sinapis-type,Smilax,Solanum dulcamara,Solanum nigrum-type,Sorbus,Spergula-type,Spiniferitesspore,Spirogyrapalynomorph,Sporormiellaspore,Stachys-type,Styrax,Tamarix,Taxus,Tetraëdronpalynomorph,Teucrium,Thalictrum,Theligonum cynocrambe,Thymelaeaceae,Tilia,Trifolium pratense-type,Trifolium repens-type,Typha/Sparganium-type,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Ustulina deustaspore,Utricularia,Valeriana,Valerianella,Verbascum-type,Veronica-type,Vicia-type,Vitex,Vitis,Zygnema-typezygospore
0,--/-62/--,,493,62545,1,,,,3,,,3,27,,,,,,,,,6,,,,1,,2,,14,2,,,,,,,,,,,,,,,,,,158,,,,,2,,,,,,4,,,,,4,,,,,15,,,,11,,,,,,9,,,,,,,,,,,5,,2,,,,,,,1,,,,,,,,2,,,56,,,,,,,1,,,,2,,,,,,,,,,,,30,3,,,,,,26,,2,,,,3,,,,,,7,,3,,124,38,,4,,1,,63,13,,,,,4,,,,,,,,37,8,11,,1,,,,,,,3,3,,1,1,,,2,,,,,1,,,,,,,,,,,,,1,3,,22,,,,,,,,,,12,,7,,,,,,,,,,,
10,--/-45/--,,530,62545,1,,,,2,,,5,9,,1,,,,,,,2,,,,2,,2,,16,15,,,,,1,,,,1,,,,,,,,1,249,,,,1,10,7,,,,,1,,,,,1,,,,,19,,,,9,,,,1,,20,,,1,,,,,,,,5,,3,,1,5,,,,,,3,,,,,,3,,,43,,1,,,,,,,,,4,,,,,,,,,,,,111,,,,,,,30,,,,,,5,,,,,,1,1,,,98,61,,13,,,,57,11,,,,,1,,,1,,,2,,30,11,11,,1,,,,,,,3,5,2,2,,,,4,,,,,,1,,,,,,,,,,,,1,3,1,5,,,2,2,,,,,,,2,,,,,,,,,,,1,
20,--/-29/--,,1415,62545,1,,,1,6,,,4,17,,7,,,,1,,1,13,,4,,8,,5,,23,6,,,,,2,,,2,1,,,,,,,,,370,4,,,,13,8,1,,,,16,,,,,,,,,,26,,,,9,,,1,,,20,2,,1,,,,,,4,,4,,,,3,6,,,1,,,1,,,,4,,5,,,36,,5,,,3,,,,,,,,,,,,,,1,,,,151,6,,,,,,20,,1,,,,1,,,,,,4,,,,49,45,2,11,,,,48,10,1,,,,1,,,,,,1,,53,21,11,,,,,,1,,,5,1,2,3,4,,,2,,,,,1,,,,,,,,,,,,1,23,11,,3,,,1,2,,,,,,11,2,4,,,,,,,1,,,4,3
30,--/-12/--,,614,62545,1,,1,,4,,3,6,4,1,1,,,,2,,,2,,,,5,,5,,41,6,,,,1,1,,,,,,,,,,,,,230,,,,,11,10,,,,,1,1,,,,1,,,,,37,,,,15,,,,,,23,2,,,,3,,,,10,,2,,3,,,4,,,,,,,,,,1,,3,,,47,,1,,,,,,,,,,,,,,,1,1,,,,,179,3,,,,,,21,,,,,,12,,,,,,2,3,,,45,53,1,19,,3,,40,20,1,,,,1,,,,,,,,47,15,6,,4,,,,,,,6,9,,2,1,,,2,,,,,,,,,,,,,,,,,,5,12,3,13,,,3,3,,,,,,10,2,8,,,,,,,8,,1,,
40,--/4/--,,723,62545,1,2,,,,,,11,11,,,,,,,,,4,,1,,3,,1,,27,13,1,1,,,2,,,,1,1,,,,,,,,253,,,,,17,13,,,,,3,,,,,2,,,,,34,,,,8,,,,,,17,,1,2,,,,,,,,1,,3,,,1,,2,,,,,,,,1,,4,,,40,,1,,,,,1,,,,4,,,,,,1,1,,,,,226,,,,,,,21,,,,,,10,,,,,,,,,,52,49,,17,,,,59,12,,,,,,,,,,,4,,57,9,9,,4,1,,,2,,1,8,8,,,,,,,,,3,,3,1,,,,,,,,,,,,3,6,1,4,,,1,,,,,,,7,1,7,2,,1,,,,5,,,2,
50,--/21/--,,482,62545,1,,,,2,,,10,8,,,,,,,,,4,,1,,,,2,,39,7,1,,,,,,,,1,,,1,,,,,,264,,,,,11,6,1,,,,,,,,,3,,,,,31,,,,3,,,,2,,25,1,,2,,,,,,1,,2,,,,,1,,2,,,,,,,,,,3,,,29,,1,,,,,,,,,,,,,,,,,1,,,,209,2,,,,,,28,,,,,,5,,,,,,2,,,,73,52,1,11,,1,,68,5,,,,1,1,,,,,1,,,58,10,5,,,,,,,,,6,4,,4,,,,,,,1,,,,,,,1,,,,,,,,4,9,2,13,,,5,5,,,,,,11,3,6,2,,1,,,,3,,1,7,
60,--/37/--,,693,62545,1,,1,,2,,,5,8,,1,,,,,,,11,,1,,5,,4,,13,11,,,,,3,,,,1,,,,1,,,,,182,,,,,12,2,,,,,,,,,,3,,,,,31,,,,9,,,,,,13,,,,,,,1,,1,,3,,,1,,,,,1,,,1,,,,,,1,,,28,,3,,,1,,,,,,,,,,,,,,,,,,205,2,,,,,,19,,,,,,5,,,,,,2,,,,107,53,,19,1,2,1,79,8,,,,,2,,,,,,3,,65,2,5,,2,1,,,,,,5,4,1,1,,,,,,,,,,1,,,,,,,,,,,,6,5,,5,,,2,,,,,,,16,1,8,1,,,,,,1,,1,,
70,--/54/--,,630,62545,1,,,,,,,6,9,,3,,,,2,,,9,,1,,5,,6,,25,2,,,,1,,,,1,1,,4,1,,,,,,275,1,,,,11,10,,,,,13,,,,,,,,,,30,,,,14,,,,,,21,3,,,,,,,1,4,,2,,,1,,5,,2,4,3,,8,,,,5,,13,,,15,,1,,,4,,,,,,,,,,,,,,,,,,304,5,,,,,,30,,,,,,14,,,,,,8,,,,60,49,,31,,1,,53,15,,,,1,3,,,,,,,1,21,4,12,,,,,,,,,7,1,,4,,,,,,3,,,8,2,,,,,,,,,,,7,15,11,,6,,1,,5,1,,,,,11,,6,1,,,,,,,,,6,
80,--/71/--,,601,62545,1,,1,,3,,,,5,,1,,,,,,1,4,,,1,3,,1,,12,10,2,,,,1,,,,3,1,,,,,,,,99,,,2,1,4,7,,,,,2,,,,,2,,,,,31,,,,1,,,,,,6,2,,,,,,,,3,,1,,1,,,,,,,,,,,,,,,2,,,23,,6,,,,,,,,,,,,,,,1,1,,,,,264,3,,,,,,19,,,,,,5,,,,,,3,,2,,132,43,2,11,,1,,49,24,,,,1,,,,,,2,4,,63,7,14,,4,,,,,,,8,2,1,3,,,,,,,,,,1,,,,2,,,,,,,,2,1,2,10,,,4,,,,1,,,5,5,1,,,,,,,,,,3,1
90,--/87/--,,526,62545,1,,,,3,,,11,8,,,,,,,,,6,,,,5,,8,,27,16,1,1,,,1,,,,3,,,,,,,,,27,,,1,,12,8,,,,,1,,,,,3,,,,,61,,,,,,,,,,13,2,,1,,,,,,2,,3,,3,1,,,,,,,,,,,,2,,11,,,28,,1,,,,,2,,,,1,,,,,,,1,,,,,691,4,,,,,,36,,1,,,,5,,,,,,1,,,,25,53,,21,3,,,94,33,,,,2,,,,,,,1,2,45,12,4,,5,,,,,,,3,12,1,1,3,,1,,,1,2,,1,3,,,,,,,,,,,,3,2,,,,,1,,,,,,1,6,,5,2,,,,,,,,,,
