Depth,Calo et al. (2013)Calendar years BP,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Sample quantityvolume,Abies,Acer,Alisma-type,Allium-type,Alnus glutinosa-type,Alnus viridis-type,Amaranthaceae-type,Ammi-type,Anogramma leptophyllaspore,Anthemis-type,Anthoceros laevisspore,Anthoceros punctatusspore,Anthriscus sylvestris-type,Apiaceae,Arbutus,Arnoseris,Artemisia,Asparagus,Asplenium-typespore,Aster-type,Asteroideae,Astragalus-type,Berberis,Betula,Botrychiumspore,Botryococcuscolony,Brassicaceae,Bupleurum,Calendula,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Cedrus,Celtis australis,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Cercophora-typespore,Cheilanthes-typespore,Cichorioideae,Cistus,Corylus avellana,Crataegus-type,Cuscuta,Cyperaceae,Cyperus-type,Daphne,Daucus,Diporothecaspore,Dryopteris filix-mas-typespore,Echium,Ephedra distachya-type,Ephedra fragilis-type,Erica arborea-type,Erodium,Euphorbia,Fabaceae,Ficus carica,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Glomusspore,Gnaphalium-type,Helianthemum,Heliotropium,Herniaria-type,Hypericum perforatum-type,Jasione,Juglans regia,Juniperusstomate,Juniperus-type,Lamiaceae,Ligustrum,Liliaceae-type,Limonium,Linaria-type,Lithospermum officinale,Lonicera,Lotus-type,Lythrum portula,Malvaceae,Matthiola-type,Mentha-type,Mercurialis annua,Microthyriumspore,Microthyriumfruit body,Morus,Myrtus communis,Odontites-type,Olea,Ononis-type,Ophioglossum lusitanicumspore,Ornithopus,Ostrya-type,Paronychia-type,Phillyrea,Phlomis,Picea,Pinus,Pinusstomate,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Potamogeton-type,Potentilla-type,Prunus-type,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus ilex-type,Quercus pubescens-type,Quercus suber-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda,Rhamnus,Rhinanthus,Rhus,Ricciaspore,Rosaceae,Rubiaceae,Rubus,Rumex acetosa-type,Rumex obtusifolius-type,Rumex-type,Sagina,Salix,Sambucus nigra,Scabiosa,Sedum-type,Selaginella denticulataspore,Senecio-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sporormiellaspore,Thalictrum,Theligonum cynocrambe,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Ulmus,Urtica,Urtica dioica-type,Urtica membranacea-type,Urtica pilulifera,Ustulina deustaspore,Verbascum,Viola,Vitis
8,--/-47.3/--,650,18584,2,1,,,,,1,,3,,,,,,,,1,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,36,,3,,3,,,,1,,,,2,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
12,--/-42.5/--,830,18584,2,1,,,,,2,,7,,,3,,,,,1,,10,,,,,,,1,,6,8,,,,,,,,,,,,,,,,,,2,,1,1,,4,,,,,,,,,15,,1,,,,,,,,1,,,,1,,,,3,,,,,,,,1,,,,,,,,,,1,12,,,,,,11,,,37,,8,,2,,,,20,1,,,2,,,,,,14,,,,,,,,,,,1,,,,11,,,,,,,2,,,,,,,,,,1,,,10,,,,,1,1
24,--/-28/--,600,18584,2,1,,,,,,,2,,,,,,,,,,2,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,30,,1,,,,,,1,3,,,3,,,,,,22,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,
32,--/-18.3/--,1100,18584,2,1,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,52,,,,,,,,,,,,6,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,
40,--/-8.6/--,1300,18584,2,1,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,2,,,,,,,,,82,,,,1,,,,,1,,,12,,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,
48,--/1/--,649,18584,2,1,,,,,,,3,,,1,,,,,1,,1,,,,,,,,,,1,,,,,1,,,,,,,,,,,,,1,3,,,,3,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,13,,,,,,,,,55,,1,,,,,,,,,,2,,,,,,30,,,,,,,,,,,,,,,,,,,,,,,,,1,,,2,,,,,,1,,,,,,,
56,--/10.7/--,1330,18584,2,1,,,,,,,4,,,2,,,,,12,,23,,,1,,,,1,,,9,,,,,1,,,,,,,,,,,,,3,3,2,,,8,,,,,,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,18,,,,,,,,,67,,4,,,,,,,,,,5,,,,,,38,,2,,,,,,,,,,,,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,
64,--/20.4/--,1648,18584,2,1,,,,,,,4,,,3,,,,,7,,4,,,,,,,,,,7,,,,,1,,,,,,,,,,,,,1,4,,,,14,,,,,,,,1,4,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,10,,,,,,,,,43,,5,,1,,,,,4,,,1,,,,,,17,,,,,,,,,,,,,,,9,,,,,,,,,,,,1,,,,,,,4,,,,,,,
76,--/34.9/--,873,18584,2,1,,,,,1,,11,,,9,,,,,,,13,1,,7,,,,,,11,8,,,,,,,,,,,,,,,1,1,,7,,1,,,6,3,,,,,1,,2,10,,1,,,,,,,,1,1,,,,,,,1,,,,1,2,1,,,,,,,3,,,1,,,11,,,,,1,10,,,59,,12,,2,,3,1,14,2,,,2,1,,,,,28,,2,,,1,,,,,,,,2,,54,,,,1,1,,4,1,,,,2,,2,,1,,,,14,1,,,1,,4
92,--/54.2/--,1042,18584,2,1,,,,,,,2,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,62,,2,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,
