Depth,Calendar years BP,Eucalyptus spikecounted,Eucalyptus tabletsconcentration,Eucalyptus tabletsquantity added,Sample quantityvolume,Abies,Acer,Alnus,Amaranthaceae,Anagallis arvensis-type,Anthemis-type,Apiaceae undiff.,Artemisia,Asphodelus-type,Betula,Brassicaceae,Bupleurum-type,Buxus,Cannabaceae,Carpinus betulus,Caryophyllaceae,Castanea,Cedrus,Centaurea cf. C. cyanus-type,Centaurea solstitialis-type,Chrysosplenium-type,Cichorioideae,Cirsium,Cistus,Corylus,Cupressaceae-type,Cyperaceae,Digitalis-type,Dipsacoideae,Ephedra distachya,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Galium-type,Helianthemum,Hippophaë,Indeterminable/spore,Larix-type,Liliaceae,Mentha-type,Menyanthes trifoliata-type,Mercurialis,Myriophyllum alterniflorum-type,Myriophyllum spicatum-type,Onobrychis-type,Ostrya,Pedicularis,Phillyrea,Picea,Pinus,Pistacia,Plantago,Poaceae,Polypodiophyta (monolete)spore,Populus,Potamogeton,Potentilla-type,Primulaceae undiff.,Quercus (deciduous),Quercus (evergreen),Ranunculus,Rosaceae undiff.,Rumex,Salix,Sambucus,Saxifragaceae undiff.,Scilla-type,Scrophulariaceae,Scutellaria-type,Solidago-type,Sorbus,Tamarix,Thalictrum,Tilia,Typha angustifolia,Ulmaceae,Urtica-type,Valeriana,Veronica-type,Vicia-type
13.05,--/49599.7/--,811,42500,1,0.8,44,5,2,19,1,,1,16,2,22,3,,,,9,1,,,,1,,11,3,,3,4,2,,,,1,,4,,,19,,2,1,,,17,,,,,,,,,3,,,,34,,2,172,1,,,,,54,,1,,1,1,1,,,1,,1,,,2,1,2,9,2,,,
13.45,--/49607.8/--,622,42500,1,0.8,152,7,8,44,,5,5,50,1,29,12,,2,,12,5,,,,1,1,9,,,2,2,8,3,,,4,2,2,,,39,1,5,,,,22,,,,2,,1,,,3,,,,104,1,7,246,,,2,,1,129,1,6,,4,1,2,1,,,,6,1,,1,3,2,11,,,4,
13.55,--/49609.8/--,1557,66900,1,0.8,143,5,4,26,,8,4,22,,13,3,,,,1,2,,,,1,,6,2,,,1,5,,,,,1,,,,24,2,8,6,1,,27,2,1,,,,,,,14,,,,85,,1,134,,,2,,,83,1,4,,2,1,,,,,,3,,,1,,9,4,1,,,
13.65,--/49611.8/--,499,42500,1,0.7,143,5,2,30,,1,1,47,1,24,6,,,,4,2,,,,1,,3,2,,3,1,8,,1,1,,,,,,9,,3,8,2,,21,,,1,,,,2,,5,,,,63,,3,158,2,1,3,,,95,1,3,1,,,1,,1,2,,4,,,2,,,8,,,1,
13.85,--/49615.9/--,700,42500,1,0.7,61,7,,24,,2,4,38,,10,3,,1,,7,10,,,1,,,2,3,,2,3,11,,,1,,7,,,,22,,5,3,,1,14,,,1,,,,1,,7,,,1,44,,1,113,,1,1,,,75,1,,,5,,,1,,1,1,1,1,1,1,1,3,2,,,,
14.05,--/49619.9/--,814,42500,1,0.6,65,2,5,34,,1,1,41,1,17,7,1,,,5,6,,1,,,,6,1,,4,2,10,,,,,22,3,,,47,,2,9,,1,17,,,,,1,,2,1,2,,,,53,,3,149,1,,2,1,,116,,1,,7,1,,,1,1,,,,,1,1,1,5,2,,1,
14.15,--/49621.9/--,564,42500,1,0.8,100,6,9,69,,6,7,91,1,42,8,1,,,13,2,,,1,,,3,3,,7,7,15,,,1,4,,,,1,26,,24,18,2,,27,,,,,,,,,3,,,2,121,,3,290,3,1,3,,,164,5,5,,8,,1,,3,1,,4,,,1,2,15,12,,,1,
14.25,--/49623.9/--,568,42500,1,0.8,64,3,3,38,,7,15,98,,37,3,,,1,11,1,1,,,1,,8,2,2,5,8,16,,,6,2,12,,,,25,,7,2,2,2,17,,,,,2,,,,4,1,,2,109,,1,198,,1,3,,,123,,1,2,5,2,,,,1,,2,,,2,3,6,13,3,1,,
14.35,--/49626/--,579,42500,1,0.8,92,4,5,47,,6,13,69,1,44,4,1,,,12,2,,,,,,4,2,,2,7,11,,,3,3,,1,2,,34,,12,5,4,,22,,,,1,1,,,,1,,1,1,110,,8,217,1,,3,,1,135,3,,1,3,1,,1,1,,,1,,,5,2,2,4,,,1,
14.45,--/49628/--,497,42500,1,1,75,2,2,33,,3,9,40,,21,3,,1,,4,,,1,,,,4,3,,2,2,7,,,1,,11,1,,,26,,2,7,,3,15,,,,,,,,,,,,,37,,1,90,,,1,,1,80,2,1,,1,1,,1,2,,,,,,1,,3,5,1,,1,1
14.55,--/49630/--,1003,42500,1,1.2,73,11,7,48,,7,7,69,,36,5,,,,2,3,,1,,2,,4,2,,5,5,13,,1,,4,7,,,1,32,1,10,10,2,,6,,,1,1,,,,,1,,,,59,,5,163,2,,1,,,136,1,,1,6,2,,,,1,,1,,,2,,1,9,,,2,
15.35,--/49635.2/--,982,42500,1,0.8,72,8,,52,,6,9,46,,39,6,,3,,6,3,,1,,,,8,2,1,3,11,10,,,,4,9,1,,,22,2,6,6,5,,11,,,,,,,1,,7,,,,53,,2,213,,,,,,169,4,3,,2,,,1,1,,,2,,,1,1,5,5,,,,1
15.55,--/49640.7/--,493,42500,1,0.8,41,8,4,25,,4,6,54,,39,7,,,,5,4,,,,1,,4,6,,4,5,5,,,,,1,3,,,28,1,2,6,2,1,13,,,1,1,,,1,,5,,,,49,,4,108,2,,,,,96,4,,,1,1,,,1,,,4,,,1,2,1,13,,,,
