Depth,Lycopodium spikecounted,Lycopodium tabletsconcentration,Lycopodium tabletsquantity added,Tinner et al. (2016)Calendar years BP,Abies,Acer,Alisma-type,Alnus glutinosa-type,Amaranthaceae-type,Anthemis-type,Anthoceros laevisspore,Anthyllis,Apiaceae undiff.,Apium-type,Artemisia,Asphodelus albus-type,Aster-type,Asteroideae,Astragalus-type,Betula,Brassicaceae,Bupleurum,Calligonum,Callitriche,Caltha-type,Cannabis sativa,Carduus,Carlina,Carpinus betulus,Carthamus,Castanea sativa,Centaurea nigra-type,Centaurium,Cerastium-type,Ceratonia siliqua,Ceratophyllumspine,Cercophora-typespore,Cerinthe,Chaerophyllum hirsutum-type,Cichorioideae,Cirsium,Corrigiola litoralis,Corylus avellana,Cuscuta,Cyclamen hederifolium,Cyperaceae,Cyperus-type,Daphne,Daucus,Dianthus superbus-type,Echium,Ephedra fragilis-type,Erica arborea-type,Erodium,Eryngium,Eucalyptus,Fabaceae,Fagus sylvatica,Falcaria-type,Fedia cornucopiae,Foeniculum-type,Fraxinus excelsior-type,Fraxinus ornus,Gelasinosporaspore,Genista-type,Geranium,Geum-type,Gladiolus-type,Glomusspore,Gnaphalium-type,Helianthemum,Heliotropium,Heracleum,Hypericum perforatum-type,Ilex aquifolium,Iris pseudacorus-type,Isoëtesspore,Juglans regia,Juncaceae,Juniperus-type,Lamiaceae,Lemnoideae,Liliaceae-type,Limonium,Linum austriacum-type,Lithospermum officinale,Lythrum portula,Malvaceae,Medicago falcata-type,Mentha-type,Mercurialis annua,Minuartia rubra-type,Moehringia-type,Montia,Morus,Myriophyllum alterniflorum,Nigella,Oenanthe,Olea,Ophioglossum vulgatumspore,Orlaya grandiflora,Ornithogalum-type,Ostrya-type,Papaver rhoeas-type,Paronychia-type,Pediastrum angulosumcolony,Peucedanum-type,Phillyrea,Phragmites australis,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Platanus,Poaceae,Poaceae (Cerealia),Podospora-typespore,Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Prunus-type,Pseudopediastrum boryanum var. boryanum sensu latocolony,Pseudopediastrum boryanum var. longicornecolony,Pteridium aquilinumspore,Pteridophyta (monolete) undiff.spore,Quercus cerris-type,Quercus ilex-type,Quercus pubescens-type,Ranunculus acris-type,Ranunculus sect. Batrachium,Reseda-type,Robinia pseudoacacia,Rosa,Rosaceae undiff.,Rubiaceae,Rubus,Rumex acetosa-type,Rumex scutatus-type,Sagina,Sagittaria,Salix,Sambucus nigra-type,Sample quantityvolume,Sanicula europaea,Saxifraga granulata-type,Scabiosa,Scleranthus,Scrophularia-type,Senecio-type,Serratula-type,Silene dioica-type,Silene vulgaris-type,Silenoideae-type,Smyrnium-type,Sparganium-type,Spergula-type,Sporormiellaspore,Taxus baccata,Thalictrum,Trifolium pratense-type,Trifolium repens-type,Tuberaria,Turgenia latifolia,Typha latifolia-type,Ulmus,Urtica dioica-type,Urtica membranacea-type,Utricularia,Vicia-type,Vitis
155,111,18583,3,--/1539.9/--,,,,1,,34,,,8,,2,1,6,,,,14,4,,,,,6,3,,1,,19,,,,,12,,4,87,,,1,,,3,,,,,,,,1,1,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,5,,,,46,3,1,,361,4,5,,,,,,,,,1,1,1,4,2,,,,,,1,,,,,,,,1,,,,,,1,2,1,,5,,,1,90,,,,17,,,,,,,,,
165,97,18583,3,--/1642.86/--,,,,1,2,40,,,7,,3,2,14,,,,2,,,,,,4,2,,,,20,,,,,2,,,103,,,,,,9,1,,,,,,2,,,,,1,,,,,,,,,,4,,5,,,,,,,,,,1,,,1,,,,,,,1,,,2,,,,,,1,,,,,,,,,,,,,,66,1,,,300,5,1,,,,,,,,1,,,2,6,,,,,,,2,,1,,,,,,1,1,,1,1,,4,,3,1,3,,,3,21,,,1,9,,,,,,,,1,
175,147,18583,3,--/1745.82/--,,,,1,1,40,,,9,,3,5,12,1,,,3,,,,,,3,2,,2,,9,,,,,1,,,90,,,2,1,,3,3,,,,,1,4,,,,,2,,,,,,,1,,,4,,,1,,,,,,,,,,,,,,,,,,,,,,3,,,,,,1,,,,,,,,,,6,,1,,71,3,3,,272,1,1,,,,,,,,,,1,2,24,,,,,,,4,,,,,,,,1,,,,,,,4,1,,2,4,,1,16,,,3,8,,,,,,,,,
185,127,18583,3,--/1848.79/--,,,,1,,26,,,5,,3,6,25,,,,,,,,,,4,1,,1,,5,,,,,1,,,77,,,,,,3,1,,,1,,1,1,,2,,2,8,,1,,,,,,1,,2,,3,,,,,,,,1,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,1,,67,1,,,212,1,,,,,,,,,1,2,1,2,18,1,3,,,,,4,,2,,,,,,1,,,,1,,,,1,3,4,,,,2,,,,9,,,,,,,,,
195,159,18583,3,--/1951.75/--,,,,2,2,42,,,5,,5,2,20,1,,,1,,,,,,17,1,,,,7,,,,,,,,34,,,1,,,3,1,,,1,,1,,,,,,1,,1,,,,,1,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,2,1,,,,,,,,1,,63,4,5,,208,,,,,,,,,,1,3,3,2,28,2,,,,,,1,,2,,1,,,,1,,,,1,,,,,1,8,,,,,,,3,10,1,,,,,,,,
205,131,18583,3,--/2054.71/--,,,,1,,36,,,18,,4,2,25,2,,,4,,,,,,4,2,,,1,10,,,,1,5,,,94,2,,,,,8,2,1,,1,,,1,1,,,,1,,1,,,,,1,1,,1,,2,,,,,,,,,1,1,,,,,,,,,,,,,2,,,,,,1,,,2,,,,,,,,,3,,64,2,1,,282,6,3,,,,,,,,,,1,3,10,1,,,,,,1,,2,,,,,,1,,,,2,,,,2,1,4,,,8,67,,,1,9,,,,,,,,,
215,125,18583,3,--/2157.67/--,,,,,,59,,,11,,1,1,25,,,,,1,,,,,4,,,1,,10,,,,,1,,,28,,,1,,,1,,,,,,,,1,1,,,6,,,,,,,,2,,2,,3,,,,,,,,2,,,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,,,,1,,125,,,,121,3,,,,,,,,,,4,2,2,24,,,,,,,1,,1,,,,,,1,,,,2,,,,1,13,3,,,,,,,5,23,,,,,,,,,
225,89,18583,3,--/2260.63/--,,,,1,,140,,1,4,,1,2,25,2,,,,,,,,,3,2,,,,3,,,,1,,,,27,,,,,,1,1,,,,,,1,,,,,3,,1,,,,,1,,,2,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,,,,,,,,,,,,4,,1,,111,5,,,176,1,,,,,,,,,,,1,,12,4,,,,,,,,1,,,,,,1,,,,1,,,,,,3,,,,,,,,21,,,,,,,,,
235,159,18583,3,--/2363.59/--,1,,,2,,370,,,5,,3,,15,,,1,,,,,,,4,2,,,,4,,,,,,,,32,,,,,,,,,,,,2,,,4,,5,1,,,,,,,,1,,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,2,,49,3,,,153,11,,,,,,,,,,,,1,10,2,1,,,,,1,,,,,,,,1,,,,1,,,1,1,2,5,,,,,,,2,15,,,,,,,,,
245,473,18583,3,--/2466.55/--,,,,,,142,,,2,,1,,4,,,,,,,,,,1,6,,,,5,,,,,,,,12,,,2,,,1,,,,1,,,2,,,,,4,,,,,,,,,,1,,,,,,1,,,,,,,,,3,1,,,,,,,,,2,,,,,,1,1,,,,,,,,,,,1,,15,1,1,,33,,,,,,,,,,2,1,,1,3,,3,,,,,,,,,,,,,1,,,,,,,,1,,,1,,,,,,3,137,,,,,,,,,
255,1240,18583,3,--/2569.52/--,,1,,,1,27,,,7,,,1,5,,,,,,,,,,4,17,,1,,8,,,,,,,,17,,,,,,2,1,,,2,,,5,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,,1,,46,,,,,,,,,,2,2,1,2,5,,3,,,,,1,,,,,,,,1,,1,,,,,2,4,3,3,,,,,,,,2,1,,,,,,,,
265,403,18583,3,--/2672.48/--,,,,1,,23,,2,6,,1,,8,,,,1,,,,,1,2,1,,,,3,,1,,,4,,,105,,,,2,,2,2,,,,,,3,2,,,,1,,,,,,,,,,1,,,1,,,,,,,,,,1,,1,,,,1,,,,,,1,,,,,8,1,,,,,,,,,,,,2,,50,2,,,156,4,2,,,,,,,,1,1,1,1,5,,,,,,,2,,,,,,,,1,,,1,1,,,,,2,3,,,8,36,,,1,10,,,,,,,,,
295,486,18583,3,--/2981.36/--,,,,1,,10,,,10,,2,1,1,1,,,3,,,,,1,1,1,,1,,11,,,,1,13,,,161,,,,,,6,1,,,,,,,2,,,,,,,,,,,,2,,1,,3,2,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,1,,40,1,2,,83,2,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,1,,,,1,,4,,,,4,,1,3,60,,,,11,,,,,,,,1,
315,654,18583,3,--/3187.28/--,,,,2,1,17,,,14,,5,3,7,2,,,1,,,,,,4,,,,,22,,,,,11,,3,175,,,,,,5,3,,,,,,,,,,,,,,,,,,,,,,,7,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,44,,,,74,1,3,,,,,,,,,1,,,2,,,,,,,2,,,,,,,,1,,,,,,,,2,3,4,2,,4,52,,,,7,,,,,,,,,
335,267,18583,3,--/3393.21/--,,,1,1,,14,,,10,,3,1,11,,,,4,,,,,,4,2,,,,20,,,,,4,,1,106,,,,,,14,,,,,,1,1,,,,,2,,,,,,,,1,,1,,1,1,,1,,,,,,,,,,,,,,,,,,,,2,,,,,,,,1,1,,1,,,,,,,1,,56,1,1,,192,1,2,1,,,,,,,,,3,1,8,2,,,,,,2,,,,,,,,1,,,,,,,,,3,3,,,12,53,,,1,3,,,,,,,1,,
365,978,18583,3,--/3702.09/--,,,,,2,25,,,10,,3,1,12,1,,,3,,,,,,4,1,,1,,17,,,,,1,,,116,,,,,,5,,,,,,,1,,,,1,2,,,,,,,,1,,,,3,,,,,1,,,,,1,,,,,,,1,1,,,,,,,,,,2,3,,,,,,,,,,5,,1,,50,1,1,,166,1,,,,,,,,,,,,,2,,,,,,,,,,1,,,,,1,,,1,1,,,,,2,1,,,2,8,,,,3,,,,,,,,,
