Depth,EPDRadiocarbon years BP,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,Abies,Acer,Alisma,Alnus,Amaranthaceae,Apiaceae,Armeria/Limonium,Artemisia,Artemisia herba-alba-type,Asphodelus,Asteroideae,Betula,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus,Buxus,Calligonum,Caltha,Campanulaceae,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea undiff.,Cichorioideae,Cladium mariscus,Clematis-type,Convolvulus,Cornus mas/C. sanguinea,Corylus,Cotoneaster-type,Cyperaceae,Daphne,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Equisetumspore,Ericaceae,Euphorbia,Fabaceae,Fagus,Fallopia convolvulus-type,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentianaceae,Geraniaceae,Hedera,Helianthemum,Hippophaë,Humulus/Cannabis,Hypericum perforatum-type,Isoëtesspore,Juniperus,Knautia,Lemna,Ligustrum,Liliaceae,Lotus-type,Lythrum,Malvaceae,Matricaria-type,Muscari,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Nymphaea,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Pediastrum longicornecolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Plumbaginaceae,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhamnaceae,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Rumex undiff.,Salix,Sambucus nigra-type,Sanguisorba-type,Scilla-type,Scrophularia/Verbascum,Solanum dulcamara,Sparganium-type,Stachys-type,Tamarix,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Triglochin,Typha latifolia,Ulmus,Unknown/spore,Valeriana,Viburnum-type,Vicia-type,Vitis,Xanthium
312,--/5914/--,7259/6866/6442,7,,,7,8,8,,6,1,,25,1,,,,1,,,,,,,1,2,11,,,1,3,,36,,1,,,15,,3,,,11,,2,,,,1,,,,1,,,,1,,,,,,,6,,,,,,,,,,,,,,,,5,13,,,,,316,,,10,,,3,,,63,13,93,2,,,,,,170,1,262,2,,,,,,,,,,1,,,,,,,,,,,1,,3,1,,,1,1,105,,,,,
340,--/5970/--,7289/6916/6510,13,1,,4,10,,,,,,6,,,,,,,,,,,,1,3,3,,,,,,16,2,,,,8,,8,,,7,,,,,,,13,,,,3,,,,,1,,,,,6,,,,,,,,,,,,,,,,8,35,,,,,182,1,,2,,,1,,,30,7,18,1,,1,5,,,107,1,130,,,,,,,,1,,,7,,1,,,,2,,,,,1,,1,2,,,20,1,50,,,,,
360,--/6009/--,7311/6952/6558,6,,,14,14,4,,8,,,7,3,,,1,,,,,1,,,3,1,1,,,,2,,26,3,,,,7,,10,,1,25,1,,,,,16,3,,,,,1,,,,,,,,,4,,,,1,,,,,,,,,,,,4,28,,,,,235,1,,7,,,4,,,54,15,61,,,,,,,105,,150,3,,,,,,,7,,,3,,4,,,,1,,1,,,1,,1,1,,,,2,42,,,,1,
380,--/6049/--,7333/6988/6607,2,,,21,8,2,,4,,,4,3,,,,,,,1,,,1,,9,4,,,,4,1,8,,,,1,26,,8,,,3,,1,,1,,5,5,,,1,3,,,,1,,,,,,125,,1,,1,,,,,,,,,,,,,48,,,,,66,,,8,,,4,,,29,1,39,,,,10,,,48,2,283,1,2,,,,,2,3,,,12,,,,,,2,,1,,,,,2,1,,,,2,43,,,,2,
404,--/6097/--,7359/7031/6665,5,,,33,19,3,,10,,,4,,,,,,,,,,,,1,4,1,,,,,,14,5,,,,26,,33,,,33,,,,2,,1,2,29,,,1,1,,,,,,,1,,3,,,,,,,,1,,,,,2,,,4,28,,,,,176,,2,4,,,,,,56,4,56,,,,3,,,39,,129,,2,,,,,,1,,,16,,,,,,14,,,,,,,4,1,,,,4,40,,,,4,1
450,--/6188/--,7410/7113/6776,3,,,71,13,5,,13,,,7,,,,2,,,,,,,,2,7,2,,,,1,,13,1,,,,26,,21,,,15,1,1,,1,,2,10,39,,,9,1,,,,,1,,,,4,,,,,,,,2,,,,,1,,,,55,,,,,39,,5,6,2,,,,,471,3,60,,,,2,,,16,,123,,1,,,,,1,12,,,63,,,,,1,21,,,,,,,3,1,,1,3,16,19,,,,9,1
500,--/6287/--,7468/7202/6899,5,,,41,20,2,,7,,,,1,,,,,,,,,,,,12,,,,,,,,18,,,,8,,56,,,16,,,,4,,,17,1,,2,4,1,,,,,,,,,3,,6,,,,3,,1,,,4,1,,,,,28,,,,,92,1,,2,,,,,,435,,2,,,,2,,1,9,1,157,,,,,,,,3,,,7,,,1,,,294,,,,,,11,,1,,,3,16,8,,,,2,
548,--/6383/--,7524/7288/7017,17,1,,25,42,,,11,,,5,,,,1,,,,,,,,,2,,,1,,1,,2,3,,,,13,,7,,,12,,,1,5,,,,,,2,3,1,,,,,,1,,,1,,,,,,,,2,,,,,,,,1,56,,,4,1,253,,,1,1,,,,,181,2,3,,,,2,,,57,,267,,,,,,,,1,,,1,,1,,,,3,,,,,,,,13,,,,17,34,,,,4,
580,--/6446/--,7565/7346/7098,20,,,71,57,4,,6,,,2,2,1,,,,,,,,,,,26,,,,,2,,3,,2,,,57,,17,,,38,,,,4,,,3,2,1,15,5,1,,,1,,,1,,,3,,,,,,,,1,,,,,,,,,129,,,,,224,2,,3,,,,,2,742,,,,,,,,,12,2,417,,,1,2,,,1,4,1,,6,,2,,1,,8,,,1,,,,1,4,,,,25,53,,,,15,
600,--/6486/--,7591/7381/7148,20,,,29,62,13,2,7,,,6,1,,,1,,,,,,1,,1,11,,,,,2,,,,,,,42,,12,,,167,,,,3,,,3,,,2,3,,,,1,1,,,,,1,,,,,,,,,,,,,,,,,63,,,1,2,292,,,2,4,,,,,347,4,,,,,,,,6,1,226,,1,,,,,,3,,,,,2,,,,5,,,,,,,,13,,,1,25,8,,,,6,
