Depth,Giesecke et al. 2014 (MADCAP)Calibrated radiocarbon years BP,EPDRadiocarbon years BP,Abies,Acer,Alisma,Allium,Alnus,Amaranthaceae,Anthericum,Apiaceae,Aquilegia-type,Artemisia herba-alba-type,Artemisia vulgaris-type,Asteroideae,Astragalus-type,Betula,Bistorta officinalis-type,Boraginaceae,Botrychiumspore,Brassica-type,Brassicaceae,Bupleurum-type,Butomus umbellatus,Buxus,Calligonum,Caltha,Campanula-type,Capsella-type,Carpinus betulus,Caryophyllaceae,Castanea,Celtis,Centaurea,Centaurea cyanus-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Cichorioideae,Cirsium/Gundelia,Cistaceae,Cladium mariscus,Clematis-type,Corylus,Cyperaceae,Digitalis,Dipsacoideae,Dryopteris-typespore,Ephedra distachya-type,Ephedra fragilis-type,Ericaceae,Euphorbia,Fabaceae,Fagus,Filipendula,Fraxinus excelsior,Fraxinus ornus,Galium-type,Gentianaceae,Geraniaceae,Hedera,Helianthemum,Humulus/Cannabis,Hypericum perforatum-type,Juglans,Juniperus,Knautia,Lemna,Liliaceae,Linaceae,Loranthus,Lotus-type,Lythrum,Malva,Matricaria-type,Matthiola,Monactinus simplexcolony,Myriophyllum alterniflorum,Myriophyllum spicatum/M. verticillatum,Noaea-type,Olea,Onobrychis-type,Onosma-type,Ophioglossumspore,Ostrya/Carpinus orientalis,Papaver,Pediastrum duplexcolony,Persicaria maculosa-type,Phillyrea,Picea,Pinus,Pistacia,Plantago coronopus-type,Plantago lanceolata-type,Plantago major-type,Plantago maritima-type,Plantago media-type,Plantago undiff.,Platanus,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare-type,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Pseudopediastrum boryanumcolony,Pseudopediastrum boryanum var. longicornecolony,Pseudopediastrum brevicornecolony,Pseudopediastrum kawraiskyicolony,Pteridiumspore,Quercus ilex-type,Quercus robur-type,Ranunculaceae,Ranunculus repens-type,Ranunculus sect. Batrachium-type,Rhinanthus-type,Rosaceae,Rumex acetosa-type,Rumex hydrolapathum,Salix,Sambucus nigra-type,Sanguisorba-type,Scilla-type,Scrophularia/Verbascum,Secale,Senecio-type,Solanum dulcamara,Sorbus-type,Sparganium-type,Taxus,Teucrium,Thalictrum,Thelypteris palustrisspore,Thymus/Mentha,Tilia,Trifolium-type,Typha latifolia,Ulmus,Unknown/spore,Urtica,Valerianella,Viburnum-type,Vicia-type,Vitis,Xanthium,Zea mays
100,499/-10/-505,--/0/--,2,,,,7,5,,3,,9,,5,,3,,,1,,1,,,,,,,,3,2,1,,,,,,3,,,2,,7,19,,,6,,,,,,19,1,,4,,,,,,3,,1,14,,,,,,1,,,2,1,11,,3,,4,,,,26,,5,,2,,29,,,13,,7,,,7,149,27,5,,,,1,1248,,,9999,4,5,103,2,,1,,1,10,,2,,,,,1,,,,18,,,,1,1,,,2,1,8,,,,,,1,1
110,683/207/-256,--/202/--,2,,,,5,9,,2,,,11,5,,,,,,,,,,,,,,,6,,,,,,,,1,1,,1,,3,12,,,8,,,2,,3,30,,1,3,,,,,,1,,2,13,,1,,,,,,,2,,,,1,,7,,,,22,,29,,,,47,1,,11,,,,7,6,126,23,3,,,1,,3168,,,4968,3,4,115,,1,,,,13,,3,,3,,,,,,,13,,2,,,3,,,3,3,5,,,,,,,1
125,960/532/117,--/506/--,3,1,,,30,38,,4,,10,15,7,,1,,,,8,,1,,,,,,4,6,1,,1,,,1,1,5,,,,1,13,23,,,8,,,1,,1,44,,1,5,1,,,1,,4,3,4,11,,,,,,4,,,5,,,,1,,2,1,,,53,,,,4,,74,1,,5,3,,,1,4,183,21,8,,,,,3500,,,140,9,4,243,,1,1,1,,14,,8,,,,,,,1,,25,,,,,3,1,2,3,1,10,6,,,,2,,1
135,1144/748/364,--/708/--,4,,1,,27,10,,1,,7,9,5,,,,,,5,,1,,,,,,5,9,,2,,,,,3,,,,,,5,33,,,3,,,,,1,47,,,8,4,,,,,5,3,6,18,,,,,,,1,,4,,,,3,,,1,,,61,,,,1,,65,1,,10,,,,7,4,220,23,4,,,1,,330,,,3480,9,3,343,,3,,5,,14,,2,,,,1,,,,1,19,,,,,2,1,,3,1,16,2,1,,,3,,
150,1423/1073/737,--/1011/--,5,,,,18,21,,2,,22,,11,,3,2,,,4,,,1,1,,1,,6,12,1,2,,,,,5,1,,,1,,23,22,,,8,,,1,,1,65,,,11,7,,1,,,5,,2,2,,,,,,1,,,3,,,3,,,1,2,,,66,,,,4,,58,1,,10,,6,5,,3,235,26,6,,,1,,3456,,3,118,4,3,316,4,,1,,2,15,,,,,,,,,,,29,,,1,,5,1,1,1,4,9,,,,,3,,
160,1610/1290/984,--/1214/--,7,,,,34,2,,,,7,4,3,,2,,1,,1,,,,,,,,1,10,2,1,,,,,5,,,,,,15,9,,,9,,2,2,1,,62,,2,12,1,,,,,2,1,3,3,,,,,1,,1,,5,,,,1,,1,,,,66,,1,,1,,115,1,,2,1,,,1,5,151,18,11,,,,,600,,,,14,,469,,,,1,,6,,3,,,,1,,,,,18,,,,,1,,,2,2,14,,,,,2,,1
170,1798/1507/1229,--/1416/--,12,,,,34,6,,,,6,9,6,,2,,,,1,,,,,2,,,,8,1,,,,,,2,1,,,,,8,10,,,10,,,,,,53,,1,7,3,,,,,1,,4,2,,,,,1,,1,,,,,,1,,,,,,69,,,,1,,101,,,11,2,,,,1,93,9,4,1,,,,286,,,,8,1,460,,2,,1,1,7,,5,1,,,,,,,,9,,,,,,,1,2,2,7,2,,,,1,,
180,1989/1724/1472,--/1618/--,16,1,,,29,6,,2,,7,7,3,,2,,,,1,,,,,,,,2,10,,,,,,,2,,,,1,,15,14,,,10,,,1,1,,64,,,17,4,,,,,6,2,1,2,,,,,,,2,,5,,,,,1,,3,,,86,,,,,,112,,,5,1,,,4,4,143,12,4,,,,,300,,,3,22,3,504,,3,,,,10,,6,1,1,,2,,,,,12,,,,,,,2,3,4,12,2,,,,,,
190,2181/1940/1712,--/1820/--,8,2,,,36,11,,1,,15,,4,,5,,,,5,,,,,,,,3,13,3,,,,,,4,2,,,,,12,15,,,19,,1,,,,44,,,9,3,,,,,1,,2,6,,1,,,1,1,9,,,,,,,,2,2,,,102,1,2,1,1,,123,1,,7,,,2,,3,170,13,7,,,,,645,,,6,15,,537,,3,,,,13,,7,2,1,,,,,,,25,,1,1,,1,,1,2,3,11,,,1,,,,
200,2375/2157/1948,--/2023/--,10,1,1,,35,13,,,,16,,12,,2,,1,,3,,,,,,,,6,13,,1,1,,,,6,6,,,6,,16,23,,1,17,,,2,,2,46,1,3,15,4,,,,,9,,2,3,,,,,,1,3,,4,,,,5,,1,10,,,111,,2,,3,,76,3,1,8,,1,,,6,212,10,20,,1,,,790,,,2,6,3,461,,,5,,,5,,9,,,1,1,,,3,,13,,,2,,4,,,1,3,16,1,,,,1,1,
