labID,"	age","	error","	depth","	cc",delta.R,delta.STD
Beta-229047,2750,40,395,1,-22.7,0
Beta-229048,2970,40,680,1,-26.9,0
Beta-229049,3710,40,755,1,-27.3,0
Beta-233430,3680,40,785,1,-26.3,0
