Depth,Cal yr BP,C14 BP,Lycopodium spikecounted,Abies,Acacia,Acanthus,Acer,Aconitum-type,Adonis-type,Aesculus,Agrostemma,Alisma plantago-aquatica,Alnus,Amaranthaceae,Anchusa,Apiaceae,Apium-type,Armeria-type,Artemisia,Asphodelus,Asteroideae,Avena-type,Bistorta officinalis,Boraginaceae,Botryococcusfilament/cell,Brassicaceae,Bupleurum-type,Campanula-type,Cannabis,Carpinus betulus,Carpinus orientalis,Carthamus-type,Carya,Caryophyllaceae,Casuarina,Cedrus,Celtis,Centaurea nigra-type,Centaurea scabiosa-type,Centaurea solstitialis-type,Centaurea-type,Ceratonia,Chelidonium-type,Cichorioideae,Cirsium/Carduus-type,Cistaceae,Cistus,Convolvulus,Corylus,Crataegus-type,Cupressaceae,Cyperaceae,Delphinium-type,Dipsacoideae,Ebenus-type,Echinops,Echium,Elaeagnus,Ephedra distachya,Ephedra fragilis,Epilobium,Equisetumspore,Ericaceae,Erodium,Eucalyptus,Euphorbiaceae,Fabaceae,Fagus,Fraxinus ornus,Fraxinus syriaca,Galium-type,Geranium,Helianthemum,Heracleum-type,Herniaria-type,Hordeum-type,Hypericum,Juglans,Knautia,Lamiaceae,Lemna,Liliaceae,Linum austriacum-type,Linum bienne-type,Lythrum portula-type,Lythrum salicaria-type,Mentha-type,Mercurialis,Myriophyllum,Olea-type,Osmundaspore,Papaver-type,Papaveraceae,Pediastrumfilament/cell,Persicaria amphibia,Phillyrea-type,Picea,Pimpinella-type,Pinus,Pistacia,Plantago coronopus,Plantago indeterminata,Plantago lanceolata,Plantago major/P. media,Platanus orientalis,Poaceae,Poaceae (Cerealia-type),Polygonum aviculare,Polygonum indeterminata,Polygonum oxyspermum,Polypodiophyta (monolete)spore,Polypodiophyta (trilete)spore,Populus,Potamogeton,Potentilla-type,Prunus-type,Quercus coccifera,Quercus indet.,Quercus ithaburensis,Ranunculaceae,Ranunculus aquatilis-type,Rhamnus-type,Rhinanthus-type,Rhus,Rosaceae,Rumex,Salix,Salvia-type,Sambucus,Sarcopoterium,Scabiosa,Scrophulariaceae,Secale-type,Solanum,Stachys-type,Symphytum,Tamarix,Thalictrum,Theligonum,Thymelaeaceae,Tilia,Trifolium-type,Triticum-type,Typha angustifolia/Sparganium,Ulmus,Urtica dioica-type,Urtica pilulifera-type,Varia/spore,Veronica-type,Vicia-type,Vitis,Xanthium,Zea mays,Ziziphus-type
2.5,--/-62.8/--,--/10.10101/--,706,,,,,,,,,,,61,,7,,,21,,36,,1,,1940,10,1,,,,,,1,4,12,,,,4,,1,,,28,8,2,1,,1,4,46,17,2,,,,,,,1,,,,,3,,5,,,,1,1,,,13,5,,6,,1,,1,,,,,2,,151,71,,,,353,,4,,,148,7,1,3,17,,2,231,9,19,,,1,4,,3,,,256,,35,6,,,,,10,4,5,,,47,1,,,,,,,1,3,1,,3,1,2,,,1,9,,,,20,,1
8.5,--/-24.9/--,--/34.34343/--,618,,,,,,,,,,3,43,,4,,,26,,36,1,,,996,13,1,,,,,,,3,6,,,1,3,,,,2,55,3,,,,2,3,44,5,1,,,1,,,,,,2,,,1,,4,,,,,,,,6,8,,4,,,,1,,,,,,,102,66,,,,618,,,,1,115,17,,2,13,,3,198,11,13,,1,2,1,,3,,1,182,2,37,8,,,,,6,4,3,,,40,,,,,,,,,1,,,3,2,,,3,2,10,1,,2,39,,
9.5,--/-18.7/--,--/38.38384/--,834,,,,2,,,,,,1,64,,15,,,21,,49,,,,3336,13,,,,1,,,,5,5,,,,3,,2,,,29,8,,,,1,1,83,14,2,1,2,,,,,1,,,1,,6,,6,,,1,2,,,1,28,1,1,3,,1,1,1,,,,,2,,157,74,,,,840,,1,,,161,15,,13,8,,2,245,10,12,2,2,1,4,,16,1,,238,2,39,8,,,,,5,5,6,,,29,,,,1,,,1,,1,,,6,1,1,,3,,20,4,,3,13,,
14.5,--/13.1/--,--/58.58586/--,592,,,,,,,,,,2,50,,13,,,23,,41,,,,660,13,1,,,1,,,,12,7,,,,7,,1,,,51,7,1,,,1,,46,19,1,1,,,,1,,1,,1,,,1,,5,,,,,,,,20,,,3,1,1,,,,,,,1,,218,78,,,,360,,3,,2,95,10,,7,24,,4,232,6,16,,2,1,2,,8,,,231,2,26,14,,,,,10,1,4,,,33,1,,,,,,,1,1,,,5,,2,,,1,12,2,,2,,,3
16.5,--/25.7/--,--/66.66666/--,553,,,,,,,,1,,3,41,1,9,,,24,,42,,1,,2040,9,1,,1,,,,1,6,3,,,,12,,,,,52,4,,2,,2,,40,16,1,,,,,,,1,,,,,1,,2,,,,2,,,,22,1,,2,1,1,,,,,,,,,196,70,,,,553,,2,,,105,12,2,2,16,,2,257,3,8,1,1,,3,,11,,,181,,13,4,,,,,12,1,1,,,26,,,,,,,,,2,,,9,2,,1,,5,7,2,,1,1,,1
19.5,--/44.5/--,--/78.78788/--,1301,,,,,,,,,1,3,51,,22,,,21,,38,,,,1410,15,,,1,,,,2,7,6,,,,9,,1,,,57,8,,1,,2,1,20,15,1,1,,,,,,1,,,,,8,,4,,,3,1,,,,30,2,1,6,,1,,,,,,2,,,299,70,,1,,705,,3,,1,103,9,,13,4,1,3,237,17,15,,2,2,1,1,11,1,,193,,25,5,,,,,4,3,1,1,,29,,1,,,,,,,2,,,6,2,1,,1,1,17,1,,1,,1,1
24.5,--/75.8/--,--/98.9899/--,597,,,,,,,,,,,36,,6,,,30,,48,,,,8109,11,,1,,,1,,2,8,9,1,,,7,,,,,65,11,1,1,,,1,45,29,3,2,,1,,,,1,,,1,,5,,7,,1,1,1,1,,,14,5,,8,,3,,,,,,,,,270,63,,,,1431,,2,,,90,13,3,2,8,,,310,7,18,,,2,6,,22,,,179,,25,7,,,,,7,4,2,,,36,,,,,,,,,2,1,,7,3,,,1,1,9,1,,3,1,,
29.5,--/105.6/--,--/119.1919/--,712,,,,,,2,,,,,33,,15,,,40,,56,,1,1,767,11,,,,1,,,,13,6,,,,11,,3,,2,62,4,,,,1,,13,24,,,,,,,,2,,,2,,1,,4,,,,1,,,,30,2,,3,,2,,,,,,,,,352,79,,,,383,,,,,113,18,,18,9,,4,260,45,30,,1,4,3,,9,,1,167,,16,13,,,,,5,5,3,,,29,1,,,,2,,1,,2,,,16,3,,,,1,12,,1,1,1,,1
31.5,--/118.4/--,--/127.2727/--,693,,,,,,,,,,,33,,4,,,43,1,33,,,,989,7,,,,,,,,5,2,,,,16,,,,,42,2,,,,1,1,23,5,2,,,1,,,,1,,,,,2,,3,,1,,3,,,,19,1,,1,,1,,,,,,,1,,339,70,,,,147,,2,,,66,18,,5,14,,1,280,4,17,3,,1,5,,7,,,147,,17,7,,,,,10,6,2,,,29,,,,,,,1,,4,2,,9,1,,,,1,9,1,,1,,,
35.5,--/144.2/--,--/143.4343/--,1683,,,,,,,,,,2,25,,7,,,58,,33,1,,,2,6,1,,,,2,,,7,,,,,6,,,,2,18,4,,,,,1,3,7,4,,,1,,,,,,,,,,,4,,,,2,,,,6,6,2,2,,1,,1,,,,,1,,730,42,,1,,2,,1,,,20,20,1,8,12,,2,348,5,7,,,1,5,,77,,,169,,29,14,,,,,13,10,,,,35,,,,,,,1,,1,,,11,5,1,,1,1,10,1,,3,1,,
