sample_name,depth,age
,79.99,1.652241272
,80.67,1.665939172
,84,1.733018596
,86.01,1.773507978
,87.39,1.801306659
,93.48,1.923983443
,96.01,1.97494769
,98.39,2.022890342
,104.47,2.145365687
,107.01,2.196531374
,113.01,2.317395201
,115.51,2.367755129
,117.55,2.40884883
,122.5,2.51964455
,124.99,2.576879147
,132,2.738009479
,134.52,2.795933649
,136.38,2.838687204
,138,2.875924171
,141.38,2.953616114
,144.02,3.014298578
,146.52,3.071763033
,151,3.174739336
,152.51,3.209447867
,153.86,3.240478673
,159.97,3.380921801
,161.05,3.405653266
,162.53,3.439120603
,164.02,3.47281407
,169.88,3.591256281
,171.38,3.625609756
,174.99,3.708484456
,177.38,3.75492228
,179,3.786398964
,180.9,3.816647399
,183.34,3.85049711
,186,3.887398844
,187.98,3.914867052
,189.47,3.942806516
,205,4.259043298
,209,4.340495141
,211.47,4.390791655
,219.01,4.54432838
,224.88,4.66385896
,238.2,4.935093598
,249.98,5.174969277
,274.95,5.707033325
,295.48,6.115270726
,299.37,6.192623064
,305.48,6.314119923
,309.7,6.398034284
,311.5,6.43382714
,315,6.503424359
,321.5,6.632676337
,325,6.702273556
,344.98,7.099574251
,349.98,7.198998849
,352.98,7.258653608
,354.5,7.288878686
,361,7.418130664
,364,7.477785423
,365,7.497670343
,369,7.577210022
,373.5,7.66669216
,380,7.795944138
,385.5,7.905311196
,394.47,8.083678926
,398.98,8.173359914
,425.99,8.710451594
,473.48,9.65478643
,542.98,11.07859098
,549.98,11.21951948
,551.48,11.24971844
,561.98,11.46111119
