"sampleid","geochrontype","agetype","depth","thickness","age","errorolder","erroryounger","infinite","delta13c","labnumber","materialdated","notes"
630464,Carbon-14,Radiocarbon years BP,237.5,5,500,45,45,false,,,marine mussel shells,
630465,Carbon-14,Radiocarbon years BP,295.5,5,1774,33,33,false,,HD 13972-13496,marine mussel shells,
630466,Carbon-14,Radiocarbon years BP,580,20,4285,150,150,false,,HD 13973-13493,organic material,
