Depth,Calendar years BP,Abies,Acer,Achillea/Anthemis-type,Agrostemma githago,Allium-type,Alnus,Amaranthaceae,Anagallis arvensis,Anagallis tenella,Anemone nemorosa-type,Angiospermae undiff. (herbs),Apiaceae undiff.,Armeria,Artemisia,Asphodelus-type,Asteraceae undiff.,Betula,Bistorta officinalis-type,Boraginaceae undiff.,Brassicaceae,Bryophyta undiff.spore,Bupleurum-type,Buxus,Calligonum-type,Campanulaceae,Carpinus betulus,Caryophyllaceae undiff.,Castanea,Cedrus,Celtis,Centaurea cf. C. cyanus/montana-type,Centaurea scabiosa,Centaurea solstitialis-type,Ceratophyllum,Cichorioideae,Cirsium,Cladium,Clusiaceae/Hypericaceae cf. Hypericum,Consolida ambigua-type,Cornaceae,Corylus,Cupressaceae-type,Cyperaceae undiff.,Digitalis-type,Dipsacoideae,Dryopterisspore,Echium-type,Ephedra distachya,Ephedra fragilis-type,Epilobium,Equisetumspore,Ericaceae,Euonymus europaeus,Fabaceae undiff.,Fagus,Filipendula,Fraxinus excelsior-type,Fraxinus ornus,Fraxinus undiff.,Fritillaria-type,Fumana,Galium-type,Geranium,Hedera,Helianthemum,Helleborus foetidus,Helleborus viridis,Hippophaë,Humulus/Cannabis,Ilex,Indeterminable (broken)/spore,Indeterminable (concealed)/spore,Indeterminable (crumpled)/spore,Indeterminable (degraded)/spore,Juglans,Larix,Lemnoideae,Liliaceae,Linum,Lithospermum,Lonicera,Lotus,Malvaceae undiff.,Marrubium-type,Mentha-type,Menyanthes,Myriophyllum alterniflorum,Myriophyllum spicatum-type,Myriophyllum undiff.,Myriophyllum verticillatum,Nuphar,Nymphaea,Olea,Ononis,Ostrya,Oxyria-type,Papaveraceae,Pedicularis,Persicaria amphibia,Persicaria maculosa-type,Persicaria undiff.,Phillyrea,Picea,Pinus subg. Strobus,Pinus undiff.,Pistacia,Plantago,Poaceae (Cerealia-type),Poaceae undiff.,Polypodiophyta undiff.spore,Polypodiumspore,Populus,Potamogeton,Potentilla-type,Poterium sanguisorba,Primulaceae undiff.,Prunus spinosa,Pteridiumspore,Pterocarya,Quercus ilex,Quercus undiff.,Ranunculus,Resedaceae,Rhamnaceae,Rosaceae cf. Geum,Rosaceae undiff.,Rumex,Salix,Sambucus,Sanguisorba officinalis,Saxifragaceae,Scilla-type,Scrophulariaceae,Scutellaria-type,Serratula-type,Solidago-type,Sorbus,Spermatophyta undiff. (trees/shrubs),Sphagnumspore,Tamarix,Taxus,Thalictrum,Thymelaeaceae cf. Daphne,Tilia,Trifolium-type,Typha angustifolia,Typha latifolia,Ulmus,Unknown (monolete)spore,Unknown (trilete)spore,Unknown undiff./spore,Urtica-type,Valeriana,Veronica-type,Viburnum,Vicia,Viola palustris-type,Viscum,Vitis,cf. Alchemilla,cf. Androsace,cf. Callitriche,cf. Centaurium,cf. Chrysosplenium,cf. Circaea,cf. Daphne,cf. Elatine,cf. Epilobium,cf. Euphorbia,cf. Frangula/Bruckenthalia,cf. Helianthemum,cf. Larixpalynomorph,cf. Mentha,cf. Mercurialis,cf. Myrica,cf. Onobrychis-type,cf. Platanus,cf. Rutaceae,cf. Sambucus,cf. Samolus valerandi,cf. Sedum,cf. Trichomanesspore
0.5,--/59/--,3,3,,,,54,3,,,,,3,,10,,,4,,,1,,,,,,4,1,11,,,,,,,1,,,,,,9,3,12,,,,,,,,,,,,17,,3,2,,,,2,,,,,,,,,2,,1,,3,,,,,,,,,,,,,,1,,,,5,,23,,,,,,,4,,,4,,10,,56,,,,2,,,,,,,,105,,,1,,,4,3,,,,,,,,1,,,,,,,,,,1,,3,6,2,3,,,,,,,,1,,,,,,,,,,1,,,,,,,,,,,,,
2,--/63/--,1,,,,,55,,,,,,2,,6,,,6,,,,,,,,,9,,8,1,,,,,,,,,,,,15,4,6,1,,,,,,,,2,,,29,,1,,,,,,,2,,,,,8,,2,,6,,1,,,,,,,,,,,,,,,,,,5,,12,,,,,,,5,,,4,,5,3,48,,,,6,1,,,,1,,,130,,,,,1,4,8,,,,,,,,1,,,,,,,,,,,2,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,--/67/--,1,,1,,,85,2,,,,,4,,2,2,,3,,,2,,,,,,11,,5,,,,,,,1,,,,,,10,,6,1,,,,,,,,1,,2,16,,,,,,,,,1,,,,,5,,,,2,,3,,,,,,,,,,,,,,6,,,3,3,,15,,,,,,,3,,,5,,7,1,55,,,,,1,,,,,,,79,1,,,,,1,5,,,,1,,,,,,,,,,,,1,,1,,1,5,1,,,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,
5,--/87/--,,2,,,,74,2,,,,,,,1,,,,,,,,,,,,12,,,,,,,1,,,,,,,,12,,2,,,,,,,,,2,,,19,,,3,,,,,,2,,,,,,,,,,,3,,,,,,,,,,,,,,1,,,,1,,20,,,,,,,,,,3,2,6,2,38,,,,1,2,,,,,,5,148,,,,,1,2,5,,,,,,,,2,,,,,,,,,,2,,5,,6,,2,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
25,--/403/--,,,,,,70,1,,,,,3,,2,,,,,,,,,,,,13,1,3,,,,,,,,1,,,,,6,,1,,,,,,,,,1,,,30,,,3,,,,,,4,,,,,3,,,,3,,5,,,,,,,,,,,,,,2,,,3,3,,21,,,,,,,2,,,,2,4,2,57,,,,,,1,,,,,3,67,,,,,2,,4,,,,,,,,1,,,,,,,,,,2,,,10,2,3,,,,,,,,1,,,,,,,,,,,,,,,,,,1,,,,,
45,--/735/--,,,3,,,96,3,,,,,2,,4,,,1,,,1,,,,,,13,1,4,,,,,,,2,1,,,,,6,,4,,,,,,,,,,,2,24,,1,2,,,,,,1,,,,,5,,,,1,,1,,,,,,,,,,,,,,2,,,5,2,,29,,,,,,,,,,,,1,10,54,,,,1,,1,,,3,,1,77,,,,,1,,5,,,,,,,,,,,,,,,,,,3,,1,11,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46.5,--/753/--,12,,,,,36,2,,,,2,,,2,,,,,,,,,,,,13,,1,,,,,,,,,,,,,18,2,3,,,,,,,,,,,,24,,3,3,,,,,,2,,,,,76,,,,,,2,,,,,,,,,,,,,,2,,,2,4,,26,,,,,,,1,,,1,,3,3,29,3,,,1,,,,,3,,11,117,,,,,,,3,,,,,,,,,,3,,,,,,1,,2,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.9,--/829/--,1,2,,,,39,2,,,,6,,,3,,1,,,,,,,,,,50,,,,,,,,,,,1,,,,14,1,5,,,,,,,,,,,,24,,,1,,,,,,1,,,,,15,,,,,,3,,,,,,,,,,,,,,4,,,10,3,,27,,,,,,,,,,2,3,3,5,49,,,1,5,,,,,3,,21,180,,,,,,1,3,,,,,,,,,,1,,,,,,,,,1,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
57.7,--/887/--,,,,,,105,,,,,6,,,3,,3,,,,,,,,,,34,,1,,,,,,,,,,,,,2,2,1,,,,,,,,,,,,32,,,2,,,,,,2,,,,,,,,,,,6,,,,,,,,,,,,,,9,,,3,5,,27,,,,,,,,,,1,7,11,4,42,1,,,7,,,,,5,,4,181,,,,,,1,7,,,,,,,,,,1,,,,,,,,2,2,3,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,
59.9,--/913/--,1,2,,,,82,2,,,,3,,,3,,2,,,,,,,,,,24,,,,,,,,,,,,,,,10,,3,,,,,,,,,,,,37,,,4,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,,9,,,,,,,,,,2,1,2,3,35,4,,,2,,,,,2,,4,154,,,,,,1,7,,,,,,,,,,3,,,,,,3,,2,2,3,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
60,--/914/--,2,,1,,,94,2,,,,,4,,4,,,2,,,1,,,,,,15,,7,,,,,,,1,1,,,,,5,1,6,4,,,,,1,,,2,,,34,,,,,,,1,,1,,,,,5,,,,1,,1,,,,,,,,,,,1,,,,,,1,1,,17,,,,,,,1,,,1,,3,3,48,,,,,,1,,,,,,81,,,,,1,2,5,,,1,,,,,1,,,,,,,,,,2,,2,2,7,2,2,,,,,,,3,,,,,,,,,,1,,,,,,,,,,,,,
64.4,--/938/--,1,,,,,78,,,,,6,,,4,,5,,,,,,,,,,25,,1,,,,,,,,,1,,,,24,1,,,,,,,,,,,,,24,,,4,,,,,,1,,,,,2,,,,,,3,,,,,,,,,,,,,,,,,,4,,35,,,,,,,,,,1,2,7,4,50,1,,,6,,,,,1,,20,195,,,,,,1,4,,,,,,,,,,,,,,,,1,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,--/941/--,1,,,,,87,2,,,,,,,1,,,1,,,,,,,,,33,,,,,,,,,,,,,,,4,1,1,,,,,,,,,2,,2,47,,2,2,,,,,,1,,,,,4,,,,1,,1,,,,,,,,,,,,,,2,,,2,3,,54,,,,,,,4,,,,,3,,9,,,1,1,1,,,,8,,3,165,,,,,1,,4,,,,,,,,,,,,,,,,1,,,,4,2,,2,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,
